ID,LND_phreatic,ASS_pass0_lay1,ASS_anc0_lay1,ASS_uzaass,ASS_szaass
1,0.0081,0.2000,0.2000,0.0128,-1.5618
2,0.0108,0.2000,0.2000,0.0171,-2.0856
3,0.0136,0.2000,0.2000,0.0216,-2.6351
4,0.0165,0.2000,0.2000,0.0262,-3.1913
5,0.0102,0.1968,0.1975,0.0164,-1.9833
6,0.0132,0.1958,0.1968,0.0211,-2.5630
7,0.0164,0.1948,0.1960,0.0262,-3.1806
8,0.0181,0.1979,0.1984,0.0289,-3.5097
9,0.0000,0.2000,0.2000,0.0000,0.0000
10,0.0000,0.2000,0.2000,0.0000,0.0000
11,0.0000,0.2000,0.2000,0.0000,0.0000
12,0.0000,0.2000,0.2000,0.0000,0.0000
13,0.0000,0.2000,0.2000,0.0000,0.0000
14,0.0000,0.2000,0.2000,0.0000,0.0000
15,0.0000,0.2000,0.2000,0.0000,0.0000
16,0.0000,0.2000,0.2000,0.0000,0.0000
17,0.2214,0.2133,0.1719,0.0162,-22.5004
18,0.2112,0.2133,0.1719,0.0316,-22.5003
19,0.1936,0.2095,0.1719,0.0584,-22.5003
20,0.1702,0.2058,0.1719,0.0940,-22.5003
21,0.1153,0.2133,0.1719,0.1744,-22.5008
22,0.1003,0.2133,0.1719,0.1969,-22.5007
23,0.0899,0.2133,0.1718,0.2129,-22.5005
24,0.0704,0.2133,0.1719,0.2428,-22.5004
25,0.0359,0.2133,0.1719,0.2950,-22.5003
26,0.0506,0.2133,0.1719,0.2722,-22.5008
27,0.0232,0.2133,0.1718,0.3133,-22.5008
28,0.0246,0.2133,0.1719,0.3110,-22.5007
29,0.0084,0.2133,0.1719,0.3353,-22.5006
30,0.0091,0.2133,0.1718,0.3341,-22.5005
31,0.0012,0.2133,0.1719,0.3469,-22.5004
32,0.0072,0.2133,0.1719,0.3407,-22.5001
33,0.0104,0.2133,0.1719,0.3359,-22.5002
34,0.0000,0.2133,0.1718,0.3504,-22.5006
35,0.0000,0.2133,0.1719,0.3513,-22.5004
36,0.0000,0.2133,0.1718,0.3503,-22.5005
37,0.0000,0.2133,0.1718,0.3500,-22.5004
38,0.0000,0.2133,0.1719,0.3504,-22.5004
39,0.0000,0.2133,0.1719,0.3510,-22.5003
40,0.0251,0.2133,0.1719,0.3141,-22.5002
41,0.0980,0.2133,0.1719,0.2049,-22.5002
42,0.1266,0.2133,0.1719,0.1608,-22.5002
43,0.1143,0.2133,0.1718,0.1797,-22.5002
44,0.0000,0.2133,0.1719,0.3528,-22.5005
45,0.0005,0.2133,0.1719,0.3534,-22.5004
46,0.0000,0.2133,0.1718,0.3534,-22.5003
47,0.0000,0.2133,0.1718,0.3557,-22.5002
48,0.0000,0.2133,0.1718,0.3549,-22.5002
49,0.0000,0.2133,0.1719,0.3540,-22.5001
50,0.0000,0.2133,0.1719,0.3535,-22.5000
51,0.0000,0.2133,0.1718,0.3536,-22.5000
52,0.0000,0.2133,0.1719,0.3539,-22.5000
53,0.0570,0.2133,0.1719,0.2686,-22.6777
54,0.0366,0.2023,0.1951,0.0062,-3.9418
55,0.0671,0.2050,0.1894,0.0316,-8.5042
56,0.0931,0.2091,0.1808,0.1024,-15.8274
57,0.0581,0.2133,0.1719,0.2772,-23.5593
58,0.0126,0.2133,0.1719,0.3339,-22.5006
59,0.0510,0.2133,0.1719,0.2769,-22.5003
60,0.0000,0.2133,0.1718,0.3560,-22.5002
61,0.0188,0.2133,0.1718,0.3293,-22.5002
62,0.0000,0.2133,0.1718,0.3598,-22.5000
63,0.0000,0.2133,0.1719,0.3614,-22.7688
64,0.0000,0.2118,0.1696,0.3616,-22.5000
65,0.0000,0.2133,0.1718,0.3628,-22.8393
66,0.0000,0.2133,0.1719,0.3647,-22.9928
67,0.0000,0.2133,0.1719,0.3678,-23.2185
68,0.0000,0.2133,0.1719,0.3706,-23.4224
69,0.0000,0.2000,0.2000,0.0000,0.0000
70,0.0290,0.2027,0.1943,0.0291,-4.8404
71,0.1005,0.2093,0.1804,0.1036,-17.2203
72,0.0392,0.2133,0.1719,0.3248,-24.8890
73,0.0000,0.2133,0.1719,0.3923,-24.7002
74,0.0119,0.2133,0.1719,0.3339,-22.5008
75,0.0759,0.2133,0.1719,0.2381,-22.5005
76,0.0835,0.2095,0.1664,0.2290,-22.5001
77,0.0571,0.2058,0.1608,0.2730,-22.5000
78,0.0000,0.1987,0.1501,0.3642,-22.5000
79,0.0000,0.2133,0.1719,0.3805,-23.7361
80,0.0000,0.2133,0.1719,0.3783,-23.9427
81,0.0000,0.2094,0.1662,0.3766,-23.1827
82,0.0000,0.2133,0.1719,0.3770,-23.9724
83,0.0000,0.1917,0.1394,0.3685,-22.5010
84,0.0000,0.2133,0.1719,0.3815,-24.1700
85,0.0000,0.2133,0.1719,0.3872,-24.4316
86,0.0000,0.2000,0.2000,0.0000,0.0000
87,0.0000,0.2000,0.2000,0.0000,0.0000
88,0.0477,0.2048,0.1899,0.0630,-9.2981
