id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3006831E+06,  0.6063227E+07,     6.662,     6.845
           2,  0.3006438E+06,  0.6063360E+07,     6.716,     6.882
           3,  0.3008612E+06,  0.6063136E+07,     6.232,     6.400
           4,  0.3008213E+06,  0.6063283E+07,     5.573,     5.712
           5,  0.3010393E+06,  0.6063045E+07,     5.386,     5.520
           6,  0.3009829E+06,  0.6063166E+07,     6.548,     6.713
           7,  0.3012174E+06,  0.6062954E+07,     5.542,     5.678
           8,  0.3011572E+06,  0.6063082E+07,     6.167,     6.323
           9,  0.3013955E+06,  0.6062862E+07,     5.603,     5.740
          10,  0.3013311E+06,  0.6062991E+07,     6.403,     6.566
          11,  0.3015736E+06,  0.6062771E+07,     5.693,     5.841
          12,  0.3015076E+06,  0.6062902E+07,     6.382,     6.546
          13,  0.3017517E+06,  0.6062680E+07,     5.717,     5.860
          14,  0.3016841E+06,  0.6062811E+07,     6.483,     6.651
          15,  0.3019298E+06,  0.6062588E+07,     5.586,     5.725
          16,  0.3018617E+06,  0.6062719E+07,     6.420,     6.584
          17,  0.3021079E+06,  0.6062497E+07,     5.522,     5.658
          18,  0.3020315E+06,  0.6062642E+07,     5.324,     5.458
          19,  0.3021070E+06,  0.6062594E+07,     5.171,     5.308
          20,  0.3022860E+06,  0.6062406E+07,     6.290,     6.456
          21,  0.3021960E+06,  0.6062548E+07,     5.690,     5.822
          22,  0.3024641E+06,  0.6062315E+07,     6.030,     6.177
          23,  0.3023899E+06,  0.6062460E+07,     6.019,     6.155
          24,  0.3026423E+06,  0.6062223E+07,     5.939,     6.087
          25,  0.3025685E+06,  0.6062368E+07,     5.968,     6.102
          26,  0.3028204E+06,  0.6062132E+07,     5.909,     6.055
          27,  0.3027458E+06,  0.6062276E+07,     5.946,     6.079
          28,  0.3029985E+06,  0.6062041E+07,     5.880,     6.042
          29,  0.3029225E+06,  0.6062186E+07,     5.898,     6.030
          30,  0.3031766E+06,  0.6061949E+07,     5.862,     6.021
          31,  0.3030990E+06,  0.6062095E+07,     5.846,     5.978
          32,  0.3033547E+06,  0.6061858E+07,     5.904,     6.066
          33,  0.3032751E+06,  0.6062005E+07,     5.826,     5.960
          34,  0.3035328E+06,  0.6061767E+07,     5.953,     6.118
          35,  0.3034513E+06,  0.6061914E+07,     5.843,     5.981
          36,  0.3037109E+06,  0.6061676E+07,     5.941,     6.094
          37,  0.3036274E+06,  0.6061824E+07,     5.804,     5.943
          38,  0.3038890E+06,  0.6061584E+07,     5.126,     5.247
          39,  0.3038046E+06,  0.6061732E+07,     5.425,     5.554
          40,  0.3038875E+06,  0.6061687E+07,     4.938,     5.056
          41,  0.3040671E+06,  0.6061493E+07,     5.211,     5.327
          42,  0.3040472E+06,  0.6061596E+07,     5.668,     5.800
          43,  0.3042452E+06,  0.6061402E+07,     5.266,     5.385
          44,  0.3042290E+06,  0.6061506E+07,     5.553,     5.679
          45,  0.3044236E+06,  0.6061311E+07,     5.695,     5.814
          46,  0.3043180E+06,  0.6061461E+07,     4.991,     5.107
          47,  0.3044142E+06,  0.6061421E+07,     5.500,     5.634
          48,  0.3046022E+06,  0.6061221E+07,     5.072,     5.185
          49,  0.3045883E+06,  0.6061330E+07,     5.113,     5.238
          50,  0.3047808E+06,  0.6061130E+07,     4.963,     5.071
          51,  0.3047501E+06,  0.6061237E+07,     5.827,     5.969
          52,  0.3049594E+06,  0.6061040E+07,     5.169,     5.282
          53,  0.3049251E+06,  0.6061151E+07,     5.789,     5.931
          54,  0.3051380E+06,  0.6060950E+07,     5.171,     5.287
          55,  0.3051029E+06,  0.6061061E+07,     5.981,     6.129
          56,  0.3053166E+06,  0.6060859E+07,     5.009,     5.125
          57,  0.3052804E+06,  0.6060967E+07,     6.097,     6.250
          58,  0.3054952E+06,  0.6060769E+07,     4.777,     4.882
          59,  0.3054601E+06,  0.6060875E+07,     5.867,     6.013
          60,  0.3056739E+06,  0.6060679E+07,     5.619,     5.743
          61,  0.3056309E+06,  0.6060797E+07,     5.512,     5.647
          62,  0.3058525E+06,  0.6060589E+07,     5.139,     5.253
          63,  0.3058173E+06,  0.6060708E+07,     5.563,     5.700
          64,  0.3060311E+06,  0.6060498E+07,     4.791,     4.895
          65,  0.3059842E+06,  0.6060610E+07,     6.064,     6.213
          66,  0.3062097E+06,  0.6060408E+07,     4.635,     4.734
          67,  0.3061589E+06,  0.6060522E+07,     5.887,     6.029
          68,  0.3063883E+06,  0.6060318E+07,     5.080,     5.185
          69,  0.3063246E+06,  0.6060448E+07,     5.155,     5.275
          70,  0.3065669E+06,  0.6060227E+07,     4.653,     4.746
          71,  0.3065032E+06,  0.6060346E+07,     5.986,     6.123
          72,  0.3067455E+06,  0.6060137E+07,     5.595,     5.710
          73,  0.3066745E+06,  0.6060271E+07,     5.141,     5.257
          74,  0.3069242E+06,  0.6060047E+07,     5.063,     5.169
          75,  0.3068656E+06,  0.6060173E+07,     5.829,     5.963
          76,  0.3071028E+06,  0.6059957E+07,     4.992,     5.098
          77,  0.3070414E+06,  0.6060081E+07,     5.934,     6.072
          78,  0.3072814E+06,  0.6059866E+07,     5.117,     5.228
          79,  0.3072182E+06,  0.6059991E+07,     5.963,     6.104
          80,  0.3074600E+06,  0.6059776E+07,     5.563,     5.683
          81,  0.3073882E+06,  0.6059917E+07,     5.232,     5.359
          82,  0.3076386E+06,  0.6059686E+07,     4.455,     4.550
          83,  0.3075624E+06,  0.6059826E+07,     5.626,     5.759
          84,  0.3076468E+06,  0.6059764E+07,     4.324,     4.424
          85,  0.3078168E+06,  0.6059595E+07,     4.969,     5.076
          86,  0.3077361E+06,  0.6059718E+07,     5.706,     5.833
          87,  0.3079942E+06,  0.6059502E+07,     5.487,     5.604
          88,  0.3079117E+06,  0.6059649E+07,     4.936,     5.048
          89,  0.3079941E+06,  0.6059602E+07,     5.157,     5.275
          90,  0.3081711E+06,  0.6059408E+07,     5.421,     5.534
          91,  0.3080826E+06,  0.6059555E+07,     5.310,     5.433
          92,  0.3081685E+06,  0.6059511E+07,     5.124,     5.238
          93,  0.3083481E+06,  0.6059315E+07,     5.344,     5.455
          94,  0.3082570E+06,  0.6059464E+07,     5.024,     5.130
          95,  0.3083416E+06,  0.6059421E+07,     5.005,     5.112
          96,  0.3085251E+06,  0.6059221E+07,     4.716,     4.820
          97,  0.3084301E+06,  0.6059374E+07,     4.863,     4.959
          98,  0.3085156E+06,  0.6059328E+07,     4.761,     4.863
          99,  0.3087020E+06,  0.6059128E+07,     4.751,     4.870
         100,  0.3086747E+06,  0.6059234E+07,     5.518,     5.635
         101,  0.3088790E+06,  0.6059034E+07,     5.512,     5.625
         102,  0.3087632E+06,  0.6059188E+07,     4.353,     4.450
         103,  0.3088625E+06,  0.6059148E+07,     5.597,     5.706
         104,  0.3090560E+06,  0.6058941E+07,     5.496,     5.606
         105,  0.3090392E+06,  0.6059055E+07,     5.578,     5.688
         106,  0.3092329E+06,  0.6058848E+07,     5.714,     5.844
         107,  0.3092141E+06,  0.6058963E+07,     5.633,     5.746
         108,  0.3094099E+06,  0.6058754E+07,     4.737,     4.845
         109,  0.3093978E+06,  0.6058859E+07,     4.947,     5.043
