id,ctrd_x,ctrd_y,cfl_dt_min,cfl_dt_mean
           1,  0.3006831E+06,  0.6063227E+07,     6.680,     6.856
           2,  0.3006438E+06,  0.6063360E+07,     6.716,     6.882
           3,  0.3008612E+06,  0.6063136E+07,     6.256,     6.408
           4,  0.3008213E+06,  0.6063283E+07,     5.575,     5.713
           5,  0.3010393E+06,  0.6063045E+07,     5.378,     5.520
           6,  0.3009829E+06,  0.6063166E+07,     6.552,     6.715
           7,  0.3012174E+06,  0.6062954E+07,     5.540,     5.677
           8,  0.3011572E+06,  0.6063082E+07,     6.170,     6.324
           9,  0.3013955E+06,  0.6062862E+07,     5.600,     5.741
          10,  0.3013311E+06,  0.6062991E+07,     6.407,     6.567
          11,  0.3015736E+06,  0.6062771E+07,     5.697,     5.844
          12,  0.3015076E+06,  0.6062902E+07,     6.386,     6.547
          13,  0.3017517E+06,  0.6062680E+07,     5.715,     5.863
          14,  0.3016841E+06,  0.6062811E+07,     6.487,     6.652
          15,  0.3019298E+06,  0.6062588E+07,     5.585,     5.727
          16,  0.3018617E+06,  0.6062719E+07,     6.424,     6.585
          17,  0.3021079E+06,  0.6062497E+07,     5.532,     5.660
          18,  0.3020315E+06,  0.6062642E+07,     5.326,     5.459
          19,  0.3021070E+06,  0.6062594E+07,     5.186,     5.310
          20,  0.3022860E+06,  0.6062406E+07,     6.314,     6.460
          21,  0.3021960E+06,  0.6062548E+07,     5.688,     5.823
          22,  0.3024641E+06,  0.6062315E+07,     6.043,     6.180
          23,  0.3023899E+06,  0.6062460E+07,     6.018,     6.157
          24,  0.3026423E+06,  0.6062223E+07,     5.956,     6.091
          25,  0.3025685E+06,  0.6062368E+07,     5.968,     6.104
          26,  0.3028204E+06,  0.6062132E+07,     5.923,     6.059
          27,  0.3027458E+06,  0.6062276E+07,     5.946,     6.081
          28,  0.3029985E+06,  0.6062041E+07,     5.912,     6.047
          29,  0.3029225E+06,  0.6062186E+07,     5.898,     6.032
          30,  0.3031766E+06,  0.6061949E+07,     5.891,     6.026
          31,  0.3030990E+06,  0.6062095E+07,     5.847,     5.980
          32,  0.3033547E+06,  0.6061858E+07,     5.930,     6.069
          33,  0.3032751E+06,  0.6062005E+07,     5.828,     5.962
          34,  0.3035328E+06,  0.6061767E+07,     5.975,     6.120
          35,  0.3034513E+06,  0.6061914E+07,     5.847,     5.984
          36,  0.3037109E+06,  0.6061676E+07,     5.954,     6.095
          37,  0.3036274E+06,  0.6061824E+07,     5.809,     5.946
          38,  0.3038890E+06,  0.6061584E+07,     5.135,     5.248
          39,  0.3038046E+06,  0.6061732E+07,     5.429,     5.556
          40,  0.3038875E+06,  0.6061687E+07,     4.944,     5.058
          41,  0.3040671E+06,  0.6061493E+07,     5.213,     5.328
          42,  0.3040472E+06,  0.6061596E+07,     5.677,     5.803
          43,  0.3042452E+06,  0.6061402E+07,     5.258,     5.385
          44,  0.3042290E+06,  0.6061506E+07,     5.561,     5.682
          45,  0.3044236E+06,  0.6061311E+07,     5.689,     5.815
          46,  0.3043180E+06,  0.6061461E+07,     4.994,     5.110
          47,  0.3044142E+06,  0.6061421E+07,     5.517,     5.637
          48,  0.3046022E+06,  0.6061221E+07,     5.072,     5.185
          49,  0.3045883E+06,  0.6061330E+07,     5.128,     5.241
          50,  0.3047808E+06,  0.6061130E+07,     4.961,     5.071
          51,  0.3047501E+06,  0.6061237E+07,     5.841,     5.972
          52,  0.3049594E+06,  0.6061040E+07,     5.166,     5.282
          53,  0.3049251E+06,  0.6061151E+07,     5.802,     5.934
          54,  0.3051380E+06,  0.6060950E+07,     5.170,     5.287
          55,  0.3051029E+06,  0.6061061E+07,     5.994,     6.133
          56,  0.3053166E+06,  0.6060859E+07,     5.010,     5.125
          57,  0.3052804E+06,  0.6060967E+07,     6.111,     6.253
          58,  0.3054952E+06,  0.6060769E+07,     4.774,     4.881
          59,  0.3054601E+06,  0.6060875E+07,     5.881,     6.017
          60,  0.3056739E+06,  0.6060679E+07,     5.620,     5.743
          61,  0.3056309E+06,  0.6060797E+07,     5.522,     5.651
          62,  0.3058525E+06,  0.6060589E+07,     5.139,     5.254
          63,  0.3058173E+06,  0.6060708E+07,     5.573,     5.703
          64,  0.3060311E+06,  0.6060498E+07,     4.789,     4.895
          65,  0.3059842E+06,  0.6060610E+07,     6.074,     6.217
          66,  0.3062097E+06,  0.6060408E+07,     4.634,     4.733
          67,  0.3061589E+06,  0.6060522E+07,     5.896,     6.032
          68,  0.3063883E+06,  0.6060318E+07,     5.078,     5.185
          69,  0.3063246E+06,  0.6060448E+07,     5.163,     5.278
          70,  0.3065669E+06,  0.6060227E+07,     4.649,     4.746
          71,  0.3065032E+06,  0.6060346E+07,     5.995,     6.126
          72,  0.3067455E+06,  0.6060137E+07,     5.587,     5.709
          73,  0.3066745E+06,  0.6060271E+07,     5.148,     5.260
          74,  0.3069242E+06,  0.6060047E+07,     5.060,     5.168
          75,  0.3068656E+06,  0.6060173E+07,     5.838,     5.966
          76,  0.3071028E+06,  0.6059957E+07,     4.993,     5.098
          77,  0.3070414E+06,  0.6060081E+07,     5.944,     6.075
          78,  0.3072814E+06,  0.6059866E+07,     5.115,     5.227
          79,  0.3072182E+06,  0.6059991E+07,     5.972,     6.107
          80,  0.3074600E+06,  0.6059776E+07,     5.560,     5.683
          81,  0.3073882E+06,  0.6059917E+07,     5.241,     5.361
          82,  0.3076386E+06,  0.6059686E+07,     4.457,     4.551
          83,  0.3075624E+06,  0.6059826E+07,     5.635,     5.762
          84,  0.3076468E+06,  0.6059764E+07,     4.341,     4.427
          85,  0.3078168E+06,  0.6059595E+07,     4.969,     5.077
          86,  0.3077361E+06,  0.6059718E+07,     5.709,     5.835
          87,  0.3079942E+06,  0.6059502E+07,     5.482,     5.605
          88,  0.3079117E+06,  0.6059649E+07,     4.938,     5.049
          89,  0.3079941E+06,  0.6059602E+07,     5.167,     5.279
          90,  0.3081711E+06,  0.6059408E+07,     5.421,     5.535
          91,  0.3080826E+06,  0.6059555E+07,     5.312,     5.435
          92,  0.3081685E+06,  0.6059511E+07,     5.129,     5.240
          93,  0.3083481E+06,  0.6059315E+07,     5.353,     5.456
          94,  0.3082570E+06,  0.6059464E+07,     5.019,     5.131
          95,  0.3083416E+06,  0.6059421E+07,     5.008,     5.113
          96,  0.3085251E+06,  0.6059221E+07,     4.724,     4.821
          97,  0.3084301E+06,  0.6059374E+07,     4.855,     4.959
          98,  0.3085156E+06,  0.6059328E+07,     4.764,     4.863
          99,  0.3087020E+06,  0.6059128E+07,     4.764,     4.873
         100,  0.3086747E+06,  0.6059234E+07,     5.518,     5.635
         101,  0.3088790E+06,  0.6059034E+07,     5.510,     5.626
         102,  0.3087632E+06,  0.6059188E+07,     4.360,     4.451
         103,  0.3088625E+06,  0.6059148E+07,     5.585,     5.706
         104,  0.3090560E+06,  0.6058941E+07,     5.490,     5.606
         105,  0.3090392E+06,  0.6059055E+07,     5.566,     5.688
         106,  0.3092329E+06,  0.6058848E+07,     5.728,     5.846
         107,  0.3092141E+06,  0.6058963E+07,     5.622,     5.746
         108,  0.3094099E+06,  0.6058754E+07,     4.751,     4.846
         109,  0.3093978E+06,  0.6058859E+07,     4.936,     5.043
         110,  0.3095869E+06,  0.6058661E+07,     4.665,     4.760
         111,  0.3095600E+06,  0.6058764E+07,     5.542,     5.664
         112,  0.3097638E+06,  0.6058567E+07,     4.807,     4.906
         113,  0.3097336E+06,  0.6058674E+07,     5.554,     5.677
         114,  0.3099408E+06,  0.6058474E+07,     4.649,     4.744
         115,  0.3099094E+06,  0.6058580E+07,     5.623,     5.749
         116,  0.3101178E+06,  0.6058380E+07,     5.220,     5.325
         117,  0.3100786E+06,  0.6058499E+07,     5.278,     5.396
         118,  0.3102947E+06,  0.6058287E+07,     5.581,     5.687
         119,  0.3102574E+06,  0.6058405E+07,     5.852,     5.977
         120,  0.3104717E+06,  0.6058193E+07,     5.165,     5.271
         121,  0.3104516E+06,  0.6058302E+07,     5.562,     5.678
         122,  0.3106487E+06,  0.6058100E+07,     5.163,     5.273
         123,  0.3106303E+06,  0.6058207E+07,     5.492,     5.611
         124,  0.3108256E+06,  0.6058006E+07,     4.794,     4.895
         125,  0.3108048E+06,  0.6058115E+07,     5.210,     5.327
         126,  0.3110025E+06,  0.6057912E+07,     5.228,     5.335
         127,  0.3109682E+06,  0.6058020E+07,     5.917,     6.052
         128,  0.3111779E+06,  0.6057816E+07,     5.570,     5.687
         129,  0.3111519E+06,  0.6057945E+07,     5.184,     5.301
         130,  0.3113521E+06,  0.6057718E+07,     4.888,     4.994
         131,  0.3113167E+06,  0.6057829E+07,     5.997,     6.135
