FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Cell Coordinates and properties applied to model,X,Y,ZB,MATID,Area,ID
, 0.30073372143142E+06, 0.60633191351427E+07, -0.2222057E+02,           1,  0.4090407E+05,           1
, 0.30089754449152E+06, 0.60632266633650E+07, -0.2200000E+02,           1,  0.3803384E+05,           2
, 0.30107049137891E+06, 0.60631226102021E+07, -0.2200000E+02,           1,  0.3273069E+05,           3
, 0.30124372259617E+06, 0.60630358338140E+07, -0.2200000E+02,           1,  0.3365803E+05,           4
, 0.30141948113913E+06, 0.60629459531034E+07, -0.2188535E+02,           1,  0.3394906E+05,           5
, 0.30159570279647E+06, 0.60628560769639E+07, -0.2138535E+02,           1,  0.3417332E+05,           6
, 0.30177285198066E+06, 0.60627649549355E+07, -0.2127695E+02,           1,  0.3419002E+05,           7
, 0.30194780158502E+06, 0.60626782851522E+07, -0.2202695E+02,           1,  0.3396430E+05,           8
, 0.30208603066667E+06, 0.60626434100000E+07, -0.2207377E+02,           1,  0.1624652E+05,           9
, 0.30213696766667E+06, 0.60625465833333E+07, -0.2307377E+02,           1,  0.1719352E+05,          10
, 0.30229475570885E+06, 0.60625061784864E+07, -0.2330532E+02,           1,  0.3942908E+05,          11
, 0.30247903253493E+06, 0.60624140677825E+07, -0.2400000E+02,           1,  0.3825528E+05,          12
, 0.30265704830356E+06, 0.60623217620393E+07, -0.2397880E+02,           1,  0.3768361E+05,          13
, 0.30283413130595E+06, 0.60622307224640E+07, -0.2397880E+02,           1,  0.3748439E+05,          14
, 0.30301067644371E+06, 0.60621401815383E+07, -0.2400000E+02,           1,  0.3743126E+05,          15
, 0.30318697374452E+06, 0.60620495436409E+07, -0.2400000E+02,           1,  0.3729327E+05,          16
, 0.30336313084070E+06, 0.60619589286677E+07, -0.2350000E+02,           1,  0.3717267E+05,          17
, 0.30353932212335E+06, 0.60618684298274E+07, -0.2300000E+02,           1,  0.3709461E+05,          18
, 0.30371588938993E+06, 0.60617777820542E+07, -0.2330764E+02,           1,  0.3718893E+05,          19
, 0.30386138533333E+06, 0.60617362933333E+07, -0.2341018E+02,           1,  0.1735680E+05,          20
