FVC file = MER_Scen2_20170701_20200701.fvc, Simulation Execution: 06/12/2020 11:56:13
Nodestring coordinates,X,Y,ZB,Chain,Length,LeftCellID,RightCellID,NSID,ID
, 0.31405200000000E+06, 0.60561900000000E+07, -0.2416100E+02,  0.0000000E+00,  0.1521045E+05,          86,           0,           1,           1
, 0.31387781200000E+06, 0.60562885600000E+07, -0.2400000E+02,  0.2001388E+03,  0.1521045E+05,          84,           0,           1,           1
, 0.31370362400000E+06, 0.60563871200000E+07, -0.2400000E+02,  0.4002776E+03,  0.1521045E+05,          83,           0,           1,           1
, 0.31352943600000E+06, 0.60564856700000E+07, -0.2400000E+02,  0.6004114E+03,  0.1521045E+05,          82,           0,           1,           1
, 0.31335524900000E+06, 0.60565842300000E+07, -0.2464015E+02,  0.8005493E+03,  0.1521045E+05,          81,           0,           1,           1
, 0.31318106100000E+06, 0.60566827900000E+07, -0.2586670E+02,  0.1000688E+04,  0.1521045E+05,          80,           0,           1,           1
, 0.31300687300000E+06, 0.60567813500000E+07, -0.2578718E+02,  0.1200827E+04,  0.1521045E+05,          79,           0,           1,           1
, 0.31283268500000E+06, 0.60568799100000E+07, -0.2514872E+02,  0.1400966E+04,  0.1521045E+05,          78,           0,           1,           1
, 0.31265849700000E+06, 0.60569784700000E+07, -0.2600000E+02,  0.1601104E+04,  0.1521045E+05,          77,           0,           1,           1
, 0.31248430900000E+06, 0.60570770200000E+07, -0.2699862E+02,  0.1801238E+04,  0.1521045E+05,          76,           0,           1,           1
, 0.31231012100000E+06, 0.60571755800000E+07, -0.2639368E+02,  0.2001377E+04,  0.1521045E+05,          75,           0,           1,           1
, 0.31213593300000E+06, 0.60572741400000E+07, -0.2454452E+02,  0.2201516E+04,  0.1521045E+05,          74,           0,           1,           1
, 0.31196174600000E+06, 0.60573727000000E+07, -0.2230534E+02,  0.2401654E+04,  0.1521045E+05,          73,           0,           1,           1
, 0.31178755800000E+06, 0.60574712600000E+07, -0.2400000E+02,  0.2601792E+04,  0.1521045E+05,          72,           0,           1,           1
, 0.31161337000000E+06, 0.60575698200000E+07, -0.2464523E+02,  0.2801931E+04,  0.1521045E+05,          71,           0,           1,           1
, 0.31143918200000E+06, 0.60576683700000E+07, -0.2318441E+02,  0.3002065E+04,  0.1521045E+05,          70,           0,           1,           1
, 0.31126499400000E+06, 0.60577669300000E+07, -0.2589266E+02,  0.3202204E+04,  0.1521045E+05,          69,           0,           1,           1
, 0.31109080600000E+06, 0.60578654900000E+07, -0.2557066E+02,  0.3402342E+04,  0.1521045E+05,          68,           0,           1,           1
, 0.31091410900000E+06, 0.60579594600000E+07, -0.2600000E+02,  0.3602473E+04,  0.1521045E+05,          67,           0,           1,           1
, 0.31073714400000E+06, 0.60580529400000E+07, -0.2600000E+02,  0.3802610E+04,  0.1521045E+05,          66,           0,           1,           1
, 0.31056017900000E+06, 0.60581464200000E+07, -0.2676791E+02,  0.4002748E+04,  0.1521045E+05,          65,           0,           1,           1
, 0.31038321300000E+06, 0.60582399000000E+07, -0.2846508E+02,  0.4202887E+04,  0.1521045E+05,          64,           0,           1,           1
, 0.31020624800000E+06, 0.60583333800000E+07, -0.2725514E+02,  0.4403024E+04,  0.1521045E+05,          63,           0,           1,           1
, 0.31002928300000E+06, 0.60584268600000E+07, -0.2602053E+02,  0.4603162E+04,  0.1521045E+05,          62,           0,           1,           1
, 0.30985231800000E+06, 0.60585203400000E+07, -0.2581322E+02,  0.4803300E+04,  0.1521045E+05,          61,           0,           1,           1
, 0.30967535300000E+06, 0.60586138200000E+07, -0.2700000E+02,  0.5003438E+04,  0.1521045E+05,          60,           0,           1,           1
, 0.30949838800000E+06, 0.60587073000000E+07, -0.2700000E+02,  0.5203575E+04,  0.1521045E+05,          59,           0,           1,           1
, 0.30932142200000E+06, 0.60588007800000E+07, -0.2700000E+02,  0.5403714E+04,  0.1521045E+05,          58,           0,           1,           1
, 0.30914445700000E+06, 0.60588942600000E+07, -0.2700000E+02,  0.5603852E+04,  0.1521045E+05,          57,           0,           1,           1
, 0.30896749200000E+06, 0.60589877400000E+07, -0.2700000E+02,  0.5803989E+04,  0.1521045E+05,          56,           0,           1,           1
, 0.30879052700000E+06, 0.60590812200000E+07, -0.2794260E+02,  0.6004127E+04,  0.1521045E+05,          54,           0,           1,           1
, 0.30861356200000E+06, 0.60591747000000E+07, -0.2794215E+02,  0.6204265E+04,  0.1521045E+05,          53,           0,           1,           1
, 0.30843659600000E+06, 0.60592681800000E+07, -0.2776861E+02,  0.6404403E+04,  0.1521045E+05,          51,           0,           1,           1
, 0.30825963100000E+06, 0.60593616600000E+07, -0.2615830E+02,  0.6604541E+04,  0.1521045E+05,          49,           0,           1,           1
