ISOTime,Goolwa_2017,Mundoo_2017,Ewe_2017,Tauwitchere_2017,Boundary_2017,Sal
12/12/2012 00:00:00,0,0,0,0,0,0.3
12/12/2012 01:00:00,17.17,1.73,0,103.07,4.53,0.3
12/12/2012 02:00:00,17.6,1.72,0,102.3,4.68,0.3
12/12/2012 03:00:00,18.21,1.78,0,105.65,4.92,0.3
12/12/2012 04:00:00,19.36,1.91,0,111.41,5.27,0.3
12/12/2012 05:00:00,20.63,2,0,115.37,5.37,0.3
12/12/2012 06:00:00,21.87,2.08,0,118.94,5.19,0.3
12/12/2012 07:00:00,22.78,2.18,0,124.41,5.3,0.3
12/12/2012 08:00:00,23.43,2.28,0,130.21,5.84,0.3
12/12/2012 09:00:00,24.05,2.35,0,135.67,6.34,0.3
12/12/2012 10:00:00,24.39,2.39,0,140.2,6.52,0.3
12/12/2012 11:00:00,24.5,2.4,0,141.88,6.52,0.3
12/12/2012 12:00:00,24.48,2.37,0,140.03,6.05,0.3
12/12/2012 13:00:00,24.26,2.33,0,137.2,5.42,0.3
12/12/2012 14:00:00,24.12,2.31,0,136.43,4.98,0.3
12/12/2012 15:00:00,23.86,2.32,0,138.36,5.12,0.3
12/12/2012 16:00:00,23.49,2.33,0,137.07,5.13,0.3
12/12/2012 17:00:00,23.22,2.33,0,133.73,5.43,0.3
12/12/2012 18:00:00,23.85,2.28,0,138.63,4.88,0.3
12/12/2012 19:00:00,23.65,2.29,0,146.18,5.03,0.3
12/12/2012 20:00:00,22.81,2.25,0,148.49,5.35,0.3
12/12/2012 21:00:00,21.57,2.15,0,150.1,5.27,0.3
12/12/2012 22:00:00,19.9,2.03,0,146.12,5.24,0.3
12/12/2012 23:00:00,17.81,1.85,0,140.19,5,0.3
13/12/2012 00:00:00,15.13,1.66,0,137.32,4.87,0.3
13/12/2012 01:00:00,11.94,1.42,0,132.22,4.95,0.3
13/12/2012 02:00:00,11.7,1.25,0,125.03,4.67,0.3
13/12/2012 03:00:00,12.42,1.21,0,120.61,4.37,0.3
13/12/2012 04:00:00,13.54,1.28,0,123.34,4.43,0.3
13/12/2012 05:00:00,14.19,1.35,0,131.01,4.9,0.3
13/12/2012 06:00:00,14.8,1.39,0,138.26,5.08,0.3
13/12/2012 07:00:00,14.98,1.4,0,141.83,5,0.3
13/12/2012 08:00:00,14.79,1.37,0,143.29,4.83,0.3
13/12/2012 09:00:00,14.23,1.33,0,145.19,4.5,0.3
13/12/2012 10:00:00,13.21,1.26,0,142.9,4.07,0.3
13/12/2012 11:00:00,12.05,1.14,0,132.45,2.09,0.3
13/12/2012 12:00:00,10.54,1.01,0,115.56,1.42,0.3
13/12/2012 13:00:00,9.53,0.88,0,106.49,0,0.3
13/12/2012 14:00:00,8.45,0.78,0,107.88,0,0.3
13/12/2012 15:00:00,7.25,0.74,0,103.58,2.1,0.3
13/12/2012 16:00:00,7.03,0.68,0,112.54,3.37,0.3
13/12/2012 17:00:00,6.62,0.63,0,155.62,4.05,0.3
13/12/2012 18:00:00,5.79,0.59,0,152.59,5.2,0.3
13/12/2012 19:00:00,5.01,0.46,0,136.65,4.32,0.3
13/12/2012 20:00:00,4,0.35,0,128.51,2.65,0.3
13/12/2012 21:00:00,2.92,0.26,0,128.05,2.71,0.3
13/12/2012 22:00:00,1.92,0.17,0,132.9,3.02,0.3
13/12/2012 23:00:00,1.02,0.08,0,128.06,3.98,0.3
14/12/2012 00:00:00,0.26,0,0,130.38,4.2,0.3
14/12/2012 01:00:00,0.21,0,0,126.98,4.6,0.3
14/12/2012 02:00:00,0.2,0,0,123.87,4.6,0.3
14/12/2012 03:00:00,0.23,0,0,120.86,4.68,0.3
14/12/2012 04:00:00,0.27,0,0,120.38,4.55,0.3
14/12/2012 05:00:00,0.3,0,0,129.02,4.53,0.3
14/12/2012 06:00:00,0.32,0,0,136.29,4.92,0.3
14/12/2012 07:00:00,0.34,0,0,141.69,5.19,0.3
14/12/2012 08:00:00,0.35,0,0,143.93,5.05,0.3
14/12/2012 09:00:00,0.36,0,0,139.85,4.09,0.3
14/12/2012 10:00:00,0.37,0,0,137.33,4.42,0.3
14/12/2012 11:00:00,0.38,0,0,142.66,4.59,0.3
14/12/2012 12:00:00,0.38,0,0,157.49,5.96,0.3
14/12/2012 13:00:00,0.38,0,0,162.96,6.76,0.3
14/12/2012 14:00:00,0.39,0,0,160.32,6.6,0.3
14/12/2012 15:00:00,0.4,0,0,152.77,6.07,0.3
14/12/2012 16:00:00,0.41,0,0,153.11,5.24,0.3
14/12/2012 17:00:00,0.4,0,0,156.06,5.32,0.3
14/12/2012 18:00:00,0.4,0,0,154.21,5.49,0.3
14/12/2012 19:00:00,0.4,0,0,150.9,5.05,0.3
14/12/2012 20:00:00,0.38,0,0,149.02,4.68,0.3
14/12/2012 21:00:00,0.36,0,0,145.16,3.63,0.3
14/12/2012 22:00:00,0.33,0,0,129.26,0.47,0.3
14/12/2012 23:00:00,0.28,0,0,104.89,0,0.3
15/12/2012 00:00:00,0.23,0,0,95.55,0.63,0.3
15/12/2012 01:00:00,0.14,0,0,107.75,0.84,0.3
15/12/2012 02:00:00,0,0,0,113.39,0.42,0.3
15/12/2012 03:00:00,0,0,0,95.54,0,0.3
15/12/2012 04:00:00,0.12,0,0,79.85,0,0.3
15/12/2012 05:00:00,0.18,0,0,86.1,0,0.3
15/12/2012 06:00:00,0.21,0,0,99.27,0.23,0.3
15/12/2012 07:00:00,0.24,0,0,108.14,1.92,0.3
15/12/2012 08:00:00,0.28,0,0,116.55,2.18,0.3
15/12/2012 09:00:00,0.3,0,0,124.12,1.97,0.3
15/12/2012 10:00:00,0.3,0,0,124.18,2.28,0.3
15/12/2012 11:00:00,0.31,0,0,119.76,2.89,0.3
15/12/2012 12:00:00,0.31,0,0,123.17,2.16,0.3
15/12/2012 13:00:00,0.31,0,0,129.24,3.4,0.3
15/12/2012 14:00:00,0.32,0,0,133.05,3.92,0.3
15/12/2012 15:00:00,0.32,0,0,135.95,4.44,0.3
15/12/2012 16:00:00,0.34,0,0,141,4.67,0.3
15/12/2012 17:00:00,0.36,0,0,137.66,2.31,0.3
15/12/2012 18:00:00,0.36,0,0,131.36,1.41,0.3
15/12/2012 19:00:00,0.35,0,0,127,1.99,0.3
15/12/2012 20:00:00,0.33,0,0,136.51,2.38,0.3
15/12/2012 21:00:00,0.3,0,0,150.28,3.85,0.3
15/12/2012 22:00:00,0.3,0,0,145.8,4.43,0.3
15/12/2012 23:00:00,0.29,0,0,129.71,2.02,0.3
16/12/2012 00:00:00,0.24,0,0,114.13,0.46,0.3
16/12/2012 01:00:00,0.5,0.04,0,98.14,0,0.3
16/12/2012 02:00:00,0,0,0,76.42,0,0.3
16/12/2012 03:00:00,0,0,0,51.87,0,0.3
16/12/2012 04:00:00,0,0,0,40.65,0,0.3
16/12/2012 05:00:00,0,0,0,59.51,0,0.3
16/12/2012 06:00:00,0,0.06,0,77.24,0,0.3
16/12/2012 07:00:00,2.81,0.3,0,82.38,0,0.3
16/12/2012 08:00:00,4.31,0.4,0,87.64,0.23,0.3
16/12/2012 09:00:00,5.59,0.53,0,101.59,1.56,0.3
16/12/2012 10:00:00,6.89,0.68,0,116.87,2.33,0.3
16/12/2012 11:00:00,8.12,0.81,0,122.2,3.21,0.3
16/12/2012 12:00:00,9.11,0.9,0,121.45,3.57,0.3
16/12/2012 13:00:00,9.72,0.95,0,116.1,2.2,0.3
