Date,With all Water,No CEW,No eWater
01/07/2013,  0.017825,  0.000000,  0.000000
02/07/2013,  0.505542,  0.357119,  0.356895
03/07/2013,  0.000000,  0.000000,  0.000000
04/07/2013,  0.326097,  0.224515,  0.224968
05/07/2013,  0.003888,  0.003484,  0.003513
06/07/2013,  0.838968,  0.448757,  0.448676
07/07/2013,  0.817948,  0.000881,  0.000911
08/07/2013,  0.000000,  0.000000,  0.000000
09/07/2013,  0.000000,  0.000000,  0.000000
10/07/2013,  0.000000,  0.000000,  0.000000
11/07/2013,  0.000000,  0.000000,  0.000000
12/07/2013,  0.000000,  0.000000,  0.000000
13/07/2013,  0.000000,  0.000000,  0.000000
14/07/2013,  0.000000,  0.000000,  0.000000
15/07/2013,  0.000000,  0.000000,  0.000000
16/07/2013,  0.000000,  0.000000,  0.000000
17/07/2013,  0.000000,  0.000000,  0.000000
18/07/2013,  4.110720,  3.675515,  3.676859
19/07/2013,  4.737671,  4.645684,  4.644437
20/07/2013,  0.051795,  0.044931,  0.043601
21/07/2013,  0.000000,  0.000000,  0.000000
22/07/2013,  0.000000,  0.000000,  0.000000
23/07/2013,  0.000000,  0.000000,  0.000000
24/07/2013,  0.000000,  0.000000,  0.000000
25/07/2013,  0.000000,  0.000000,  0.000000
26/07/2013,  0.000000,  0.000000,  0.000000
27/07/2013,  0.000000,  0.000000,  0.000000
28/07/2013,  0.000000,  0.000000,  0.000000
29/07/2013,  0.000000,  0.000000,  0.000000
30/07/2013,  0.000000,  0.000000,  0.000000
31/07/2013,  0.000000,  0.000000,  0.000000
01/08/2013,  0.000000,  0.000000,  0.000000
02/08/2013,  0.000000,  0.000000,  0.000000
03/08/2013,  0.000000,  0.000000,  0.000000
04/08/2013,  0.000000,  0.000000,  0.000000
05/08/2013,  0.000000,  0.000000,  0.000000
06/08/2013,  0.000000,  0.000000,  0.000000
07/08/2013,  0.000000,  0.000000,  0.000000
08/08/2013,  0.000000,  0.000000,  0.000000
09/08/2013,  0.000000,  0.000000,  0.000000
10/08/2013,  0.000000,  0.000000,  0.000000
11/08/2013, 18.923731, 15.881429, 15.878799
12/08/2013,  5.830315,  5.055798,  5.055696
13/08/2013, 19.453044, 19.281245, 19.284460
14/08/2013,  3.631102,  3.686260,  3.686621
15/08/2013,  0.000000,  0.000000,  0.000000
16/08/2013,  0.000000,  0.000000,  0.000000
