Date,Inflow_GL,TN_kg,TP_kg
2012-01-01 00:00:00,0.001136,1.970457,0.074871
2012-01-02 00:00:00,0.000529,0.917225,0.034852
2012-01-03 00:00:00,0.000777,1.348199,0.051227
2012-01-04 00:00:00,0.001049,1.819616,0.069140
2012-01-05 00:00:00,0.001059,1.838042,0.069840
2012-01-06 00:00:00,0.000856,1.485299,0.056437
2012-01-07 00:00:00,0.000633,1.098672,0.041746
2012-01-08 00:00:00,0.000761,1.320717,0.050183
2012-01-09 00:00:00,0.000878,1.522619,0.057855
2012-01-10 00:00:00,0.000957,1.659875,0.063070
2012-01-11 00:00:00,0.001003,1.739511,0.066096
2012-01-12 00:00:00,0.000755,1.309318,0.049750
2012-01-13 00:00:00,0.000750,1.301042,0.049436
2012-01-14 00:00:00,0.000788,1.366625,0.051927
2012-01-15 00:00:00,0.000561,0.973283,0.036982
2012-01-16 00:00:00,0.000335,0.581034,0.022077
2012-01-17 00:00:00,0.000357,0.619603,0.023543
2012-01-18 00:00:00,0.000575,0.998111,0.037925
2012-01-19 00:00:00,0.000673,1.167534,0.044363
2012-01-20 00:00:00,0.000606,1.051827,0.039966
2012-01-21 00:00:00,0.000467,0.810263,0.030787
2012-01-22 00:00:00,0.000264,0.457520,0.017384
2012-01-23 00:00:00,0.000194,0.335879,0.012762
2012-01-24 00:00:00,0.000271,0.470324,0.017871
2012-01-25 00:00:00,0.000454,0.788558,0.029963
2012-01-26 00:00:00,0.000505,0.876782,0.033315
2012-01-27 00:00:00,0.000317,0.549804,0.020891
2012-01-28 00:00:00,0.000197,0.341500,0.012976
2012-01-29 00:00:00,0.000351,0.608517,0.023122
2012-01-30 00:00:00,0.000919,1.595229,0.060614
2012-01-31 00:00:00,0.001489,2.582722,0.098135
2012-02-01 00:00:00,0.001240,2.151123,0.081736
2012-02-02 00:00:00,0.000692,1.201262,0.045644
2012-02-03 00:00:00,0.000394,0.682844,0.025946
2012-02-04 00:00:00,0.000459,0.796053,0.030248
2012-02-05 00:00:00,0.001241,2.153465,0.081825
2012-02-06 00:00:00,0.001530,2.654082,0.100847
