Date,With all Water,No CEW,No eWater
01/07/2013,  0.035618,  0.000000,  0.000000
02/07/2013,  1.002447,  0.708633,  0.708190
03/07/2013,  0.000000,  0.000000,  0.000000
04/07/2013,  0.592201,  0.405563,  0.406384
05/07/2013,  0.006789,  0.006057,  0.006107
06/07/2013,  1.460932,  0.781171,  0.781028
07/07/2013,  1.424072,  0.001510,  0.001560
08/07/2013,  0.000000,  0.000000,  0.000000
09/07/2013,  0.000000,  0.000000,  0.000000
10/07/2013,  0.000000,  0.000000,  0.000000
11/07/2013,  0.000000,  0.000000,  0.000000
12/07/2013,  0.000000,  0.000000,  0.000000
13/07/2013,  0.000000,  0.000000,  0.000000
14/07/2013,  0.000000,  0.000000,  0.000000
15/07/2013,  0.000000,  0.000000,  0.000000
16/07/2013,  0.000000,  0.000000,  0.000000
17/07/2013,  0.000000,  0.000000,  0.000000
18/07/2013,  6.536429,  5.835716,  5.837814
19/07/2013,  7.787897,  7.625654,  7.623498
20/07/2013,  0.083469,  0.072468,  0.070374
21/07/2013,  0.000000,  0.000000,  0.000000
22/07/2013,  0.000000,  0.000000,  0.000000
23/07/2013,  0.000000,  0.000000,  0.000000
24/07/2013,  0.000000,  0.000000,  0.000000
25/07/2013,  0.000000,  0.000000,  0.000000
26/07/2013,  0.000000,  0.000000,  0.000000
27/07/2013,  0.000000,  0.000000,  0.000000
28/07/2013,  0.000000,  0.000000,  0.000000
29/07/2013,  0.000000,  0.000000,  0.000000
30/07/2013,  0.000000,  0.000000,  0.000000
31/07/2013,  0.000000,  0.000000,  0.000000
01/08/2013,  0.000000,  0.000000,  0.000000
02/08/2013,  0.000000,  0.000000,  0.000000
03/08/2013,  0.000000,  0.000000,  0.000000
04/08/2013,  0.000000,  0.000000,  0.000000
05/08/2013,  0.000000,  0.000000,  0.000000
06/08/2013,  0.000000,  0.000000,  0.000000
07/08/2013,  0.000000,  0.000000,  0.000000
08/08/2013,  0.000000,  0.000000,  0.000000
09/08/2013,  0.000000,  0.000000,  0.000000
10/08/2013,  0.000000,  0.000000,  0.000000
11/08/2013, 29.607320, 24.748054, 24.743961
12/08/2013,  9.252571,  8.003457,  8.003339
13/08/2013, 30.914089, 30.557950, 30.563163
14/08/2013,  5.850481,  5.927816,  5.928434
15/08/2013,  0.000000,  0.000000,  0.000000
16/08/2013,  0.000000,  0.000000,  0.000000
17/08/2013,  9.182248, 10.555318, 10.558331
18/08/2013,  4.063336,  4.231820,  4.228883
19/08/2013,  0.268972,  0.267755,  0.265645
20/08/2013,  0.000000,  0.000000,  0.000000
21/08/2013, 11.255134, 10.913539, 10.911840
22/08/2013, 23.574772, 23.270566, 23.270670
23/08/2013, 14.341497, 13.963748, 13.961099
24/08/2013, 20.741445, 20.423423, 20.425416
25/08/2013, 34.890885, 34.568480, 34.567809
26/08/2013, 45.777196, 45.474887, 45.475145
27/08/2013, 41.819122, 42.025437, 42.027187
28/08/2013, 46.472606, 46.486122, 46.489186
29/08/2013, 42.292022, 41.981120, 41.978608
30/08/2013, 25.924871, 25.696562, 25.696542
31/08/2013, 18.093345, 18.029635, 18.029085
01/09/2013, 25.082839, 25.518940, 25.518481
02/09/2013, 24.228701, 24.706826, 24.706523
03/09/2013, 24.015321, 23.969325, 23.969453
04/09/2013, 39.158218, 38.553675, 38.554117
05/09/2013, 32.833842, 32.043603, 32.042519
06/09/2013, 28.218294, 27.451150, 27.451305
07/09/2013, 19.876461, 19.113255, 19.112979
08/09/2013, 32.192629, 31.511060, 31.509908
09/09/2013, 41.642852, 41.184409, 41.185552
10/09/2013, 20.953076, 20.628896, 20.628928
11/09/2013,  2.269373,  2.020615,  2.021140
12/09/2013,  2.482687,  2.230236,  2.229956
13/09/2013, 26.413813, 26.119090, 26.118512
14/09/2013,  8.652761,  8.538794,  8.538764
15/09/2013, 34.699183, 34.413928, 34.416292
16/09/2013, 40.067593, 40.042231, 40.043324
17/09/2013, 35.134983, 35.208196, 35.208566
18/09/2013, 10.554513, 10.594324, 10.595879
19/09/2013,  0.650856,  0.855129,  0.855547
20/09/2013,  0.797223,  0.864005,  0.863975
21/09/2013,  0.928134,  1.241683,  1.241059
22/09/2013,  3.566212,  4.280611,  4.281999
23/09/2013, 12.900667, 13.679687, 13.679662
24/09/2013, 30.687730, 31.147939, 31.147570
25/09/2013, 36.288034, 36.294736, 36.294607
26/09/2013,  5.296417,  5.311743,  5.315584
27/09/2013,  3.901668,  4.069874,  4.069649
28/09/2013,  4.325639,  4.421140,  4.421838
29/09/2013,  0.000000,  0.000000,  0.000000
30/09/2013, 44.924744, 44.962209, 44.972728
01/10/2013, 26.482916, 26.370363, 26.366814
02/10/2013,  7.987812,  7.697140,  7.703472
03/10/2013,  1.733394,  1.182164,  1.182148
04/10/2013, 32.952381, 31.708524, 31.709230
05/10/2013, 36.222372, 36.011690, 36.013540
06/10/2013, 31.979938, 31.359955, 31.360444
07/10/2013, 38.631512, 37.837005, 37.838448
08/10/2013, 44.359994, 43.550028, 43.545703
09/10/2013, 39.733020, 38.955036, 38.953533
10/10/2013, 32.875408, 31.877420, 31.877354
11/10/2013, 50.642412, 49.418575, 49.423233
12/10/2013, 41.455886, 40.381775, 40.380535
13/10/2013, 12.008540, 11.613813, 11.614141
14/10/2013, 47.745307, 46.782435, 46.782401
15/10/2013, 56.544146, 55.376288, 55.377105
16/10/2013, 40.450853, 40.054394, 40.054664
17/10/2013, 13.616583, 12.494029, 12.496073
18/10/2013, 33.413931, 30.771425, 30.774079
19/10/2013, 37.369380, 38.021446, 38.023916
20/10/2013, 26.736905, 26.597343, 26.601999
21/10/2013, 41.435950, 41.262996, 41.265383
22/10/2013, 38.431449, 38.110117, 38.114232
23/10/2013, 16.261081, 15.780221, 15.781129
24/10/2013, 21.355536, 18.075117, 18.073628
25/10/2013,  3.984042,  0.375774,  0.372533
26/10/2013,  0.912345,  0.287639,  0.285347
27/10/2013, 34.896825, 33.209375, 33.104261
28/10/2013, 26.349146, 25.548039, 25.217067
29/10/2013,  0.147562,  0.035756,  0.000000
30/10/2013,  0.000000,  0.000000,  0.000000
31/10/2013,  0.000000,  0.000000,  0.000000
01/11/2013,  2.614653,  1.981256,  0.000000
02/11/2013, 33.732663, 32.585993, 25.152923
03/11/2013,  9.120329,  8.549202,  6.492232
04/11/2013,  0.000000,  0.000000,  0.000000
05/11/2013,  0.000000,  0.000000,  0.000000
06/11/2013, 13.331594,  6.039860,  0.000000
07/11/2013, 24.694861, 16.395747,  2.219494
08/11/2013,  5.342731,  1.971343,  0.000000
09/11/2013,  0.000000,  0.000000,  0.000000
10/11/2013,  0.153062,  0.000000,  0.000000
11/11/2013, 13.507483,  0.000000,  0.000000
