Date,With all Water,No CEW,No eWater
01/07/2013, -0.988003, -0.986652, -0.988557
02/07/2013, -7.269071, -7.403772, -7.403611
03/07/2013, -8.776572, -8.793123, -8.790368
04/07/2013,-24.988059,-25.116118,-25.115193
05/07/2013,-20.581033,-20.631660,-20.636787
06/07/2013,  3.884817,  3.567503,  3.558757
07/07/2013, 10.086787,  9.380963,  9.387325
08/07/2013, 13.589648, 13.232162, 13.236562
09/07/2013, 14.399209, 13.950183, 13.953277
10/07/2013,  9.636429,  9.504595,  9.496991
11/07/2013,  7.043467,  6.936289,  6.932582
12/07/2013,  5.005713,  4.964770,  4.962803
13/07/2013,  4.014618,  3.978580,  3.975978
14/07/2013, -2.083825, -2.084902, -2.073725
15/07/2013,  3.972383,  3.924323,  3.930289
16/07/2013,  7.153619,  7.093103,  7.092161
17/07/2013,  0.869119,  0.850356,  0.843470
18/07/2013,-19.827147,-20.044533,-20.037888
19/07/2013,-18.451681,-18.648844,-18.653653
20/07/2013,-11.490698,-11.521197,-11.510303
21/07/2013,  5.856379,  5.843086,  5.860571
22/07/2013,  3.879169,  3.865041,  3.862302
23/07/2013, 10.600186, 10.584549, 10.586866
24/07/2013, 11.378379, 11.371941, 11.363479
25/07/2013, 11.524101, 11.492648, 11.493011
26/07/2013,  6.457347,  6.425053,  6.428137
27/07/2013,  4.014614,  3.985291,  3.982163
28/07/2013, -4.793646, -4.806920, -4.805108
29/07/2013, -9.221203, -9.226166, -9.232682
30/07/2013,  3.728013,  3.712752,  3.713505
31/07/2013,  4.166844,  4.167011,  4.164300
01/08/2013,  2.635590,  2.633917,  2.634076
02/08/2013,-18.124906,-18.148992,-18.140931
03/08/2013,-13.994419,-14.013586,-14.009330
04/08/2013, -4.117490, -4.129860, -4.134136
05/08/2013, -0.541511, -0.539849, -0.542891
06/08/2013, -3.381836, -3.385247, -3.385236
07/08/2013, -2.404011, -2.412737, -2.405620
08/08/2013,  6.638707,  6.626688,  6.628280
09/08/2013,  5.001701,  4.997796,  4.998476
10/08/2013,  0.412751,  0.420680,  0.413996
11/08/2013, 10.119535,  8.229264,  8.232615
12/08/2013, -3.592875, -4.764321, -4.765551
13/08/2013,  4.863134,  4.333479,  4.344055
14/08/2013, -4.992832, -5.242335, -5.239386
15/08/2013, 10.184864,  9.957459,  9.968475
16/08/2013,  0.336268,  0.107632,  0.109614
17/08/2013,-14.159113,-13.611788,-13.608446
18/08/2013,-15.667408,-15.566617,-15.535578
19/08/2013,  3.599504,  3.583704,  3.567778
20/08/2013, 12.839000, 12.789779, 12.796065
21/08/2013, 13.280985, 13.087114, 13.089064
22/08/2013, 12.648458, 12.355259, 12.354187
23/08/2013, 15.285197, 14.900843, 14.892163
24/08/2013, 25.744574, 25.404746, 25.404151
25/08/2013, 39.238698, 38.893129, 38.893435
26/08/2013, 43.885215, 43.525424, 43.521102
27/08/2013, 46.227616, 46.166388, 46.166173
28/08/2013, 49.059826, 49.056232, 49.056943
29/08/2013, 44.763805, 44.562523, 44.568205
30/08/2013, 25.196356, 24.969837, 24.969540
31/08/2013, 33.793543, 33.590379, 33.587170
01/09/2013, 30.645988, 30.650017, 30.649338
02/09/2013, 30.421085, 30.680768, 30.677807
03/09/2013, 32.618879, 32.670909, 32.670436
04/09/2013, 34.800380, 34.401647, 34.410220
05/09/2013, 40.100299, 39.562665, 39.565186
06/09/2013, 36.411128, 35.715192, 35.716704
07/09/2013, 30.223148, 29.502679, 29.499045
08/09/2013, 31.787436, 31.131535, 31.131363
09/09/2013, 24.948028, 24.391622, 24.392588
10/09/2013, 11.170336, 10.837634, 10.835399
11/09/2013, 15.789462, 15.384211, 15.391433
12/09/2013, 21.868800, 21.592334, 21.595614
13/09/2013, 19.489435, 19.119158, 19.120396
14/09/2013, 12.868884, 12.575495, 12.570406
15/09/2013, 24.610099, 24.356615, 24.353400
16/09/2013, 21.979118, 21.822399, 21.821974
17/09/2013, 27.928366, 27.884078, 27.885748
18/09/2013, -1.946446, -1.981988, -1.965806
19/09/2013,  3.887999,  3.907509,  3.908497
20/09/2013,  6.705258,  6.775639,  6.785580
21/09/2013, 13.471260, 13.594141, 13.595021
22/09/2013, 14.314009, 14.950980, 14.954223
23/09/2013,  8.494660,  8.988112,  8.987468
24/09/2013, 12.704493, 13.101846, 13.104500
25/09/2013, 10.985576, 11.105976, 11.103763
26/09/2013, -7.033048, -7.044626, -7.042651
27/09/2013,  3.996771,  4.127423,  4.128840
28/09/2013,  1.799750,  1.943916,  1.934172
29/09/2013, 11.684243, 11.806549, 11.803325
30/09/2013, 18.695655, 18.762995, 18.786664
01/10/2013, -1.126258, -1.161332, -1.170024
02/10/2013, -6.647393, -6.769918, -6.771410
03/10/2013, 17.184964, 16.887336, 16.885988
04/10/2013, 32.091843, 31.195367, 31.194392
05/10/2013, 35.477552, 35.259156, 35.262474
06/10/2013, 31.771373, 31.275242, 31.273516
07/10/2013, 39.774309, 39.136599, 39.143059
08/10/2013, 45.527399, 44.921852, 44.915517
09/10/2013, 48.302003, 47.590469, 47.593890
10/10/2013, 42.024580, 41.212156, 41.227328
11/10/2013, 47.358584, 46.415664, 46.409371
12/10/2013, 48.007576, 46.869206, 46.871948
13/10/2013, 16.672767, 16.023046, 16.026029
14/10/2013, 44.022136, 43.147508, 43.143822
15/10/2013, 44.379387, 43.369026, 43.368976
16/10/2013, 34.934548, 34.363037, 34.369954
17/10/2013,  9.513323,  8.703207,  8.710188
18/10/2013, 40.579513, 38.510470, 38.509213
19/10/2013, 47.068141, 46.723817, 46.725044
20/10/2013, 39.487340, 39.213837, 39.223871
21/10/2013, 44.782328, 44.531238, 44.528211
22/10/2013, 39.742632, 39.387472, 39.404663
23/10/2013, 26.128481, 25.729249, 25.728651
24/10/2013, 35.856230, 34.268342, 34.261851
25/10/2013, 28.370774, 25.210615, 25.203578
26/10/2013, 25.085405, 23.714635, 23.714291
27/10/2013, 40.218356, 39.147553, 39.121929
28/10/2013, 38.304458, 37.170567, 36.996400
29/10/2013, 25.867825, 25.083746, 24.994299
30/10/2013, 17.458858, 17.020650, 16.964135
31/10/2013, 14.466407, 14.166741, 14.111370
01/11/2013, 12.830397, 12.285431, 11.250636
02/11/2013, 22.432295, 21.523648, 16.134944
03/11/2013, 19.451733, 18.791056, 16.193997
04/11/2013, 16.360653, 16.039196, 15.132185
05/11/2013,  8.625010,  8.445859,  8.029406
06/11/2013,  1.989757, -1.199881, -3.483780
07/11/2013, 20.200598, 12.580866,  0.490541
08/11/2013, 14.442911, 10.484793,  5.394467
09/11/2013,  9.041029,  7.704547,  6.911958
10/11/2013, 15.179888, 14.386821, 15.528925
11/11/2013, 31.254680, 20.358177, 20.222679
12/11/2013, 15.010132, 13.871763, 12.596972
13/11/2013, 10.401058, 10.614913,  9.692323
14/11/2013,  8.864717,  7.122615,  6.740364
15/11/2013, 28.101528, 10.345434,  9.610833
16/11/2013, 18.240966, 13.268321,  8.945270
17/11/2013,  1.954515,  0.118707, -0.069500
18/11/2013,  6.261003, -0.978499, -3.084271
19/11/2013, 25.694440, 17.496470, -2.552257
20/11/2013, 21.965754, 13.825266,  0.342183
21/11/2013,  6.405645,  2.174070, -1.359535
22/11/2013, 12.235815,  2.750910, -2.557163
23/11/2013, 14.039627,  6.411623,  0.043326
24/11/2013,  7.885201,  5.106422,  2.580510
25/11/2013,  6.654461,  5.136204,  3.509325
26/11/2013, -3.326906, -5.726533, -6.084970
27/11/2013,  7.070021, -5.238478,-14.109169
28/11/2013, 19.049769,  7.073489, -6.188170
29/11/2013, 15.416378,  9.683090,  4.433939
30/11/2013, 11.919093,  9.647514,  6.836752
01/12/2013,  6.956284,  4.368319,  2.784078
02/12/2013,  5.103516, -3.396906, -3.707510
03/12/2013,  5.202792, -2.956973,-10.061193
04/12/2013, 10.771790,  3.039370, -6.516853
05/12/2013, -3.529202, -6.484283,-10.035921
06/12/2013,  4.613880,  3.125868,  1.655422
07/12/2013,  7.237555,  6.063972,  5.382882
08/12/2013, -0.892966, -1.274206, -1.452814
09/12/2013, -6.878862, -9.308671, -9.505016
10/12/2013,-12.201315,-14.321199,-14.607047
11/12/2013, -6.394532, -7.307065, -7.514088
12/12/2013, -0.956921, -1.434177, -1.552213
13/12/2013,  3.426928,  3.164510,  3.092011
14/12/2013,  7.062579,  6.781029,  6.637373
15/12/2013,  7.714938,  7.406669,  7.193991
16/12/2013,  7.137850,  6.233168,  5.875090
17/12/2013,  2.967388,  2.352693,  2.060512
18/12/2013, -0.966196, -1.275179, -1.451500
19/12/2013,  1.921927, -7.602760, -7.804677
20/12/2013,  1.220899, -7.228501, -7.619948
21/12/2013,  5.564582,  2.264833,  2.021151
22/12/2013, -9.530880,-13.439670,-13.593691
23/12/2013,  0.988057, -0.540092, -0.746961
24/12/2013,  1.122134,  0.490674,  0.366104
25/12/2013, -1.805438, -4.146797, -4.229199
26/12/2013,  3.442112, -1.801173, -1.945506
27/12/2013, 11.109590,  4.807599,  4.699449
28/12/2013, 14.010050, -0.175934, -0.158159
29/12/2013,  7.679640,  2.977635,  2.905826
30/12/2013,  6.573899,  3.386612,  3.268902
31/12/2013,  4.482711,  2.263728,  2.136868
01/01/2014, -2.917962, -3.766821, -3.806008
02/01/2014,  3.598039, -2.497424, -2.617461
03/01/2014,  0.991003,-10.825028,-10.929036
04/01/2014,-15.900309,-18.177784,-18.190734
05/01/2014,-15.063849,-16.981031,-16.952487
06/01/2014,  8.427996,  7.156325,  7.133734
07/01/2014, 13.761692, 12.913887, 12.860861
08/01/2014, 11.450549,  9.489918,  9.373106
09/01/2014,  1.356686,  0.223733,  0.174809
10/01/2014, -5.065451, -5.198937, -5.293294
11/01/2014, -1.027180, -1.622906, -1.722629
12/01/2014,  5.465548,  4.561841,  4.466829
13/01/2014, -0.576281, -0.972852, -0.990428
14/01/2014,  1.577500,  1.154170,  1.116482
15/01/2014, -2.671612, -2.843605, -2.855251
16/01/2014,  3.428824, -2.212438, -2.198218
17/01/2014, 18.505336,  0.107676,  0.059666
18/01/2014, 18.089153,  5.140803,  5.067325
19/01/2014, 16.977348,  7.208919,  7.039324
20/01/2014, 13.835743,  6.668698,  6.281299
21/01/2014, 10.393249,  5.096573,  4.654321
22/01/2014,  5.961344,  2.990911,  2.739460
23/01/2014,  1.923916, -1.167374, -1.256197
24/01/2014,  4.240394, -1.364124, -1.468705
25/01/2014,  5.188950,  2.040415,  1.776163
26/01/2014,  1.650347,  0.309536,  0.135158
27/01/2014, -1.774648, -2.428784, -2.517421
28/01/2014, -5.236725, -7.870218, -7.979283
29/01/2014,  3.012578, -1.659642, -1.859184
30/01/2014,  2.210694,  1.146712,  1.010539
31/01/2014,  0.556531, -0.204543, -0.322201
01/02/2014, -4.050652, -4.440655, -4.502449
02/02/2014,  2.284083, -4.825325, -4.795294
03/02/2014,  8.811537, -0.586563, -0.574868
04/02/2014, 19.190901, 10.981942, 10.981407
05/02/2014,  5.610993,  1.878747,  1.897421
06/02/2014, -4.626019, -5.181695, -5.111538
07/02/2014, -3.607808, -4.130463, -4.195031
08/02/2014, -7.394806, -7.885490, -7.986310
09/02/2014, -4.394937, -6.493918, -6.571737
10/02/2014,  3.432806,  2.738828,  2.715484
11/02/2014,  4.058059,  3.595758,  3.584784
12/02/2014, -0.771612, -0.873931, -0.847061
13/02/2014, -2.939602, -3.151238, -3.158192
14/02/2014, -4.494420, -4.673142, -4.657644
15/02/2014, -4.854331, -5.062003, -5.061000
16/02/2014, -0.421057, -0.616804, -0.607984
17/02/2014, -1.971035, -2.050867, -2.037789
18/02/2014, -3.190013, -4.169635, -4.133291
19/02/2014, -7.103281,-10.988538,-10.962279
20/02/2014,  0.019270, -0.916359, -0.862052
21/02/2014,  6.752952,  6.526970,  6.575375
22/02/2014,  7.771654,  7.652243,  7.672243
23/02/2014,  3.087811,  2.473781,  2.392288
24/02/2014, -2.904906, -2.946727, -2.984013
25/02/2014, -6.016244, -6.100690, -6.133087
26/02/2014, -2.281037, -2.625407, -2.653029
27/02/2014,  2.987105,  2.683184,  2.657624
28/02/2014,  6.177212,  5.824073,  5.776796
01/03/2014,  4.846202,  4.447196,  4.385833
02/03/2014,  0.947632,  0.796947,  0.758988
03/03/2014, -1.104386, -1.183997, -1.185721
04/03/2014, -4.248344, -4.307007, -4.304213
05/03/2014, -1.910551, -2.081126, -2.101548
06/03/2014, -0.595870, -0.765974, -0.809895
07/03/2014, -0.479136, -0.629517, -0.667769
08/03/2014,  0.875648,  0.775035,  0.747782
09/03/2014, -3.007426, -3.092067, -3.084719
10/03/2014, -2.491971, -2.551833, -2.529223
11/03/2014, -2.034815, -2.093340, -2.071658
12/03/2014, -2.972101, -3.062339, -3.038671
13/03/2014, -4.444664, -4.560154, -4.543583
14/03/2014, -4.947021, -4.950971, -4.910108
15/03/2014,-17.758413,-17.713965,-17.675772
16/03/2014,-16.196989,-16.132158,-16.056223
17/03/2014, -4.082514, -4.048036, -3.964599
18/03/2014, -0.003923,  0.016757,  0.065643
19/03/2014, -0.472651, -0.463359, -0.430896
20/03/2014,  5.944716,  4.901685,  4.925927
21/03/2014,  4.965285,  0.642174,  0.611979
22/03/2014,  8.540797,  6.575439,  6.493902
23/03/2014,  2.965444,  1.130312,  1.069339
24/03/2014,  1.440158,  0.207920,  0.124627
25/03/2014,  3.067322,  1.776822,  1.702590
26/03/2014,  1.822224,  1.098380,  1.031929
27/03/2014, -3.223285, -3.514562, -3.559298
28/03/2014, -2.907790, -3.100101, -3.145254
29/03/2014, -4.905624, -5.040976, -5.058097
30/03/2014, -2.185460, -2.275793, -2.267962
31/03/2014, -1.844313, -1.866624, -1.857653
01/04/2014, -9.786127, -9.758653, -9.742046
02/04/2014, -6.080487, -8.218450, -8.215301
03/04/2014, -2.521865, -3.127281, -3.173291
04/04/2014,  1.620440,  1.285648,  1.203911
05/04/2014,  1.972950,  1.775616,  1.716253
06/04/2014,  1.926633,  1.810943,  1.801888
07/04/2014,  1.028163,  0.942535,  0.937271
08/04/2014, -4.036705, -4.084227, -4.076088
09/04/2014,  3.383474, -0.179437, -0.191198
10/04/2014, 16.911838,  4.470212,  4.428027
11/04/2014, 23.059424,  6.431076,  6.376561
12/04/2014, 11.043305,  3.324628,  3.257352
13/04/2014,  6.583492, -0.086853, -0.137670
14/04/2014,  3.763712,  0.287379,  0.232389
15/04/2014, -1.108521, -2.111651, -2.148699
16/04/2014, -4.440193, -4.764149, -4.760755
17/04/2014,  0.335880, -5.734670, -5.729895
18/04/2014, -4.073634, -9.835726, -9.824296
19/04/2014, -4.480265, -6.052986, -6.021643
20/04/2014, -4.804452, -5.546853, -5.508266
21/04/2014,  0.391887, -3.686441, -3.667852
22/04/2014,  2.788704, -6.493137, -6.475946
23/04/2014,  2.166438, -3.472068, -3.458236
24/04/2014,  0.450365, -4.389616, -4.384538
25/04/2014,  3.479266,  0.169092,  0.165782
26/04/2014,  1.214125, -3.412325, -3.434023
27/04/2014,  8.731286,  7.059602,  7.041991
28/04/2014,  7.051901,  2.364433,  2.335919
29/04/2014, -9.185626,-15.530791,-15.561444
30/04/2014, -6.743671, -8.873293, -8.902866
01/05/2014,  3.521150, -3.645607, -3.663251
02/05/2014,-13.253978,-19.727478,-19.729500
03/05/2014, -9.583019,-12.362564,-12.390734
04/05/2014,  4.996156,  3.878792,  3.863693
05/05/2014,  8.359651,  7.993708,  7.969588
06/05/2014, 10.796362, 10.068881, 10.004002
07/05/2014, 14.031799, 10.911105, 10.857628
08/05/2014, 15.030370,  9.655613,  9.612924
09/05/2014, -1.711617, -3.562822, -3.583904
10/05/2014, -6.204535, -6.731499, -6.784169
11/05/2014, -2.778123, -3.851659, -3.919236
12/05/2014,  1.220866,  0.490001,  0.459982
13/05/2014,  1.516007,  1.059384,  1.030286
14/05/2014, -0.828456, -1.458647, -1.487575
15/05/2014, -0.570729, -1.754078, -1.770624
16/05/2014,  1.205664, -0.909984, -0.932029
17/05/2014,  2.470180, -2.319305, -2.338695
18/05/2014,  3.043100, -1.366562, -1.371883
