Date,With all Water,No CEW,No eWater
01/07/2013,  0.001968,  0.000000,  0.000000
02/07/2013,  0.055324,  0.039112,  0.039088
03/07/2013,  0.000000,  0.000000,  0.000000
04/07/2013,  0.032213,  0.022047,  0.022091
05/07/2013,  0.000367,  0.000327,  0.000330
06/07/2013,  0.079000,  0.042249,  0.042242
07/07/2013,  0.077101,  0.000081,  0.000084
08/07/2013,  0.000000,  0.000000,  0.000000
09/07/2013,  0.000000,  0.000000,  0.000000
10/07/2013,  0.000000,  0.000000,  0.000000
11/07/2013,  0.000000,  0.000000,  0.000000
12/07/2013,  0.000000,  0.000000,  0.000000
13/07/2013,  0.000000,  0.000000,  0.000000
14/07/2013,  0.000000,  0.000000,  0.000000
15/07/2013,  0.000000,  0.000000,  0.000000
16/07/2013,  0.000000,  0.000000,  0.000000
17/07/2013,  0.000000,  0.000000,  0.000000
18/07/2013,  0.344625,  0.307443,  0.307551
19/07/2013,  0.417410,  0.408367,  0.408248
20/07/2013,  0.004390,  0.003810,  0.003700
21/07/2013,  0.000000,  0.000000,  0.000000
22/07/2013,  0.000000,  0.000000,  0.000000
23/07/2013,  0.000000,  0.000000,  0.000000
24/07/2013,  0.000000,  0.000000,  0.000000
25/07/2013,  0.000000,  0.000000,  0.000000
26/07/2013,  0.000000,  0.000000,  0.000000
27/07/2013,  0.000000,  0.000000,  0.000000
28/07/2013,  0.000000,  0.000000,  0.000000
29/07/2013,  0.000000,  0.000000,  0.000000
30/07/2013,  0.000000,  0.000000,  0.000000
31/07/2013,  0.000000,  0.000000,  0.000000
01/08/2013,  0.000000,  0.000000,  0.000000
02/08/2013,  0.000000,  0.000000,  0.000000
03/08/2013,  0.000000,  0.000000,  0.000000
04/08/2013,  0.000000,  0.000000,  0.000000
05/08/2013,  0.000000,  0.000000,  0.000000
06/08/2013,  0.000000,  0.000000,  0.000000
07/08/2013,  0.000000,  0.000000,  0.000000
08/08/2013,  0.000000,  0.000000,  0.000000
09/08/2013,  0.000000,  0.000000,  0.000000
10/08/2013,  0.000000,  0.000000,  0.000000
11/08/2013,  1.628659,  1.361915,  1.361691
12/08/2013,  0.508173,  0.439928,  0.439922
13/08/2013,  1.695671,  1.675904,  1.676189
14/08/2013,  0.322491,  0.326332,  0.326366
15/08/2013,  0.000000,  0.000000,  0.000000
16/08/2013,  0.000000,  0.000000,  0.000000
17/08/2013,  0.513089,  0.589089,  0.589257
18/08/2013,  0.227374,  0.236454,  0.236291
19/08/2013,  0.015549,  0.015463,  0.015345
20/08/2013,  0.000000,  0.000000,  0.000000
21/08/2013,  0.657635,  0.637403,  0.637305
22/08/2013,  1.364868,  1.346046,  1.346050
23/08/2013,  0.832723,  0.809923,  0.809768
24/08/2013,  1.201050,  1.181118,  1.181233
25/08/2013,  2.008290,  1.986824,  1.986789
26/08/2013,  2.617824,  2.596422,  2.596439
27/08/2013,  2.389742,  2.397434,  2.397533
28/08/2013,  2.666850,  2.663301,  2.663473
29/08/2013,  2.449182,  2.427442,  2.427303
30/08/2013,  1.506882,  1.491677,  1.491675
31/08/2013,  1.046402,  1.041458,  1.041425
01/09/2013,  1.442803,  1.466070,  1.466043
02/09/2013,  1.387380,  1.412770,  1.412753
03/09/2013,  1.368415,  1.364060,  1.364067
04/09/2013,  2.241292,  2.203540,  2.203565
05/09/2013,  1.896601,  1.848167,  1.848109
06/09/2013,  1.629843,  1.583289,  1.583300
07/09/2013,  1.147896,  1.102436,  1.102422
08/09/2013,  1.852145,  1.810895,  1.810831
09/09/2013,  2.396690,  2.367762,  2.367825
10/09/2013,  1.205712,  1.185635,  1.185636
11/09/2013,  0.131311,  0.116837,  0.116867
12/09/2013,  0.143981,  0.129224,  0.129208
13/09/2013,  1.517434,  1.498613,  1.498579
14/09/2013,  0.498802,  0.491640,  0.491639
15/09/2013,  1.990329,  1.971704,  1.971841
16/09/2013,  2.300929,  2.296671,  2.296736
17/09/2013,  2.027526,  2.029046,  2.029066
18/09/2013,  0.613226,  0.614679,  0.614767
19/09/2013,  0.038447,  0.050458,  0.050483
20/09/2013,  0.046843,  0.050693,  0.050691
21/09/2013,  0.054985,  0.073476,  0.073439
22/09/2013,  0.210189,  0.251554,  0.251635
23/09/2013,  0.755692,  0.799681,  0.799679
24/09/2013,  1.803356,  1.826663,  1.826642
25/09/2013,  2.133653,  2.130022,  2.130013
26/09/2013,  0.313452,  0.313814,  0.314042
27/09/2013,  0.234629,  0.244289,  0.244275
28/09/2013,  0.265164,  0.270378,  0.270421
29/09/2013,  0.000000,  0.000000,  0.000000
30/09/2013,  2.815659,  2.809767,  2.810418
01/10/2013,  1.694411,  1.681731,  1.681486
02/10/2013,  0.533276,  0.511424,  0.511861
03/10/2013,  0.117978,  0.079636,  0.079639
04/10/2013,  2.336412,  2.235495,  2.235531
05/10/2013,  2.658065,  2.630901,  2.631029
06/10/2013,  2.403449,  2.346304,  2.346336
07/10/2013,  2.989284,  2.918392,  2.918502
08/10/2013,  3.435143,  3.365660,  3.365335
09/10/2013,  3.054818,  2.988825,  2.988716
10/10/2013,  2.568116,  2.483464,  2.483464
11/10/2013,  4.054872,  3.947400,  3.947783
12/10/2013,  3.344006,  3.249561,  3.249466
13/10/2013,  0.973462,  0.939172,  0.939201
14/10/2013,  3.907085,  3.817740,  3.817730
15/10/2013,  4.688229,  4.575794,  4.575835
16/10/2013,  3.382822,  3.336753,  3.336763
17/10/2013,  1.144225,  1.044998,  1.045162
18/10/2013,  2.830643,  2.593680,  2.593888
19/10/2013,  3.163693,  3.208112,  3.208316
20/10/2013,  2.249840,  2.229051,  2.229442
21/10/2013,  3.526083,  3.492876,  3.493063
22/10/2013,  3.330415,  3.284442,  3.284782
23/10/2013,  1.414896,  1.365183,  1.365258
24/10/2013,  1.855206,  1.560216,  1.560081
25/10/2013,  0.341877,  0.031831,  0.031556
26/10/2013,  0.078728,  0.024399,  0.024204
27/10/2013,  3.025004,  2.859900,  2.850813
28/10/2013,  2.283185,  2.202189,  2.173516
29/10/2013,  0.012608,  0.003039,  0.000000
30/10/2013,  0.000000,  0.000000,  0.000000
31/10/2013,  0.000000,  0.000000,  0.000000
01/11/2013,  0.221436,  0.167035,  0.000000
02/11/2013,  2.854537,  2.747370,  2.120861
03/11/2013,  0.771627,  0.720215,  0.546603
04/11/2013,  0.000000,  0.000000,  0.000000
05/11/2013,  0.000000,  0.000000,  0.000000
06/11/2013,  1.116084,  0.503357,  0.000000
07/11/2013,  2.064083,  1.364026,  0.184773
08/11/2013,  0.446962,  0.163741,  0.000000
09/11/2013,  0.000000,  0.000000,  0.000000
10/11/2013,  0.012820,  0.000000,  0.000000
11/11/2013,  1.135457,  0.000000,  0.000000
12/11/2013,  0.147053,  0.000000,  0.000000
13/11/2013,  0.000000,  0.000000,  0.000000
14/11/2013,  0.086157,  0.000000,  0.000000
15/11/2013,  1.781122,  0.102423,  0.000000
16/11/2013,  0.898007,  0.226040,  0.000000
17/11/2013,  0.000000,  0.000000,  0.000000
18/11/2013,  1.604597,  0.469668,  0.000000
19/11/2013,  3.600496,  2.632327,  0.000000
20/11/2013,  1.164022,  0.738379,  0.000000
21/11/2013,  0.168887,  0.000000,  0.000000
22/11/2013,  1.699376,  0.692391,  0.000000
23/11/2013,  0.734002,  0.351728,  0.000000
24/11/2013,  0.000000,  0.000000,  0.000000
25/11/2013,  0.000000,  0.000000,  0.000000
26/11/2013,  0.268689,  0.000000,  0.000000
27/11/2013,  3.280260,  1.520162,  0.000000
28/11/2013,  2.409194,  1.480082,  0.129811
29/11/2013,  0.182946,  0.019244,  0.000000
30/11/2013,  0.000000,  0.000000,  0.000000
01/12/2013,  0.348356,  0.000000,  0.000000
02/12/2013,  0.871756,  0.000000,  0.000000
03/12/2013,  2.386136,  1.259825,  0.006636
04/12/2013,  2.624506,  1.886407,  0.715887
05/12/2013,  0.155158,  0.165148,  0.086511
06/12/2013,  0.000000,  0.000000,  0.000000
07/12/2013,  0.000000,  0.000000,  0.000000
08/12/2013,  0.000000,  0.000000,  0.000000
09/12/2013,  0.385388,  0.000000,  0.000000
10/12/2013,  0.163597,  0.000000,  0.000000
11/12/2013,  0.000000,  0.000000,  0.000000
12/12/2013,  0.000000,  0.000000,  0.000000
13/12/2013,  0.000000,  0.000000,  0.000000
14/12/2013,  0.000000,  0.000000,  0.000000
15/12/2013,  0.000000,  0.000000,  0.000000
16/12/2013,  0.024126,  0.000000,  0.000000
17/12/2013,  0.008863,  0.000000,  0.000000
18/12/2013,  0.000000,  0.000000,  0.000000
19/12/2013,  1.966476,  0.000000,  0.000000
20/12/2013,  0.694447,  0.000000,  0.000000
21/12/2013,  0.189992,  0.000000,  0.000000
22/12/2013,  0.382828,  0.000000,  0.000000
23/12/2013,  0.000000,  0.000000,  0.000000
24/12/2013,  0.000000,  0.000000,  0.000000
25/12/2013,  0.514165,  0.000000,  0.000000
26/12/2013,  0.588280,  0.000000,  0.000000
27/12/2013,  1.131317,  0.000000,  0.000000
28/12/2013,  1.165169,  0.000000,  0.000000
29/12/2013,  0.000000,  0.000000,  0.000000
30/12/2013,  0.000000,  0.000000,  0.000000
31/12/2013,  0.000000,  0.000000,  0.000000
01/01/2014,  0.000000,  0.000000,  0.000000
02/01/2014,  1.460634,  0.000000,  0.000000
03/01/2014,  1.304869,  0.000000,  0.000000
04/01/2014,  0.000000,  0.000000,  0.000000
05/01/2014,  0.000000,  0.000000,  0.000000
06/01/2014,  0.029758,  0.000000,  0.000000
07/01/2014,  0.000000,  0.000000,  0.000000
08/01/2014,  0.000000,  0.000000,  0.000000
09/01/2014,  0.000000,  0.000000,  0.000000
10/01/2014,  0.000000,  0.000000,  0.000000
11/01/2014,  0.000000,  0.000000,  0.000000
12/01/2014,  0.000000,  0.000000,  0.000000
13/01/2014,  0.000000,  0.000000,  0.000000
14/01/2014,  0.000000,  0.000000,  0.000000
15/01/2014,  0.000000,  0.000000,  0.000000
16/01/2014,  1.452953,  0.000000,  0.000000
17/01/2014,  2.622019,  0.000000,  0.000000
18/01/2014,  0.640161,  0.000000,  0.000000
19/01/2014,  0.232901,  0.000000,  0.000000
20/01/2014,  0.138894,  0.000000,  0.000000
21/01/2014,  0.052804,  0.000000,  0.000000
22/01/2014,  0.000000,  0.000000,  0.000000
23/01/2014,  0.384675,  0.000000,  0.000000
24/01/2014,  0.483610,  0.000000,  0.000000
25/01/2014,  0.000000,  0.000000,  0.000000
26/01/2014,  0.000000,  0.000000,  0.000000
27/01/2014,  0.000000,  0.000000,  0.000000
28/01/2014,  0.575991,  0.000000,  0.000000
29/01/2014,  0.490898,  0.000000,  0.000000
30/01/2014,  0.000000,  0.000000,  0.000000
31/01/2014,  0.000000,  0.000000,  0.000000
01/02/2014,  0.000000,  0.000000,  0.000000
02/02/2014,  1.875766,  0.000000,  0.000000
03/02/2014,  0.829927,  0.000000,  0.000000
04/02/2014,  0.000000,  0.000000,  0.000000
05/02/2014,  0.000000,  0.000000,  0.000000
06/02/2014,  0.000000,  0.000000,  0.000000
07/02/2014,  0.000000,  0.000000,  0.000000
08/02/2014,  0.090404,  0.000000,  0.000000
09/02/2014,  0.245572,  0.000000,  0.000000
10/02/2014,  0.000000,  0.000000,  0.000000
11/02/2014,  0.000000,  0.000000,  0.000000
12/02/2014,  0.000000,  0.000000,  0.000000
13/02/2014,  0.000000,  0.000000,  0.000000
14/02/2014,  0.000000,  0.000000,  0.000000
15/02/2014,  0.000000,  0.000000,  0.000000
16/02/2014,  0.000000,  0.000000,  0.000000
17/02/2014,  0.000000,  0.000000,  0.000000
18/02/2014,  0.349928,  0.000000,  0.000000
19/02/2014,  0.629307,  0.000000,  0.000000
20/02/2014,  0.000000,  0.000000,  0.000000
21/02/2014,  0.000000,  0.000000,  0.000000
22/02/2014,  0.000000,  0.000000,  0.000000
23/02/2014,  0.000000,  0.000000,  0.000000
24/02/2014,  0.000000,  0.000000,  0.000000
25/02/2014,  0.000000,  0.000000,  0.000000
26/02/2014,  0.000000,  0.000000,  0.000000
27/02/2014,  0.000000,  0.000000,  0.000000
28/02/2014,  0.000000,  0.000000,  0.000000
01/03/2014,  0.000000,  0.000000,  0.000000
02/03/2014,  0.000000,  0.000000,  0.000000
03/03/2014,  0.000000,  0.000000,  0.000000
04/03/2014,  0.000000,  0.000000,  0.000000
05/03/2014,  0.000000,  0.000000,  0.000000
06/03/2014,  0.000000,  0.000000,  0.000000
07/03/2014,  0.000000,  0.000000,  0.000000
08/03/2014,  0.000000,  0.000000,  0.000000
09/03/2014,  0.000000,  0.000000,  0.000000
10/03/2014,  0.000000,  0.000000,  0.000000
11/03/2014,  0.000000,  0.000000,  0.000000
12/03/2014,  0.000000,  0.000000,  0.000000
13/03/2014,  0.000000,  0.000000,  0.000000
14/03/2014,  0.000000,  0.000000,  0.000000
15/03/2014,  0.000000,  0.000000,  0.000000
16/03/2014,  0.000000,  0.000000,  0.000000
17/03/2014,  0.000000,  0.000000,  0.000000
18/03/2014,  0.000000,  0.000000,  0.000000
19/03/2014,  0.000000,  0.000000,  0.000000
20/03/2014,  0.537063,  0.000000,  0.000000
21/03/2014,  0.753941,  0.000000,  0.000000
22/03/2014,  0.000000,  0.000000,  0.000000
23/03/2014,  0.000000,  0.000000,  0.000000
24/03/2014,  0.000000,  0.000000,  0.000000
25/03/2014,  0.000000,  0.000000,  0.000000
26/03/2014,  0.000000,  0.000000,  0.000000
27/03/2014,  0.000000,  0.000000,  0.000000
28/03/2014,  0.000000,  0.000000,  0.000000
29/03/2014,  0.000000,  0.000000,  0.000000
30/03/2014,  0.000000,  0.000000,  0.000000
31/03/2014,  0.000000,  0.000000,  0.000000
01/04/2014,  0.049978,  0.000000,  0.000000
02/04/2014,  0.414858,  0.000000,  0.000000
03/04/2014,  0.000000,  0.000000,  0.000000
04/04/2014,  0.000000,  0.000000,  0.000000
05/04/2014,  0.000000,  0.000000,  0.000000
06/04/2014,  0.000000,  0.000000,  0.000000
07/04/2014,  0.000000,  0.000000,  0.000000
08/04/2014,  0.000000,  0.000000,  0.000000
09/04/2014,  0.952879,  0.000000,  0.000000
10/04/2014,  2.636184,  0.000000,  0.000000
11/04/2014,  0.952829,  0.000000,  0.000000
12/04/2014,  0.209357,  0.000000,  0.000000
13/04/2014,  0.530913,  0.000000,  0.000000
14/04/2014,  0.034042,  0.000000,  0.000000
15/04/2014,  0.000000,  0.000000,  0.000000
16/04/2014,  0.000000,  0.000000,  0.000000
17/04/2014,  1.523507,  0.000000,  0.000000
18/04/2014,  0.719686,  0.000000,  0.000000
19/04/2014,  0.000000,  0.000000,  0.000000
20/04/2014,  0.000000,  0.000000,  0.000000
21/04/2014,  1.114661,  0.000000,  0.000000
22/04/2014,  1.520598,  0.000000,  0.000000
23/04/2014,  1.164554,  0.000000,  0.000000
24/04/2014,  0.522799,  0.000000,  0.000000
25/04/2014,  0.668594,  0.000000,  0.000000
26/04/2014,  0.533658,  0.000000,  0.000000
27/04/2014,  0.000000,  0.000000,  0.000000
28/04/2014,  0.800596,  0.000000,  0.000000
29/04/2014,  0.904440,  0.000000,  0.000000
30/04/2014,  0.000000,  0.000000,  0.000000
01/05/2014,  1.705203,  0.000000,  0.000000
02/05/2014,  0.884835,  0.000000,  0.000000
03/05/2014,  0.000000,  0.000000,  0.000000
04/05/2014,  0.000000,  0.000000,  0.000000
05/05/2014,  0.000000,  0.000000,  0.000000
06/05/2014,  0.000000,  0.000000,  0.000000
07/05/2014,  0.000000,  0.000000,  0.000000
08/05/2014,  0.000000,  0.000000,  0.000000
09/05/2014,  0.000000,  0.000000,  0.000000
10/05/2014,  0.000000,  0.000000,  0.000000
11/05/2014,  0.000000,  0.000000,  0.000000
12/05/2014,  0.000000,  0.000000,  0.000000
13/05/2014,  0.000000,  0.000000,  0.000000
14/05/2014,  0.115454,  0.000000,  0.000000
15/05/2014,  0.120811,  0.000000,  0.000000
16/05/2014,  0.504889,  0.000000,  0.000000
17/05/2014,  1.000956,  0.000000,  0.000000
18/05/2014,  0.777741,  0.000000,  0.000000
19/05/2014,  0.634656,  0.000000,  0.000000
20/05/2014,  0.176162,  0.000000,  0.000000
21/05/2014,  0.400572,  0.000000,  0.000000
22/05/2014,  1.788255,  0.000000,  0.000000
23/05/2014,  1.412834,  0.000000,  0.000000
24/05/2014,  1.540572,  0.000000,  0.000000
25/05/2014,  0.912802,  0.000000,  0.000000
26/05/2014,  1.121714,  0.000000,  0.000000
27/05/2014,  0.362533,  0.000000,  0.000000
28/05/2014,  0.000000,  0.000000,  0.000000
29/05/2014,  0.000000,  0.000000,  0.000000
30/05/2014,  0.000000,  0.000000,  0.000000
31/05/2014,  0.000000,  0.000000,  0.000000
01/06/2014,  0.000000,  0.000000,  0.000000
02/06/2014,  0.000000,  0.000000,  0.000000
03/06/2014,  0.000000,  0.000000,  0.000000
04/06/2014,  0.103205,  0.000000,  0.000000
05/06/2014,  0.260865,  0.000000,  0.000000
06/06/2014,  0.609366,  0.000000,  0.000000
07/06/2014,  0.251220,  0.000000,  0.000000
08/06/2014,  0.000000,  0.000000,  0.000000
09/06/2014,  0.000000,  0.000000,  0.000000
10/06/2014,  0.000000,  0.000000,  0.000000
11/06/2014,  0.245330,  0.000000,  0.000000
12/06/2014,  0.814517,  0.000000,  0.000000
13/06/2014,  2.890879,  0.000000,  0.000000
14/06/2014,  1.288946,  0.103927,  0.000000
15/06/2014,  0.000000,  0.000000,  0.000000
16/06/2014,  0.000000,  0.000000,  0.000000
17/06/2014,  0.000000,  0.000000,  0.000000
18/06/2014,  0.000000,  0.000000,  0.000000
19/06/2014,  0.312779,  0.000000,  0.000000
20/06/2014,  1.631997,  0.293997,  0.000000
21/06/2014,  0.236125,  0.128819,  0.000000
22/06/2014,  3.340315,  3.395902,  2.361193
23/06/2014,  1.368641,  1.569677,  1.565854
24/06/2014,  0.000000,  0.000000,  0.000000
25/06/2014,  0.000000,  0.000000,  0.000000
26/06/2014,  0.000000,  0.000000,  0.000000
27/06/2014,  0.000000,  0.000000,  0.000000
28/06/2014,  0.000000,  0.000000,  0.000000
29/06/2014,  0.000000,  0.000000,  0.000000
30/06/2014,  0.000000,  0.000000,  0.000000
01/07/2014,  0.000000,  0.000000,  0.000000
02/07/2014,  0.000000,  0.000000,  0.000000
03/07/2014,  0.000000,  0.000000,  0.000000
04/07/2014,  0.000000,  0.000000,  0.000000
05/07/2014,  0.000000,  0.000000,  0.000000
06/07/2014,  0.000000,  0.000000,  0.000000
07/07/2014,  0.000000,  0.000000,  0.000000
08/07/2014,  0.000000,  0.000000,  0.000000
09/07/2014,  0.000000,  0.000000,  0.000000
10/07/2014,  0.000000,  0.000000,  0.000000
11/07/2014,  0.000000,  0.000000,  0.000000
12/07/2014,  0.000000,  0.000000,  0.000000
13/07/2014,  0.000000,  0.000000,  0.000000
14/07/2014,  0.000000,  0.000000,  0.000000
15/07/2014,  0.000000,  0.000000,  0.000000
16/07/2014,  0.000000,  0.000000,  0.000000
17/07/2014,  0.043112,  0.026517,  0.000000
18/07/2014,  0.000000,  0.000000,  0.000000
19/07/2014,  0.000000,  0.000000,  0.000000
20/07/2014,  0.000000,  0.000000,  0.000000
21/07/2014,  0.000000,  0.000000,  0.000000
22/07/2014,  0.000000,  0.000000,  0.000000
23/07/2014,  0.000000,  0.000000,  0.000000
24/07/2014,  0.898292,  0.923983,  0.367934
25/07/2014,  1.904805,  2.085530,  1.587434
26/07/2014,  0.224417,  0.263413,  0.202328
27/07/2014,  1.304010,  1.546840,  1.529064
28/07/2014,  2.914107,  3.307998,  3.338062
29/07/2014,  0.643375,  0.750079,  0.756951
30/07/2014,  2.882309,  3.266898,  3.318251
31/07/2014,  1.967631,  2.184651,  2.232474
01/08/2014,  0.000000,  0.000000,  0.000000
02/08/2014,  0.000000,  0.000000,  0.000000
03/08/2014,  0.000000,  0.000000,  0.000000
04/08/2014,  0.000000,  0.000000,  0.000000
05/08/2014,  0.000000,  0.000000,  0.000000
06/08/2014,  0.000000,  0.021269,  0.013499
07/08/2014,  1.154811,  1.367924,  1.359234
08/08/2014,  1.988031,  2.237924,  2.260831
09/08/2014,  3.216761,  3.619187,  3.660776
10/08/2014,  1.961853,  2.228685,  2.254905
11/08/2014,  3.223327,  3.610968,  3.653028
12/08/2014,  5.284138,  5.875538,  5.945425
13/08/2014,  4.593417,  5.081990,  5.143053
14/08/2014,  4.563408,  5.057960,  5.118298
15/08/2014,  5.089208,  5.653974,  5.721334
16/08/2014,  5.322782,  5.913835,  5.984163
17/08/2014,  3.619924,  4.029320,  4.076985
18/08/2014,  3.697934,  4.130659,  4.179292
19/08/2014,  3.697089,  4.130485,  4.178899
20/08/2014,  3.389713,  3.778674,  3.822876
21/08/2014,  2.920394,  3.235083,  3.272783
22/08/2014,  4.051581,  4.448676,  4.499923
23/08/2014,  5.114461,  5.588444,  5.651734
24/08/2014,  3.334857,  3.611524,  3.651704
25/08/2014,  0.580331,  0.596107,  0.602559
26/08/2014,  0.381006,  0.385903,  0.390025
27/08/2014,  0.704490,  0.756858,  0.765070
28/08/2014,  0.601867,  0.653962,  0.661088
29/08/2014,  0.451807,  0.447390,  0.452300
30/08/2014,  0.425203,  0.364960,  0.369073
31/08/2014,  3.592515,  3.933304,  3.977730
01/09/2014,  1.916028,  2.106226,  2.129749
02/09/2014,  0.003198,  0.001823,  0.001807
03/09/2014,  0.000000,  0.000000,  0.000000
04/09/2014,  0.000000,  0.000000,  0.000000
05/09/2014,  0.000000,  0.000000,  0.000000
06/09/2014,  0.000000,  0.000000,  0.000000
07/09/2014,  0.000000,  0.000000,  0.000000
08/09/2014,  0.976956,  1.005047,  1.015988
09/09/2014,  3.694115,  4.021402,  4.064967
10/09/2014,  2.055345,  2.241999,  2.261120
11/09/2014,  0.306585,  0.328942,  0.329485
12/09/2014,  0.000000,  0.000000,  0.000000
13/09/2014,  0.000000,  0.000000,  0.000000
14/09/2014,  1.676686,  1.628427,  1.518007
15/09/2014,  1.372615,  1.390951,  1.316449
16/09/2014,  0.152703,  0.092098,  0.008665
17/09/2014,  0.035512,  0.031352,  0.011808
18/09/2014,  0.000000,  0.000000,  0.000000
19/09/2014,  0.000000,  0.000000,  0.000000
20/09/2014,  0.000000,  0.000000,  0.000000
21/09/2014,  0.000000,  0.000000,  0.000000
22/09/2014,  0.000000,  0.000000,  0.000000
23/09/2014,  0.166382,  0.000000,  0.000000
24/09/2014,  1.434885,  1.017001,  0.267635
25/09/2014,  0.217981,  0.180258,  0.101396
26/09/2014,  0.000000,  0.000000,  0.000000
27/09/2014,  0.000000,  0.000000,  0.000000
28/09/2014,  0.250078,  0.171218,  0.000000
29/09/2014,  4.590623,  4.854068,  4.124382
30/09/2014,  1.487582,  1.541564,  1.280658
01/10/2014,  0.000000,  0.000000,  0.000000
02/10/2014,  0.000000,  0.000000,  0.000000
03/10/2014,  0.000000,  0.000000,  0.000000
04/10/2014,  0.000000,  0.000000,  0.000000
05/10/2014,  0.000000,  0.000000,  0.000000
