Start Date,End Date,Zone,Simulation,SAL,WQ_NIT_NIT,WQ_PHS_FRP,WQ_DIAG_TOT_TN,WQ_DIAG_TOT_TP,WQ_OXY_OXY,WQ_DIAG_HAB_RUPPIA_HSI,WQ_DIAG_MAG_HSI,
01/01/2014,31/03/2014,Mouth,ORH_Base_20140101_20170101,20.2844,0.0669,0.0006,0.6490,0.0508,7.3573,52.2639,13.7900,
01/01/2014,31/03/2014,Mouth,ORH_Base_3D_20140101_20170101,18.4181,0.0387,0.0007,0.6663,0.0589,7.2382,0.0000,0.0000,
01/01/2014,31/03/2014,Mouth,ORH_Base_FSED0_20140101_20170101,20.2765,0.0126,0.0005,0.5885,0.0497,7.4404,52.3556,0.3953,
01/01/2014,31/03/2014,Mouth,ORH_Base_FSED2_20140101_20170101,20.2918,0.1027,0.0008,0.6913,0.0519,7.2525,52.1863,15.8517,
01/01/2014,31/03/2014,Mouth,ORH_SLR_02_20140101_20170101,24.0253,0.0633,0.0007,0.6167,0.0491,7.3182,62.3360,12.6198,
01/01/2014,31/03/2014,Mouth,SC40_Base_20140101_20170101,20.2909,0.0669,0.0006,0.6495,0.0508,7.3667,52.3103,13.7456,
01/01/2014,31/03/2014,Mouth,SC40_NUT_1_5_20140101_20170101,20.2909,0.0669,0.0006,0.6495,0.0508,7.3640,52.3127,13.7444,
01/01/2014,31/03/2014,Mouth,SC40_NUT_2_0_20140101_20170101,20.2896,0.0669,0.0006,0.6490,0.0508,7.3753,52.3099,13.7829,
01/01/2014,31/03/2014,Upper,ORH_Base_20140101_20170101,37.3742,0.1245,0.0006,1.0335,0.0665,6.6580,80.0644,24.6384,
01/01/2014,31/03/2014,Upper,ORH_Base_3D_20140101_20170101,37.8129,0.1096,0.0005,0.9199,0.0600,6.6321,0.0000,0.0000,
01/01/2014,31/03/2014,Upper,ORH_Base_FSED0_20140101_20170101,37.3943,0.0125,0.0002,0.8869,0.0608,6.7794,80.2714,0.0386,
01/01/2014,31/03/2014,Upper,ORH_Base_FSED2_20140101_20170101,37.3552,0.1956,0.0008,1.1394,0.0722,6.5440,79.8781,25.0450,
01/01/2014,31/03/2014,Upper,ORH_SLR_02_20140101_20170101,33.6337,0.0830,0.0005,0.7862,0.0551,6.9006,84.4083,19.0028,
01/01/2014,31/03/2014,Upper,SC40_Base_20140101_20170101,37.3711,0.1245,0.0006,1.0335,0.0664,6.6759,80.0841,24.5872,
01/01/2014,31/03/2014,Upper,SC40_NUT_1_5_20140101_20170101,37.3710,0.1245,0.0006,1.0335,0.0664,6.6762,80.0831,24.5859,
01/01/2014,31/03/2014,Upper,SC40_NUT_2_0_20140101_20170101,37.3705,0.1245,0.0006,1.0334,0.0664,6.6688,80.0817,24.6753,
01/01/2014,31/03/2014,Mid,ORH_Base_20140101_20170101,53.9639,0.4377,0.0057,2.0347,0.0881,5.0926,46.1084,13.8811,
01/01/2014,31/03/2014,Mid,ORH_Base_3D_20140101_20170101,55.0244,0.2432,0.0011,1.2472,0.0556,4.2803,0.0000,0.0000,
01/01/2014,31/03/2014,Mid,ORH_Base_FSED0_20140101_20170101,53.9032,0.0069,0.0002,1.5145,0.0707,5.2514,46.4321,0.2339,
01/01/2014,31/03/2014,Mid,ORH_Base_FSED2_20140101_20170101,54.0229,0.8302,0.0112,2.5258,0.1070,4.9644,45.7966,14.3306,
01/01/2014,31/03/2014,Mid,ORH_SLR_02_20140101_20170101,49.1275,0.2826,0.0030,1.6042,0.0800,5.5360,60.2190,19.7599,
01/01/2014,31/03/2014,Mid,SC40_Base_20140101_20170101,53.8903,0.4366,0.0058,2.0314,0.0881,5.1204,46.1425,14.0092,
