Date,With all Water,No CEW,No eWater
01/07/2013,  0.003987,  0.000000,  0.000000
02/07/2013,  0.113163,  0.079853,  0.079802
03/07/2013,  0.000000,  0.000000,  0.000000
04/07/2013,  0.000000,  0.000000,  0.000000
05/07/2013,  0.000000,  0.000000,  0.000000
06/07/2013,  0.385378,  0.130073,  0.130044
07/07/2013,  0.194095,  0.000199,  0.000205
08/07/2013,  0.000000,  0.000000,  0.000000
09/07/2013,  0.000000,  0.000000,  0.000000
10/07/2013,  0.000000,  0.000000,  0.000000
11/07/2013,  0.000000,  0.000000,  0.000000
12/07/2013,  0.000000,  0.000000,  0.000000
13/07/2013,  0.000000,  0.000000,  0.000000
14/07/2013,  0.000000,  0.000000,  0.000000
15/07/2013,  0.000000,  0.000000,  0.000000
16/07/2013,  0.000000,  0.000000,  0.000000
17/07/2013,  0.000000,  0.000000,  0.000000
18/07/2013,  0.930229,  0.848739,  0.848784
19/07/2013,  0.538896,  0.542837,  0.543216
20/07/2013,  0.013958,  0.007448,  0.006197
21/07/2013,  0.000000,  0.000000,  0.000000
22/07/2013,  0.000000,  0.000000,  0.000000
23/07/2013,  0.000000,  0.000000,  0.000000
24/07/2013,  0.000000,  0.000000,  0.000000
25/07/2013,  0.000000,  0.000000,  0.000000
26/07/2013,  0.000000,  0.000000,  0.000000
27/07/2013,  0.000000,  0.000000,  0.000000
28/07/2013,  0.000000,  0.000000,  0.000000
29/07/2013,  0.000000,  0.000000,  0.000000
30/07/2013,  0.000000,  0.000000,  0.000000
31/07/2013,  0.000000,  0.000000,  0.000000
01/08/2013,  0.000000,  0.000000,  0.000000
02/08/2013,  0.000000,  0.000000,  0.000000
03/08/2013,  0.000000,  0.000000,  0.000000
04/08/2013,  0.000000,  0.000000,  0.000000
05/08/2013,  0.000000,  0.000000,  0.000000
06/08/2013,  0.000000,  0.000000,  0.000000
07/08/2013,  0.000000,  0.000000,  0.000000
08/08/2013,  0.000000,  0.000000,  0.000000
09/08/2013,  0.000000,  0.000000,  0.000000
10/08/2013,  0.000000,  0.000000,  0.000000
11/08/2013,  4.576001,  3.841340,  3.840716
12/08/2013,  1.360529,  1.183689,  1.183714
13/08/2013,  4.560165,  4.596049,  4.598566
14/08/2013,  0.756141,  0.755358,  0.755412
15/08/2013,  0.000000,  0.000000,  0.000000
16/08/2013,  0.000000,  0.000000,  0.000000
17/08/2013,  0.989052,  1.171120,  1.170881
18/08/2013,  0.441751,  0.466533,  0.466151
19/08/2013,  0.113766,  0.113338,  0.111856
20/08/2013,  0.000000,  0.000000,  0.000000
21/08/2013,  1.870777,  1.815768,  1.815458
22/08/2013,  3.560083,  3.519673,  3.519955
23/08/2013,  2.279318,  2.215299,  2.214829
24/08/2013,  3.313397,  3.258570,  3.258864
25/08/2013,  5.563166,  5.505447,  5.505402
26/08/2013,  7.205653,  7.148827,  7.148844
27/08/2013,  9.289249,  9.272538,  9.272560
28/08/2013,  9.900859,  9.874888,  9.875121
29/08/2013,  6.584271,  6.529155,  6.529044
30/08/2013,  4.109709,  4.068551,  4.068524
31/08/2013,  2.868021,  2.854066,  2.853946
01/09/2013,  3.964062,  4.028135,  4.028037
02/09/2013,  3.824444,  3.894978,  3.894887
03/09/2013,  3.764737,  3.752828,  3.752811
04/09/2013,  6.111017,  6.012452,  6.012444
05/09/2013,  5.165747,  5.037378,  5.037178
06/09/2013,  4.467808,  4.341580,  4.341557
07/09/2013,  3.138218,  3.012362,  3.012290
08/09/2013,  5.009705,  4.900362,  4.900108
09/09/2013,  6.237514,  6.168332,  6.168409
10/09/2013,  2.883633,  2.823644,  2.823571
11/09/2013,  0.290630,  0.256493,  0.256572
12/09/2013,  0.379132,  0.339760,  0.339714
13/09/2013,  4.138314,  4.087913,  4.087756
14/09/2013,  1.344558,  1.325528,  1.325511
15/09/2013,  5.255517,  5.208895,  5.209214
16/09/2013,  5.748254,  5.723147,  5.723290
17/09/2013,  5.727515,  5.713392,  5.713176
18/09/2013,  1.495483,  1.497499,  1.497872
19/09/2013,  0.098811,  0.129961,  0.130024
20/09/2013,  0.125092,  0.137216,  0.137097
21/09/2013,  0.143784,  0.192407,  0.192308
22/09/2013,  0.558886,  0.672255,  0.672484
23/09/2013,  2.000610,  2.117544,  2.117522
24/09/2013,  4.782682,  4.846298,  4.846204
25/09/2013,  5.671551,  5.682715,  5.682924
26/09/2013,  0.672973,  0.675296,  0.675221
27/09/2013,  0.612382,  0.638305,  0.638263
28/09/2013,  0.685427,  0.700250,  0.700347
29/09/2013,  0.000000,  0.000000,  0.000000
30/09/2013,  6.873952,  6.875704,  6.877601
01/10/2013,  4.163449,  4.145758,  4.144083
02/10/2013,  1.257998,  1.214561,  1.214779
03/10/2013,  0.422718,  0.293559,  0.293620
04/10/2013,  5.863716,  5.562007,  5.561743
05/10/2013,  8.753539,  8.678634,  8.678887
06/10/2013,  8.368940,  8.228592,  8.228447
07/10/2013,  9.805028,  9.651932,  9.651609
08/10/2013, 11.150924, 10.956680, 10.955183
09/10/2013, 11.282543, 11.097379, 11.097253
10/10/2013,  8.890525,  8.600788,  8.601691
11/10/2013, 10.697378, 10.217024, 10.216256
12/10/2013, 10.476029, 10.109293, 10.109105
13/10/2013,  3.809299,  3.684012,  3.685025
14/10/2013, 10.071369,  9.545238,  9.544606
15/10/2013, 10.613819,  9.804787,  9.804483
16/10/2013,  8.301355,  8.159900,  8.160236
17/10/2013,  3.288494,  3.016394,  3.016606
18/10/2013,  5.864466,  5.311291,  5.311203
19/10/2013, 10.364329, 10.296978, 10.296587
20/10/2013,  8.181021,  8.098651,  8.100658
21/10/2013,  9.786720,  9.709854,  9.710587
22/10/2013,  8.389639,  8.291667,  8.293664
23/10/2013,  4.959312,  4.842563,  4.843298
24/10/2013,  4.438681,  3.777219,  3.777071
25/10/2013,  0.633506,  0.059285,  0.058807
26/10/2013,  0.145042,  0.045368,  0.044972
27/10/2013,  5.758601,  5.472732,  5.457372
28/10/2013,  4.258109,  4.035491,  3.980168
29/10/2013,  0.022660,  0.005475,  0.000000
30/10/2013,  0.000000,  0.000000,  0.000000
31/10/2013,  0.000000,  0.000000,  0.000000
01/11/2013,  0.411601,  0.307932,  0.000000
02/11/2013,  5.451512,  5.271716,  4.067384
03/11/2013,  1.388594,  1.302504,  0.993691
04/11/2013,  0.000000,  0.000000,  0.000000
05/11/2013,  0.000000,  0.000000,  0.000000
06/11/2013,  2.152447,  0.970378,  0.000000
07/11/2013,  3.922978,  2.601772,  0.332879
08/11/2013,  0.837807,  0.298269,  0.000000
09/11/2013,  0.000000,  0.000000,  0.000000
10/11/2013,  0.022999,  0.000000,  0.000000
11/11/2013,  2.153109,  0.000000,  0.000000
12/11/2013,  0.270300,  0.000000,  0.000000
13/11/2013,  0.000000,  0.000000,  0.000000
14/11/2013,  0.147390,  0.000000,  0.000000
15/11/2013,  3.307810,  0.177225,  0.000000
16/11/2013,  1.657390,  0.405525,  0.000000
17/11/2013,  0.000000,  0.000000,  0.000000
18/11/2013,  2.910314,  0.835550,  0.000000
19/11/2013,  6.311673,  4.735657,  0.000000
20/11/2013,  1.911178,  1.273953,  0.000000
21/11/2013,  0.284951,  0.000000,  0.000000
22/11/2013,  2.988960,  1.217884,  0.000000
23/11/2013,  1.261078,  0.610018,  0.000000
24/11/2013,  0.000000,  0.000000,  0.000000
25/11/2013,  0.000000,  0.000000,  0.000000
26/11/2013,  0.446625,  0.000000,  0.000000
27/11/2013,  5.599484,  2.638369,  0.000000
28/11/2013,  4.013225,  2.509188,  0.209043
29/11/2013,  0.318572,  0.031357,  0.000000
30/11/2013,  0.000000,  0.000000,  0.000000
01/12/2013,  0.588654,  0.000000,  0.000000
02/12/2013,  1.492615,  0.000000,  0.000000
03/12/2013,  4.059059,  2.165127,  0.010119
04/12/2013,  3.917117,  2.958074,  1.185745
