Date,With all Water,No CEW,No eWater
01/07/2013,  0.000000,  0.000000,  0.000000
02/07/2013,  0.000000,  0.000000,  0.000000
03/07/2013,  0.000000,  0.000000,  0.000000
04/07/2013,  0.000000,  0.000000,  0.000000
05/07/2013,  0.000000,  0.000000,  0.000000
06/07/2013,  0.000000,  0.000000,  0.000000
07/07/2013,  0.000000,  0.000000,  0.000000
08/07/2013,  0.000000,  0.000000,  0.000000
09/07/2013,  0.000000,  0.000000,  0.000000
10/07/2013,  0.000000,  0.000000,  0.000000
11/07/2013,  0.000000,  0.000000,  0.000000
12/07/2013,  0.000000,  0.000000,  0.000000
13/07/2013,  0.000000,  0.000000,  0.000000
14/07/2013,  0.000000,  0.000000,  0.000000
15/07/2013,  0.000000,  0.000000,  0.000000
16/07/2013,  0.000000,  0.000000,  0.000000
17/07/2013,  0.000000,  0.000000,  0.000000
18/07/2013,  0.000000,  0.000000,  0.000000
19/07/2013,  0.000000,  0.000000,  0.000000
20/07/2013,  0.000000,  0.000000,  0.000000
21/07/2013,  0.000000,  0.000000,  0.000000
22/07/2013,  0.000000,  0.000000,  0.000000
23/07/2013,  0.000000,  0.000000,  0.000000
24/07/2013,  0.000000,  0.000000,  0.000000
25/07/2013,  0.000000,  0.000000,  0.000000
26/07/2013,  0.000000,  0.000000,  0.000000
27/07/2013,  0.000000,  0.000000,  0.000000
28/07/2013,  0.000000,  0.000000,  0.000000
29/07/2013,  0.000000,  0.000000,  0.000000
30/07/2013,  0.000000,  0.000000,  0.000000
31/07/2013,  0.000000,  0.000000,  0.000000
01/08/2013,  0.000000,  0.000000,  0.000000
02/08/2013,  0.000000,  0.000000,  0.000000
03/08/2013,  0.000000,  0.000000,  0.000000
04/08/2013,  0.000000,  0.000000,  0.000000
05/08/2013,  0.000000,  0.000000,  0.000000
06/08/2013,  0.000000,  0.000000,  0.000000
07/08/2013,  0.000000,  0.000000,  0.000000
08/08/2013,  0.000000,  0.000000,  0.000000
09/08/2013,  0.000000,  0.000000,  0.000000
10/08/2013,  0.000000,  0.000000,  0.000000
11/08/2013,  0.000000,  0.000000,  0.000000
12/08/2013,  0.000000,  0.000000,  0.000000
13/08/2013,  0.000000,  0.000000,  0.000000
14/08/2013,  0.000000,  0.000000,  0.000000
15/08/2013,  0.000000,  0.000000,  0.000000
16/08/2013,  0.000000,  0.000000,  0.000000
17/08/2013,  0.000000,  0.000000,  0.000000
18/08/2013,  0.026034,  0.026674,  0.026552
19/08/2013,  0.000000,  0.000000,  0.000000
20/08/2013,  0.000000,  0.000000,  0.000000
21/08/2013,  0.109731,  0.094464,  0.094479
22/08/2013,  0.033891,  0.033324,  0.033738
23/08/2013,  0.025763,  0.025770,  0.025846
24/08/2013,  0.081305,  0.081750,  0.081758
25/08/2013,  0.063163,  0.061663,  0.061193
26/08/2013,  0.007548,  0.008593,  0.008408
27/08/2013,  0.000967,  0.000740,  0.000846
28/08/2013,  0.001450,  0.001295,  0.001566
29/08/2013,  0.003332,  0.004662,  0.003231
30/08/2013,  0.000000,  0.000000,  0.000000
31/08/2013,  0.000000,  0.000000,  0.000000
