Variable,Site
H,A4261039
SAL,EPA2014_Coorong_Murray_Mouth
TEMP,EPA2014_Coorong_Murray_Mouth
TRACE_1,No Site
WQ_TRC_SS1,EPA2014_Coorong_Murray_Mouth
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Coorong_Murray_Mouth
WQ_CAR_DIC,EPA2014_Coorong_Murray_Mouth
WQ_CAR_PH,EPA2014_Coorong_Murray_Mouth
WQ_CAR_CH4,No Site
WQ_SIL_RSI,EPA2014_Coorong_Murray_Mouth
WQ_NIT_AMM,EPA2014_Coorong_Murray_Mouth
WQ_NIT_NIT,EPA2014_Coorong_Murray_Mouth
WQ_NIT_N2O,No Site
WQ_PHS_FRP,EPA2014_Coorong_Murray_Mouth
WQ_PHS_FRP_ADS,EPA_Mouth
WQ_OGM_DOC,EPA2014_Lake_Alexandrina_Goolwa_Barrage_Upstream
