Variable,Site
FLOW,OFFTAKE_MAPL
SAL,A4261161
TEMP,A4261161
TRACE_1,No Site
WQ_TRC_SS1,SAW_Mannum
WQ_TRC_RET,No Site
WQ_OXY_OXY,SAW_Mannum
WQ_CAR_DIC,EPA2014_LMRIA_Plume_Toora
WQ_CAR_PH,SAW_Mannum
WQ_CAR_CH4,No Site
WQ_SIL_RSI,SAW_Mannum
WQ_NIT_AMM,EPA2014_LMRIA_Plume_Toora
WQ_NIT_NIT,SAW_Mannum
WQ_NIT_N2O,No Site
WQ_PHS_FRP,SAW_Mannum
WQ_PHS_FRP_ADS,SAW_Mannum
WQ_OGM_DOC,SAW_Mannum
WQ_OGM_POC,No Site
WQ_OGM_DON,EPA2014_Lake_Alexandrina_Wellington
WQ_OGM_PON,EPA2014_Lake_Alexandrina_Wellington
WQ_OGM_DOP,SAW_Mannum
WQ_OGM_POP,SAW_Mannum
WQ_PHY_GRN,SAW_Tailem_Bend
WQ_ZOO_GRAZER,No Site
WQ_GEO_PE,No Site
WQ_GEO_UBALCHG,No Site
WQ_LND_TRACER,No Site
WQ_SBG_TRACER,No Site
WQ_SBG_DOM_LEACHATE,No Site
