Variable,Site
FLOW,OFFTAKE_TB
SAL,EPA2014_LMRIA_Plume_Jervois_Woods_Point
TEMP,EPA2014_LMRIA_Plume_Jervois_Woods_Point
TRACE_1,No Site
WQ_TRC_SS1,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_TRC_RET,No Site
WQ_OXY_OXY,SAW_Tailem_Bend
WQ_SIL_RSI,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_NIT_AMM,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_NIT_NIT,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_PHS_FRP,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_PHS_FRP_ADS,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_OGM_DOC,EPA2014_LMRIA_Plume_Jervois_Woods_Point
WQ_OGM_POC,No Site
WQ_OGM_DON,EPA2014_Lake_Alexandrina_Wellington
WQ_OGM_PON,EPA2014_Lake_Alexandrina_Wellington
WQ_OGM_DOP,SAW_Tailem_Bend
WQ_OGM_POP,SAW_Tailem_Bend
WQ_PHY_GRN,SAW_Tailem_Bend
