Variable,Site
FLOW,A2390568
SAL,A2390568
TEMP,A2390568
TRACE_1,No Site
WQ_TRC_SS1,EPA_Salt_Creek_Flow
WQ_TRC_RET,No Site
WQ_OXY_OXY,EPA2014_Morella_Basin_South_Salt_Creek
WQ_SIL_RSI,EPA_Salt_Creek_Flow
WQ_NIT_AMM,EPA_Salt_Creek
WQ_NIT_NIT,EPA_Salt_Creek
WQ_PHS_FRP,EPA_Salt_Creek
WQ_PHS_FRP_ADS,EPA_Salt_Creek
WQ_OGM_DOC,EPA_Salt_Creek_South_12
WQ_OGM_POC,Lock1
WQ_OGM_DON,EPA_Salt_Creek
WQ_OGM_PON,EPA_Salt_Creek
WQ_OGM_DOP,EPA_Salt_Creek
WQ_OGM_POP,EPA_Salt_Creek
WQ_PHY_GRN,EPA_Salt_Creek
