ISOTime,FLOW,SAL,TEMP,TRACE_1,SS1,RET,OXY,RSI,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN
01/01/2008 00:00:00,-0.0791,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.1907,1.4884,86.4331
02/01/2008 00:00:00,-0.1125,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.1716,1.4645,86.4331
03/01/2008 00:00:00,-0.1120,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.1525,1.4406,86.4331
04/01/2008 00:00:00,-0.1114,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.1334,1.4167,74.5770
05/01/2008 00:00:00,-0.1108,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.1143,1.3928,81.9597
06/01/2008 00:00:00,-0.1102,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.0951,1.3689,89.3424
07/01/2008 00:00:00,-0.1096,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.0760,1.3450,96.7250
08/01/2008 00:00:00,-0.1091,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.0569,1.3211,104.1077
09/01/2008 00:00:00,-0.1085,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.0378,1.2972,111.4904
10/01/2008 00:00:00,-0.1079,0.2458,15.5000,0.0000,29.4100,0.0000,227.9676,320.2847,1.0714,13.9286,2.4839,0.2422,600.0000,262.4916,51.3567,51.3567,1.0187,1.2734,118.8731
