ISOTime,Flow,SAL,TEMP,TRACE_1,SS1,RET,OXY,RSI,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN
01/01/2013 00:00:00,0.000000,0.400000,23.000000,0.000000,20.379999,0.000000,290.000000,24.000000,13.000000,0.400000,0.100000,0.010000,941.000061,941.000061,30.000000,30.000000,0.800000,0.800000,35.000000
01/01/2013 04:00:01,0.000000,0.400260,22.442066,0.000000,19.821411,13504.182617,280.504608,24.015585,12.856304,0.492091,0.038243,0.074686,941.618958,940.630676,29.995249,29.992006,0.798509,0.799732,34.961903
01/01/2013 08:00:05,0.000000,0.400483,22.142412,0.000000,19.272871,27916.158203,274.661255,24.029007,12.605201,0.583089,0.030614,0.074633,942.175110,940.158936,29.989979,29.981043,0.797245,0.799401,36.009960
01/01/2013 12:00:07,0.000000,0.400691,23.481804,0.000000,18.795410,42336.453125,270.447266,24.041437,12.299902,0.678863,0.025151,0.067003,942.710754,939.710388,29.984079,29.971073,0.796165,0.799150,37.608040
01/01/2013 16:00:09,0.000000,0.400931,24.166864,0.000000,18.365862,56769.882813,265.533966,24.055862,11.996416,0.784319,0.026201,0.054013,943.322388,939.348267,29.977734,29.964243,0.795012,0.799035,39.107426
01/01/2013 20:00:11,0.000000,0.401169,24.182123,0.000000,17.979485,71213.617188,260.969696,24.070169,11.727434,0.895204,0.022922,0.048607,943.917725,939.017151,29.969795,29.958652,0.793826,0.798991,40.264442
02/01/2013 00:00:02,0.000000,0.401379,23.346148,0.000000,17.631191,85662.539063,257.143738,24.082781,11.587768,1.015532,0.028329,0.046351,944.416992,938.681396,29.958189,29.952833,0.792514,0.798956,40.159630
02/01/2013 04:00:07,0.000000,0.401560,22.580044,0.000000,17.292599,100112.656250,254.846405,24.093687,11.457792,1.129215,0.028778,0.048648,944.851135,938.309814,29.946455,29.945650,0.791328,0.798875,40.071693
02/01/2013 08:00:00,0.000000,0.401709,22.458670,0.000000,16.887346,114555.031250,252.349731,24.102631,11.252223,1.212159,0.022744,0.048951,945.228394,937.770874,29.935352,29.933107,0.790127,0.798598,40.883980
02/01/2013 12:00:08,0.000000,0.401839,24.130741,0.000000,16.446949,128994.109375,248.605789,24.110474,11.003918,1.280171,0.018864,0.043368,945.574280,937.107910,29.922400,29.916967,0.788711,0.798217,42.121426
02/01/2013 16:00:03,0.000000,0.401968,26.121771,0.000000,15.995461,143435.234375,243.111237,24.118259,10.749930,1.350762,0.019713,0.034724,945.913330,936.355103,29.904716,29.898453,0.786840,0.797796,43.247650
02/01/2013 20:00:02,0.000000,0.402142,26.349085,0.000000,15.545893,157897.484375,236.841248,24.128668,10.512187,1.423968,0.017938,0.031530,946.346985,935.651978,29.886841,29.881908,0.784726,0.797449,44.128197
03/01/2013 00:00:09,0.000000,0.402380,25.656038,0.000000,15.107166,172393.921875,230.905960,24.143053,10.371398,1.502303,0.023001,0.030561,946.913879,935.113953,29.872766,29.870567,0.782607,0.797235,44.068810
03/01/2013 04:00:05,0.000000,0.402692,24.758411,0.000000,14.702642,186933.468750,228.006851,24.161951,10.246056,1.578084,0.023715,0.033600,947.658203,934.808960,29.866747,29.866533,0.780914,0.797213,44.017403
03/01/2013 08:00:02,9.273878,0.402986,24.202782,0.000000,14.371696,201480.156250,228.171249,24.179831,10.066505,1.650671,0.018974,0.034139,948.381531,934.594177,29.864044,29.865053,0.779830,0.797292,44.721714
03/01/2013 12:00:04,30.065101,0.403047,25.253990,0.000000,14.487040,215951.000000,231.339767,24.183584,9.874014,1.829105,0.015451,0.029584,948.554810,934.568176,29.846275,29.869406,0.780242,0.797870,45.500687
03/01/2013 16:00:07,53.270191,0.402924,26.258078,0.000000,14.941186,230376.968750,233.999878,24.175535,9.692457,2.105988,0.015118,0.024174,948.257202,934.593079,29.809492,29.875639,0.781237,0.798801,45.851692
03/01/2013 20:00:12,71.976400,0.402874,25.385429,0.000000,15.192293,244832.500000,236.881744,24.172243,9.530499,2.318367,0.013503,0.022358,948.140991,934.414307,29.778879,29.875387,0.781403,0.799336,46.140186
04/01/2013 00:00:04,87.797209,0.402860,24.289539,0.000000,15.368682,259287.953125,239.598145,24.171499,9.425707,2.509867,0.016411,0.021778,948.111633,934.173035,29.751715,29.873577,0.780973,0.799566,46.125870
04/01/2013 04:00:12,83.674078,0.402984,23.566683,0.000000,15.583387,273835.937500,240.114914,24.179045,9.310571,2.745836,0.015810,0.023440,948.412109,934.141724,29.737135,29.887020,0.777875,0.797817,49.559597
04/01/2013 08:00:06,69.547812,0.403160,23.701147,0.000000,15.653834,288361.968750,236.371735,24.189632,9.134082,2.984521,0.011828,0.022255,948.808899,933.602478,29.732897,29.902147,0.769108,0.791877,59.590702
04/01/2013 12:00:13,64.304892,0.403385,25.133976,0.000000,15.497173,302883.625000,231.355560,24.203129,8.946427,3.173423,0.009955,0.018831,949.209534,932.728821,29.731104,29.912632,0.759577,0.785887,69.867783
04/01/2013 16:00:07,55.188082,0.403794,26.321016,0.000000,15.075674,317508.906250,227.610901,24.227619,8.768321,3.277833,0.009914,0.015513,949.867981,931.866638,29.737801,29.922245,0.752128,0.782088,77.230072
04/01/2013 20:00:12,44.208780,0.404375,25.687126,0.000000,14.539896,332280.437500,227.496826,24.262457,8.612542,3.323825,0.009626,0.014237,950.824646,931.301208,29.753454,29.935879,0.747663,0.780776,81.242119
05/01/2013 00:00:10,21.496038,0.405028,24.241346,0.000000,14.041222,347214.062500,235.700211,24.301641,8.522810,3.342715,0.013360,0.014687,952.269348,931.468628,29.774271,29.955626,0.745848,0.781387,81.737465
05/01/2013 04:00:12,0.000000,0.405449,23.076937,0.000000,13.860761,361976.125000,244.767609,24.326952,8.433134,3.428981,0.013113,0.017033,953.092468,931.584106,29.778343,29.970984,0.746377,0.783049,80.812660
05/01/2013 08:00:14,0.000000,0.405787,22.678856,0.000000,13.617756,376642.875000,249.028229,24.347254,8.300070,3.500721,0.009995,0.016723,953.532654,931.184814,29.779707,29.979103,0.745512,0.783592,81.996628
05/01/2013 12:00:11,0.000000,0.406236,23.243126,0.000000,13.317453,391442.125000,251.480881,24.374258,8.174718,3.540492,0.009056,0.014775,954.372864,931.061951,29.790394,29.992760,0.744523,0.784226,83.064743
05/01/2013 16:00:06,0.000000,0.406717,24.305408,0.000000,13.068460,406308.812500,250.891174,24.403177,8.055911,3.573874,0.009278,0.012692,955.405151,931.151611,29.802170,30.008821,0.743861,0.785184,83.545212
05/01/2013 20:00:11,0.000000,0.407107,23.357454,0.000000,12.885655,421108.531250,252.032150,24.426620,7.948144,3.615489,0.008987,0.011999,956.234192,931.114136,29.807438,30.019541,0.743379,0.786129,83.691017
06/01/2013 00:00:11,0.000000,0.407438,22.095537,0.000000,12.743216,435860.593750,254.822113,24.446552,7.876966,3.674521,0.011640,0.012037,956.885376,930.966064,29.808254,30.027199,0.742914,0.786986,83.443642
06/01/2013 04:00:01,0.000000,0.407788,21.309963,0.000000,12.601836,450639.437500,256.757843,24.467575,7.804216,3.733317,0.011866,0.014107,957.560486,930.835449,29.810532,30.036448,0.742419,0.787835,83.347160
