ISOTime,Flow,SAL,TEMP,TRACE_1,SS1,RET,OXY,RSI,AMM,NIT,FRP,FRP_ADS,DOC,POC,DON,PON,DOP,POP,GRN
01/01/2013 00:00:00,0.000000,0.400000,23.000000,0.000000,22.500000,0.000000,290.000000,24.000000,12.999999,9.700000,0.380000,0.038000,529.000000,529.000000,27.000000,27.000000,0.980000,0.980000,43.000000
01/01/2013 04:00:01,0.000000,0.411429,22.463202,0.000000,21.949024,13504.013672,281.315826,24.015120,12.847857,9.804829,0.131956,0.289287,529.433167,528.919189,26.999954,26.999760,0.978748,0.979834,42.946884
01/01/2013 08:00:05,13.542872,0.419043,22.125750,0.000000,21.353891,27916.062500,276.681946,24.029299,12.485467,9.861665,0.112555,0.287799,529.885498,528.749512,27.003855,26.995411,0.977950,0.979527,45.374046
01/01/2013 12:00:07,11.958138,0.424347,23.295448,0.000000,20.756699,42337.035156,276.485840,24.043930,11.763075,9.828751,0.076049,0.261431,530.428650,528.555908,27.017599,26.990627,0.978146,0.979255,52.160328
01/01/2013 16:00:09,20.962053,0.419999,23.993004,0.000000,20.168730,56772.144531,274.858337,24.061152,11.051188,9.790548,0.080423,0.194707,530.949646,528.319214,27.028652,26.985086,0.978185,0.979091,58.912811
01/01/2013 20:00:11,25.059118,0.410162,24.132786,0.000000,19.647741,71219.851563,271.813110,24.078236,10.471288,9.778498,0.062155,0.164666,531.389038,528.061768,27.033117,26.979633,0.977875,0.979066,64.195045
02/01/2013 00:00:02,25.790858,0.404808,23.394527,0.000000,19.199251,85674.421875,265.368744,24.093109,10.350614,9.874853,0.079876,0.150995,531.679565,527.843445,27.024061,26.976139,0.976455,0.979130,64.014526
02/01/2013 04:00:07,34.915288,0.403042,22.619625,0.000000,18.782230,100131.546875,261.262512,24.105852,10.241001,9.967534,0.081876,0.152995,531.950256,527.637817,27.015676,26.972700,0.975194,0.979167,63.810963
02/01/2013 08:00:00,27.823435,0.402317,22.355904,0.000000,18.422293,114577.585938,261.932220,24.113132,9.866328,9.993748,0.053152,0.153422,532.195679,527.368835,27.011688,26.966274,0.974793,0.979106,66.904175
02/01/2013 12:00:08,14.630183,0.402214,23.845945,0.000000,18.034500,129022.554688,263.290527,24.119822,9.332156,9.961361,0.032506,0.126581,532.488464,527.061401,27.011877,26.958889,0.974681,0.979019,72.005676
02/01/2013 16:00:03,12.329787,0.402307,25.683319,0.000000,17.609795,143481.109375,262.105255,24.128971,8.844751,9.927960,0.035786,0.082368,532.821899,526.747742,27.009886,26.952284,0.974079,0.979006,76.492317
02/01/2013 20:00:02,16.739079,0.402470,25.937891,0.000000,17.184099,157958.640625,258.401276,24.140366,8.479633,9.920781,0.025905,0.066449,533.166016,526.454407,27.004225,26.947687,0.972938,0.979116,79.451828
03/01/2013 00:00:09,16.163468,0.402682,25.357761,0.000000,16.786741,172458.578125,251.991486,24.153158,8.371929,9.984629,0.037707,0.059247,533.466492,526.212524,26.993732,26.946812,0.971190,0.979347,79.258286
03/01/2013 04:00:05,56.698240,0.403153,24.570631,0.000000,16.477507,186985.609375,247.504669,24.165813,8.275823,10.061904,0.038997,0.062994,533.784546,526.062439,26.991611,26.956272,0.969845,0.979807,78.984932
03/01/2013 08:00:02,52.141869,0.403676,24.075132,0.000000,16.162066,201515.437500,246.747147,24.177982,8.025929,10.078753,0.022718,0.063551,534.162659,525.929016,27.003635,26.971935,0.969284,0.980276,80.840240
03/01/2013 12:00:04,50.189322,0.403817,25.274893,0.000000,15.827921,216063.359375,246.111481,24.190502,7.740087,10.068789,0.015385,0.050425,534.585571,525.799927,27.026426,26.996414,0.968838,0.980822,83.212463
03/01/2013 16:00:07,48.503716,0.403795,26.793867,0.000000,15.486265,230659.828125,243.499863,24.204706,7.481706,10.057463,0.017202,0.033075,535.089417,525.717163,27.064013,27.038462,0.968152,0.981609,85.154411
03/01/2013 20:00:12,41.694296,0.403755,26.599012,0.000000,15.119049,245305.812500,239.745789,24.220596,7.272430,10.045124,0.013773,0.027803,535.669250,525.674866,27.116526,27.096941,0.967229,0.982567,86.464432
04/01/2013 00:00:04,27.893699,0.403977,25.566574,0.000000,14.684851,259983.906250,236.455551,24.239937,7.177972,10.042657,0.020334,0.025607,536.280334,525.641968,27.168024,27.153391,0.965940,0.983436,86.454872
04/01/2013 04:00:12,26.938401,0.403669,24.365788,0.000000,14.241860,274736.750000,235.671753,24.263607,7.087874,10.021411,0.021227,0.029010,537.014038,525.710999,27.253769,27.240599,0.965044,0.984550,86.489624
04/01/2013 08:00:06,56.299006,0.403485,23.938608,0.000000,13.835381,289330.500000,233.746948,24.275848,6.920544,9.978029,0.013562,0.029201,537.436890,525.494080,27.298759,27.283813,0.964001,0.984959,87.614899
04/01/2013 12:00:13,115.414092,0.402107,25.156851,0.000000,13.753664,303680.906250,231.527603,24.259220,6.739849,10.010611,0.010809,0.023937,537.268127,525.037903,27.384197,27.382364,0.963829,0.985583,88.492004
04/01/2013 16:00:07,101.258457,0.400350,26.678890,0.000000,13.737433,318011.906250,229.834427,24.253937,6.558684,10.080004,0.011398,0.017492,537.102112,524.662292,27.504484,27.524662,0.964011,0.986714,89.099632
04/01/2013 20:00:12,44.611793,0.399832,26.264414,0.000000,13.279536,332752.375000,229.758240,24.292624,6.408989,10.030902,0.010527,0.015483,537.806702,524.652588,27.603479,27.625109,0.963033,0.987828,89.871948
05/01/2013 00:00:10,0.000006,0.400191,24.710197,0.000000,12.579313,347816.125000,236.320694,24.360157,6.332332,9.925432,0.014982,0.015016,539.055786,524.911621,27.677492,27.685057,0.961391,0.988816,90.189903
05/01/2013 04:00:12,0.000000,0.400552,22.749882,0.000000,11.771403,363134.906250,251.807343,24.445452,6.258238,9.761446,0.015864,0.017713,540.697998,525.409302,27.804302,27.786125,0.960160,0.990147,90.705315
05/01/2013 08:00:14,0.000000,0.398918,21.568037,0.000000,11.156091,378201.250000,262.729431,24.500664,6.090616,9.571736,0.010943,0.017499,541.870728,525.639587,28.093748,28.051546,0.960446,0.991970,91.956337
05/01/2013 12:00:11,0.000000,0.397334,21.835918,0.000000,10.874413,393079.875000,267.336792,24.523769,5.941858,9.491621,0.009156,0.014244,542.570068,525.775146,28.337687,28.290850,0.961515,0.993913,92.850777
05/01/2013 16:00:06,0.000000,0.396811,23.239386,0.000000,10.881890,407919.187500,264.266815,24.519737,5.835124,9.531316,0.009431,0.011168,543.011353,525.963867,28.464539,28.434811,0.962738,0.995935,93.262405
05/01/2013 20:00:11,0.000000,0.396845,22.911318,0.000000,11.121009,422735.781250,260.783630,24.481024,5.754385,9.636866,0.009025,0.010903,543.258545,526.188416,28.552269,28.556538,0.964312,0.998315,93.335709
06/01/2013 00:00:11,0.000000,0.396341,21.578234,0.000000,11.520516,437493.437500,262.697388,24.395802,5.700934,9.730575,0.012434,0.011739,543.332947,526.366455,28.741299,28.786509,0.966703,1.001416,92.936890
06/01/2013 04:00:01,0.000000,0.394236,20.190382,0.000000,12.040230,452194.125000,268.184540,24.254808,5.611886,9.706816,0.013126,0.015049,543.338623,526.457031,29.176434,29.259634,0.970500,1.005754,92.791656
06/01/2013 08:00:09,0.002684,0.390224,19.514467,0.000000,12.616620,466770.875000,273.467590,24.063362,5.435205,9.507033,0.009677,0.016281,543.295532,526.341858,29.879774,29.990717,0.975440,1.011106,93.594734
06/01/2013 12:00:03,91.954091,0.361938,21.668137,0.000000,15.993870,480912.781250,271.112122,22.920904,4.629961,7.830212,0.008607,0.018381,542.516235,526.013550,34.504871,34.713196,1.005058,1.041627,97.584373
06/01/2013 16:00:02,57.777741,0.329702,23.998508,0.000000,18.680340,495338.531250,262.585266,21.665565,3.712890,5.816095,0.009292,0.019023,542.334290,525.888062,39.823128,40.127335,1.037801,1.076596,102.586906
06/01/2013 20:00:03,0.000000,0.325491,23.871811,0.000000,18.777901,510220.062500,257.621704,21.538786,3.568086,5.483466,0.009179,0.018510,542.903320,525.870911,40.541313,40.855202,1.041173,1.081739,103.625534
07/01/2013 00:00:07,0.000000,0.329275,23.251289,0.000000,18.223192,525078.375000,254.220612,21.723198,3.668878,5.655162,0.012640,0.018497,543.470215,525.729431,39.927979,40.227062,1.035885,1.078012,102.982491
07/01/2013 04:00:13,42.410597,0.330644,22.630058,0.000000,18.029074,539894.125000,251.736954,21.842325,3.709055,5.682199,0.012975,0.021972,544.012573,525.511047,39.667789,39.948200,1.032497,1.076125,102.642464
07/01/2013 08:00:11,129.132915,0.320022,22.290295,0.000000,18.883087,554329.875000,252.067551,21.511662,3.410497,5.036887,0.009567,0.024300,544.109924,525.138855,41.283916,41.583080,1.041178,1.086197,104.422859
07/01/2013 12:00:11,174.979638,0.296455,24.529202,0.000000,20.561674,568145.687500,249.391815,20.431032,2.755020,3.712951,0.008720,0.022592,543.056641,524.809265,45.212746,45.658161,1.066981,1.113923,108.191574
07/01/2013 16:00:05,123.596460,0.291089,26.414856,0.000000,19.892576,582639.375000,245.743118,20.171696,2.589434,3.379176,0.009342,0.019654,543.011292,524.625854,46.127045,46.629799,1.072377,1.121254,109.418823
07/01/2013 20:00:13,0.000000,0.292731,26.270771,0.000000,18.983290,597724.687500,243.087112,20.320436,2.630833,3.381035,0.009364,0.018685,543.794434,524.592102,45.821724,46.310356,1.068703,1.119576,109.610443
