ID,Name,Lat,Lon
RMPW08,Barmera,-34.2573,140.4872
RMPW19,Berri,-34.2656,140.5880
RMPW23,Bookpurnong,-34.3290,140.6049
RMPW03,Chaffey,-34.0648,139.7692
RMPW12,Cadell,-34.0700,139.7676
RMPW06,Loxton,-34.4384,140.5943
RMPW05,LyrupFlats,-34.2563,140.6512
RMPW09,Moorook,-34.2632,140.3414
RMPW01,Murtho,-34.0549,140.8557
RPWA05,NewResidence,-34.3755,140.3988
RMPW02,Paringa,-34.1629,140.7917
RMPW07,Pyap,-34.4337,140.4895
RMPW11,Qualco,-34.1060,139.8272
RMPW22,Renmark,-34.1822,140.7070
RMPW10,Taylorville,-34.1379,139.9645
RMPW20,Waikerie,-34.1856,139.9596
RMPW24,Waikerie-Dryland,-34.2931,140.0308
RMPW21,Woolpunda,-34.1885,140.2178
RMPW04,Yamba,-34.2465,140.8356
RMPW14,Caurnamont,-34.8481,139.5574
RMPW17,CurrencyCrk,-35.4518,138.7943
RMPW16,LanghorneCreekCentral,-35.3214,139.0318
RMPW15,Mypolonga,-35.0105,139.3381
RMPW18,Narrung,-35.5496,139.2250
RMPW13,SwanReach,-34.5855,139.6095
ADLD02,Charleston,-34.9170,138.9050
ADLD01,Virginia,-34.6660,138.5680
MPWA06,Lowaldie,-35.0779,140.0770
MPWA02,Peebinga,-34.9662,140.8846
MPWA03,Pinnaroo,-35.2605,140.9291
MPWA01,Wanbi,-34.7665,140.3075
MPWA04,Wilkawatt,-35.3697,140.3612
TBRG01,MurthoRG,-34.1137,140.8095
TBRG02,PikeRiver,-34.2860,140.7539
TBRG06,TaylorvilleNth,-34.0777,139.9475
TBRG04,Winkie,-34.3135,140.5274
TBRG08,Forster,-34.7494,139.5744
TBRG09,WoodsPoint,-35.2147,139.3830
TBRG03,Wellington,-35.2933,139.4088
RMPW25,MtPleasant,-34.7701,139.0637
RMPW26,Copeville,-34.8018,139.8518
RMPW27,MtCompass,-35.3792,138.6299
RMPW28,LanghorneCreekSouthEast,-35.3722,139.0738
RMPW29,LanghorneCreekWest,-35.3064,138.9808
RMPW30,WellingtonEast,-35.2933,139.4088
RMPW31,Cambrai,-34.6689,139.2912
RMPW32,Sherlock,-35.3198,139.8090
RMPW33,RiverlandFieldDays,-34.2388,140.4968
RMPW34,Burra,-33.6409,138.9034
RMPW35,Trial1,-34.3981,140.6316
RMPW36,Trial2,-34.4301,140.4772
RMPW37,LanghorneCreekNorth,-35.2525,139.0119
ADLD03,MtTorrens,-34.8882,138.9241
TBRG10,Trial3,-34.3278,140.6067
RMPW38,Pike-SnakeCreek,-34.2183,140.7908
RMPW39,Pike-TanyacaCreek,-34.2380,140.7702
RMPW40,Burra-SodHut,-33.8134,138.8007
RMPW41,Burra-Mokota,-33.5593,138.9246
RMPW42,Monash,-34.2379,140.4746
