ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,Clouds,W_Speed,W_Dir 
01/01/2015 00:00:00,0.622254,0.622254,14.200000,82.400000,1.000000,0.898752,0.880000,225.000000 
01/01/2015 01:00:00,0.275772,0.275772,12.300000,87.700000,2.000000,0.898752,0.390000,225.000000 
01/01/2015 02:00:00,0.197990,0.197990,11.800000,90.200000,2.000000,0.898752,0.280000,225.000000 
01/01/2015 03:00:00,0.339411,0.339411,11.900000,92.700000,2.000000,0.898752,0.480000,225.000000 
01/01/2015 04:00:00,0.098995,0.098995,12.200000,89.700000,2.000000,0.898752,0.140000,225.000000 
01/01/2015 05:00:00,0.827315,0.827315,12.800000,92.000000,7.000000,0.898752,1.170000,225.000000 
01/01/2015 06:00:00,0.098995,0.098995,13.400000,87.300000,75.000000,0.036514,0.140000,225.000000 
01/01/2015 07:00:00,0.289914,0.289914,16.200000,76.200000,224.000000,0.084787,0.410000,225.000000 
01/01/2015 08:00:00,0.502046,0.502046,20.500000,45.800000,498.000000,0.036514,0.710000,225.000000 
01/01/2015 09:00:00,1.697056,1.697056,22.800000,39.300000,640.000000,0.050887,2.400000,225.000000 
01/01/2015 10:00:00,1.944544,1.944544,23.600000,39.500000,811.000000,0.047360,2.750000,225.000000 
01/01/2015 11:00:00,1.675843,1.675843,25.600000,32.400000,1300.000000,0.036514,2.370000,225.000000 
01/01/2015 12:00:00,1.598061,1.598061,25.600000,31.400000,1057.000000,0.036514,2.260000,225.000000 
01/01/2015 13:00:00,0.905097,0.905097,28.800000,27.700000,997.000000,0.063996,1.280000,225.000000 
01/01/2015 14:00:00,0.834386,0.834386,29.000000,27.400000,802.000000,0.167913,1.180000,225.000000 
01/01/2015 15:00:00,0.579827,0.579827,32.200000,20.200000,849.000000,0.070875,0.820000,225.000000 
01/01/2015 16:00:00,0.664680,0.664680,33.400000,18.300000,623.000000,0.147238,0.940000,225.000000 
01/01/2015 17:00:00,0.671751,0.671751,33.900000,17.100000,400.000000,0.235423,0.950000,225.000000 
01/01/2015 18:00:00,0.367696,0.367696,32.600000,21.600000,219.000000,0.308814,0.520000,225.000000 
01/01/2015 19:00:00,0.261629,0.261629,29.500000,25.100000,15.000000,0.898752,0.370000,225.000000 
01/01/2015 20:00:00,0.176777,0.176777,25.500000,29.800000,1.000000,0.898752,0.250000,225.000000 
01/01/2015 21:00:00,0.494975,0.494975,23.300000,32.700000,1.000000,0.898752,0.700000,225.000000 
01/01/2015 22:00:00,1.004092,1.004092,21.200000,35.500000,1.000000,0.898752,1.420000,225.000000 
01/01/2015 23:00:00,1.096016,1.096016,21.200000,42.900000,1.000000,0.898752,1.550000,225.000000 
02/01/2015 00:00:00,0.466691,0.466691,19.400000,48.000000,1.000000,0.898752,0.660000,225.000000 
02/01/2015 01:00:00,0.261629,0.261629,17.500000,52.500000,1.000000,0.898752,0.370000,225.000000 
02/01/2015 02:00:00,0.855599,0.855599,21.900000,32.900000,1.000000,0.898752,1.210000,225.000000 
02/01/2015 03:00:00,0.898026,0.898026,21.200000,32.800000,1.000000,0.898752,1.270000,225.000000 
02/01/2015 04:00:00,0.763675,0.763675,20.600000,33.600000,1.000000,0.898752,1.080000,225.000000 
02/01/2015 05:00:00,0.212132,0.212132,19.700000,36.200000,11.000000,0.036514,0.300000,225.000000 
02/01/2015 06:00:00,0.091924,0.091924,21.800000,32.700000,169.000000,0.036514,0.130000,225.000000 
02/01/2015 07:00:00,0.431335,0.431335,26.200000,27.700000,383.000000,0.036514,0.610000,225.000000 
02/01/2015 08:00:00,1.633417,1.633417,30.300000,20.000000,475.000000,0.036514,2.310000,225.000000 
02/01/2015 09:00:00,2.665792,2.665792,36.100000,12.300000,757.000000,0.036514,3.770000,225.000000 
02/01/2015 10:00:00,2.050610,2.050610,38.700000,10.400000,920.000000,0.036514,2.900000,225.000000 
02/01/2015 11:00:00,2.029396,2.029396,41.400000,9.400000,1177.000000,0.036514,2.870000,225.000000 
02/01/2015 12:00:00,1.803122,1.803122,42.400000,8.500000,916.000000,0.106071,2.550000,225.000000 
02/01/2015 13:00:00,2.206173,2.206173,42.800000,7.400000,1012.000000,0.054606,3.120000,225.000000 
02/01/2015 14:00:00,1.414214,1.414214,43.600000,7.300000,1051.000000,0.036514,2.000000,225.000000 
02/01/2015 15:00:00,0.834386,0.834386,43.000000,7.300000,499.000000,0.364852,1.180000,225.000000 
02/01/2015 16:00:00,2.170818,2.170818,43.300000,7.000000,645.000000,0.127471,3.070000,225.000000 
02/01/2015 17:00:00,1.640488,1.640488,42.100000,7.200000,250.000000,0.471449,2.320000,225.000000 
02/01/2015 18:00:00,0.650538,0.650538,41.400000,7.400000,143.000000,0.514501,0.920000,225.000000 
02/01/2015 19:00:00,0.537401,0.537401,35.500000,10.100000,12.000000,0.898752,0.760000,225.000000 
02/01/2015 20:00:00,1.286934,1.286934,30.700000,24.500000,1.000000,0.898752,1.820000,225.000000 
02/01/2015 21:00:00,0.827315,0.827315,27.900000,31.200000,1.000000,0.898752,1.170000,225.000000 
