ISOTime,Wx,Wy,Atemp,Rel_Hum,Sol_Rad,Clouds,W_Speed,W_Dir 
01/01/2015 00:00:00,0.197990,0.197990,13.400000,88.600000,0.000000,0.898752,0.280000,225.000000 
01/01/2015 01:00:00,0.000000,0.000000,12.400000,92.300000,0.000000,0.898752,0.000000,225.000000 
01/01/2015 02:00:00,0.268701,0.268701,10.800000,93.800000,0.000000,0.898752,0.380000,225.000000 
01/01/2015 03:00:00,0.219203,0.219203,11.700000,89.900000,0.000000,0.898752,0.310000,225.000000 
01/01/2015 04:00:00,-2.439518,-2.439518,13.400000,80.800000,0.000000,0.898752,3.450000,45.000000 
01/01/2015 05:00:00,-0.791960,-0.791960,12.000000,93.000000,2.000000,0.898752,1.120000,45.000000 
01/01/2015 06:00:00,-1.301076,-1.301076,14.600000,85.300000,49.000000,0.036514,1.840000,45.000000 
01/01/2015 07:00:00,-1.965757,-1.965757,17.100000,69.800000,161.000000,0.275047,2.780000,45.000000 
01/01/2015 08:00:00,-4.299209,-4.299209,18.800000,59.500000,309.000000,0.260672,6.080000,45.000000 
01/01/2015 09:00:00,-6.151829,-6.151829,19.700000,69.600000,546.000000,0.145185,8.700000,45.000000 
01/01/2015 10:00:00,-4.200214,-4.200214,21.100000,50.400000,936.000000,0.036514,5.940000,45.000000 
01/01/2015 11:00:00,-2.623366,-2.623366,24.400000,38.000000,557.000000,0.337624,3.710000,45.000000 
01/01/2015 12:00:00,-2.121320,-2.121320,27.600000,28.300000,742.000000,0.225874,3.000000,45.000000 
01/01/2015 13:00:00,-1.491995,-1.491995,28.500000,27.500000,653.000000,0.302613,2.110000,45.000000 
01/01/2015 14:00:00,-1.272792,-1.272792,30.200000,25.300000,936.000000,0.075272,1.800000,45.000000 
01/01/2015 15:00:00,-1.265721,-1.265721,32.000000,23.000000,861.000000,0.062100,1.790000,45.000000 
01/01/2015 16:00:00,-1.145513,-1.145513,32.500000,21.300000,689.000000,0.088452,1.620000,45.000000 
01/01/2015 17:00:00,-2.064752,-2.064752,32.500000,21.100000,335.000000,0.331989,2.920000,45.000000 
01/01/2015 18:00:00,-3.217336,-3.217336,26.900000,48.400000,281.000000,0.181026,4.550000,45.000000 
01/01/2015 19:00:00,-1.746554,-1.746554,24.900000,56.300000,29.000000,0.816823,2.470000,45.000000 
01/01/2015 20:00:00,-0.961665,-0.961665,22.600000,66.100000,0.000000,0.898752,1.360000,45.000000 
01/01/2015 21:00:00,-1.767767,-1.767767,20.000000,80.200000,0.000000,0.898752,2.500000,45.000000 
01/01/2015 22:00:00,0.212132,0.212132,18.700000,89.400000,0.000000,0.898752,0.300000,225.000000 
01/01/2015 23:00:00,-0.367696,-0.367696,16.200000,88.500000,0.000000,0.898752,0.520000,45.000000 
02/01/2015 00:00:00,0.544472,0.544472,15.500000,91.400000,0.000000,0.898752,0.770000,225.000000 
02/01/2015 01:00:00,-1.018234,-1.018234,18.700000,95.400000,0.000000,0.898752,1.440000,45.000000 
02/01/2015 02:00:00,-1.633417,-1.633417,17.900000,94.200000,0.000000,0.898752,2.310000,45.000000 
02/01/2015 03:00:00,-1.675843,-1.675843,18.200000,84.200000,0.000000,0.898752,2.370000,45.000000 
02/01/2015 04:00:00,-2.071823,-2.071823,19.000000,64.700000,0.000000,0.898752,2.930000,45.000000 
02/01/2015 05:00:00,-1.916259,-1.916259,19.800000,50.700000,3.000000,0.898752,2.710000,45.000000 
02/01/2015 06:00:00,-3.033488,-3.033488,21.600000,41.500000,100.000000,0.036514,4.290000,45.000000 
02/01/2015 07:00:00,-3.592102,-3.592102,25.200000,32.900000,287.000000,0.036514,5.080000,45.000000 
02/01/2015 08:00:00,-4.765900,-4.765900,29.500000,25.600000,544.000000,0.036514,6.740000,45.000000 
02/01/2015 09:00:00,-4.709331,-4.709331,32.300000,21.500000,722.000000,0.036514,6.660000,45.000000 
02/01/2015 10:00:00,-4.624478,-4.624478,36.100000,15.800000,836.000000,0.036514,6.540000,45.000000 
02/01/2015 11:00:00,-2.807214,-2.807214,39.500000,12.000000,1096.000000,0.036514,3.970000,45.000000 
02/01/2015 12:00:00,-3.210265,-3.210265,41.700000,9.700000,1125.000000,0.036514,4.540000,45.000000 
02/01/2015 13:00:00,-3.075914,-3.075914,42.800000,7.900000,1082.000000,0.036514,4.350000,45.000000 
02/01/2015 14:00:00,-2.524371,-2.524371,43.000000,7.000000,1017.000000,0.036514,3.570000,45.000000 
02/01/2015 15:00:00,-3.266833,-3.266833,43.100000,6.800000,746.000000,0.148560,4.620000,45.000000 
02/01/2015 16:00:00,-3.189052,-3.189052,43.500000,6.100000,731.000000,0.052640,4.510000,45.000000 
02/01/2015 17:00:00,-3.323402,-3.323402,42.500000,7.600000,439.000000,0.187700,4.700000,45.000000 
02/01/2015 18:00:00,-3.238549,-3.238549,36.600000,13.400000,250.000000,0.247286,4.580000,45.000000 
02/01/2015 19:00:00,-2.708219,-2.708219,29.700000,33.300000,38.000000,0.709196,3.830000,45.000000 
02/01/2015 20:00:00,-1.675843,-1.675843,26.000000,43.900000,0.000000,0.898752,2.370000,45.000000 
02/01/2015 21:00:00,-1.711198,-1.711198,26.700000,38.100000,0.000000,0.898752,2.420000,45.000000 
02/01/2015 22:00:00,-1.279863,-1.279863,22.500000,56.000000,0.000000,0.898752,1.810000,45.000000 
02/01/2015 23:00:00,0.395980,0.395980,21.700000,60.300000,0.000000,0.898752,0.560000,225.000000 
03/01/2015 00:00:00,0.127279,0.127279,19.000000,61.400000,0.000000,0.898752,0.180000,225.000000 
03/01/2015 01:00:00,-1.725341,-1.725341,18.800000,69.500000,0.000000,0.898752,2.440000,45.000000 
03/01/2015 02:00:00,0.155564,0.155564,17.500000,72.000000,0.000000,0.898752,0.220000,225.000000 
03/01/2015 03:00:00,0.042426,0.042426,17.800000,87.800000,0.000000,0.898752,0.060000,225.000000 
