Time,Q
01/07/2013 00:00:00,0.0261
02/07/2013 00:00:00,0.0269
03/07/2013 00:00:00,0.0375
04/07/2013 00:00:00,-0.0375
05/07/2013 00:00:00,-0.1054
06/07/2013 00:00:00,-0.0321
07/07/2013 00:00:00,0.0126
08/07/2013 00:00:00,0.0334
09/07/2013 00:00:00,0.0530
10/07/2013 00:00:00,0.0570
11/07/2013 00:00:00,0.0536
12/07/2013 00:00:00,0.0559
13/07/2013 00:00:00,0.0704
14/07/2013 00:00:00,0.0482
15/07/2013 00:00:00,0.0438
16/07/2013 00:00:00,0.0504
17/07/2013 00:00:00,0.0943
18/07/2013 00:00:00,0.0811
19/07/2013 00:00:00,-0.0965
20/07/2013 00:00:00,-0.1090
21/07/2013 00:00:00,0.0052
22/07/2013 00:00:00,0.0009
23/07/2013 00:00:00,0.0701
24/07/2013 00:00:00,0.0869
25/07/2013 00:00:00,0.0908
26/07/2013 00:00:00,0.0870
27/07/2013 00:00:00,0.1330
28/07/2013 00:00:00,0.0906
29/07/2013 00:00:00,0.0732
30/07/2013 00:00:00,0.0844
31/07/2013 00:00:00,0.0931
01/08/2013 00:00:00,0.0992
02/08/2013 00:00:00,0.0149
03/08/2013 00:00:00,0.0278
04/08/2013 00:00:00,0.0586
05/08/2013 00:00:00,0.0865
06/08/2013 00:00:00,0.0783
07/08/2013 00:00:00,0.0269
08/08/2013 00:00:00,0.1198
09/08/2013 00:00:00,0.1029
10/08/2013 00:00:00,0.1005
11/08/2013 00:00:00,0.1009
12/08/2013 00:00:00,0.0269
13/08/2013 00:00:00,0.0654
14/08/2013 00:00:00,-0.0544
15/08/2013 00:00:00,0.1055
16/08/2013 00:00:00,0.1302
17/08/2013 00:00:00,0.0093
18/08/2013 00:00:00,-0.1255
19/08/2013 00:00:00,-0.1005
20/08/2013 00:00:00,0.0888
21/08/2013 00:00:00,0.1193
22/08/2013 00:00:00,0.0678
23/08/2013 00:00:00,0.0545
24/08/2013 00:00:00,0.1179
25/08/2013 00:00:00,0.1283
26/08/2013 00:00:00,0.1276
27/08/2013 00:00:00,0.1139
28/08/2013 00:00:00,0.0922
29/08/2013 00:00:00,0.0767
30/08/2013 00:00:00,0.0690
31/08/2013 00:00:00,0.1017
01/09/2013 00:00:00,0.0959
02/09/2013 00:00:00,0.0959
03/09/2013 00:00:00,0.1062
04/09/2013 00:00:00,0.1054
05/09/2013 00:00:00,0.0805
06/09/2013 00:00:00,0.0877
07/09/2013 00:00:00,0.0831
08/09/2013 00:00:00,0.1051
09/09/2013 00:00:00,0.0557
10/09/2013 00:00:00,0.0080
11/09/2013 00:00:00,0.0675
12/09/2013 00:00:00,0.1073
13/09/2013 00:00:00,0.0978
14/09/2013 00:00:00,0.0781
15/09/2013 00:00:00,0.1301
16/09/2013 00:00:00,0.0541
17/09/2013 00:00:00,0.0472
18/09/2013 00:00:00,-0.0106
19/09/2013 00:00:00,0.0544
20/09/2013 00:00:00,0.0508
21/09/2013 00:00:00,0.1037
22/09/2013 00:00:00,0.0996
23/09/2013 00:00:00,0.1130
24/09/2013 00:00:00,0.0921
25/09/2013 00:00:00,0.0658
26/09/2013 00:00:00,-0.0524
27/09/2013 00:00:00,0.1154
28/09/2013 00:00:00,0.0467
29/09/2013 00:00:00,0.1523
30/09/2013 00:00:00,0.1296
01/10/2013 00:00:00,-0.0050
02/10/2013 00:00:00,-0.0867
03/10/2013 00:00:00,0.0666
04/10/2013 00:00:00,0.1576
05/10/2013 00:00:00,0.1043
06/10/2013 00:00:00,81.5883
07/10/2013 00:00:00,0.0896
08/10/2013 00:00:00,0.1045
09/10/2013 00:00:00,0.1083
10/10/2013 00:00:00,0.0274
11/10/2013 00:00:00,0.0848
12/10/2013 00:00:00,0.1068
13/10/2013 00:00:00,-0.0121
14/10/2013 00:00:00,0.0861
15/10/2013 00:00:00,0.0969
16/10/2013 00:00:00,0.0590
17/10/2013 00:00:00,-0.0193
18/10/2013 00:00:00,0.1091
19/10/2013 00:00:00,0.1053
20/10/2013 00:00:00,0.0718
21/10/2013 00:00:00,0.0731
22/10/2013 00:00:00,0.0631
23/10/2013 00:00:00,-0.0074
24/10/2013 00:00:00,0.0395
25/10/2013 00:00:00,0.0836
26/10/2013 00:00:00,0.0985
27/10/2013 00:00:00,0.1253
28/10/2013 00:00:00,0.0532
29/10/2013 00:00:00,0.0729
30/10/2013 00:00:00,0.0879
31/10/2013 00:00:00,0.1030
01/11/2013 00:00:00,21.9965
02/11/2013 00:00:00,10.3547
03/11/2013 00:00:00,0.0707
04/11/2013 00:00:00,11.9247
05/11/2013 00:00:00,23.1897
06/11/2013 00:00:00,21.0114
07/11/2013 00:00:00,15.0518
08/11/2013 00:00:00,6.9799
09/11/2013 00:00:00,10.5318
10/11/2013 00:00:00,20.9134
11/11/2013 00:00:00,21.3536
12/11/2013 00:00:00,21.8017
13/11/2013 00:00:00,25.9266
14/11/2013 00:00:00,30.1239
15/11/2013 00:00:00,30.9650
16/11/2013 00:00:00,30.0678
17/11/2013 00:00:00,29.6331
18/11/2013 00:00:00,29.3845
19/11/2013 00:00:00,12.3653
20/11/2013 00:00:00,16.8926
21/11/2013 00:00:00,36.0648
22/11/2013 00:00:00,35.9034
23/11/2013 00:00:00,34.8802
24/11/2013 00:00:00,40.2049
25/11/2013 00:00:00,43.9090
26/11/2013 00:00:00,41.9466
27/11/2013 00:00:00,32.1096
28/11/2013 00:00:00,19.8060
29/11/2013 00:00:00,18.9697
30/11/2013 00:00:00,22.5715
01/12/2013 00:00:00,22.1324
02/12/2013 00:00:00,18.1192
03/12/2013 00:00:00,17.2956
04/12/2013 00:00:00,0.0288
05/12/2013 00:00:00,-0.0287
06/12/2013 00:00:00,0.0727
07/12/2013 00:00:00,0.1037
08/12/2013 00:00:00,0.0871
09/12/2013 00:00:00,0.0493
10/12/2013 00:00:00,0.0355
11/12/2013 00:00:00,0.0500
12/12/2013 00:00:00,0.0602
13/12/2013 00:00:00,0.0628
14/12/2013 00:00:00,0.0771
15/12/2013 00:00:00,0.0850
16/12/2013 00:00:00,0.0835
17/12/2013 00:00:00,0.0792
18/12/2013 00:00:00,0.0928
19/12/2013 00:00:00,0.0881
20/12/2013 00:00:00,0.0620
21/12/2013 00:00:00,0.0939
22/12/2013 00:00:00,0.0516
23/12/2013 00:00:00,0.0667
24/12/2013 00:00:00,0.0929
25/12/2013 00:00:00,0.0912
26/12/2013 00:00:00,0.0583
27/12/2013 00:00:00,0.0962
28/12/2013 00:00:00,0.0554
29/12/2013 00:00:00,0.0828
30/12/2013 00:00:00,0.0886
31/12/2013 00:00:00,0.1020
01/01/2014 00:00:00,0.1020
02/01/2014 00:00:00,0.1030
03/01/2014 00:00:00,0.0432
04/01/2014 00:00:00,0.0402
05/01/2014 00:00:00,0.0382
06/01/2014 00:00:00,0.0448
07/01/2014 00:00:00,0.0917
08/01/2014 00:00:00,0.0912
09/01/2014 00:00:00,0.0791
10/01/2014 00:00:00,0.0724
11/01/2014 00:00:00,0.0688
12/01/2014 00:00:00,0.0826
13/01/2014 00:00:00,0.0936
14/01/2014 00:00:00,0.0896
15/01/2014 00:00:00,0.0888
16/01/2014 00:00:00,0.0937
17/01/2014 00:00:00,0.0700
18/01/2014 00:00:00,0.0564
19/01/2014 00:00:00,0.0660
20/01/2014 00:00:00,0.0610
21/01/2014 00:00:00,0.0559
22/01/2014 00:00:00,0.0648
23/01/2014 00:00:00,0.0617
24/01/2014 00:00:00,0.0319
25/01/2014 00:00:00,0.0515
26/01/2014 00:00:00,0.0680
27/01/2014 00:00:00,0.0574
28/01/2014 00:00:00,0.0372
29/01/2014 00:00:00,0.0320
30/01/2014 00:00:00,0.0380
31/01/2014 00:00:00,0.0348
01/02/2014 00:00:00,0.0442
02/02/2014 00:00:00,0.0418
03/02/2014 00:00:00,0.0061
04/02/2014 00:00:00,0.0430
05/02/2014 00:00:00,0.0424
06/02/2014 00:00:00,0.0259
07/02/2014 00:00:00,0.0326
08/02/2014 00:00:00,0.0466
09/02/2014 00:00:00,0.0155
10/02/2014 00:00:00,0.0413
11/02/2014 00:00:00,0.0427
12/02/2014 00:00:00,0.0411
13/02/2014 00:00:00,0.0509
14/02/2014 00:00:00,0.0590
15/02/2014 00:00:00,0.0202
16/02/2014 00:00:00,0.0275
17/02/2014 00:00:00,0.0466
18/02/2014 00:00:00,0.0359
19/02/2014 00:00:00,0.0017
20/02/2014 00:00:00,0.0210
21/02/2014 00:00:00,0.0311
22/02/2014 00:00:00,0.0358
23/02/2014 00:00:00,0.0401
24/02/2014 00:00:00,0.0334
25/02/2014 00:00:00,0.0252
26/02/2014 00:00:00,0.0301
27/02/2014 00:00:00,0.0373
28/02/2014 00:00:00,0.0321
01/03/2014 00:00:00,0.0286
02/03/2014 00:00:00,0.0331
03/03/2014 00:00:00,0.0367
04/03/2014 00:00:00,0.0329
05/03/2014 00:00:00,0.0196
06/03/2014 00:00:00,0.0328
07/03/2014 00:00:00,0.0344
08/03/2014 00:00:00,0.0418
09/03/2014 00:00:00,0.0378
10/03/2014 00:00:00,0.0363
11/03/2014 00:00:00,0.0268
12/03/2014 00:00:00,0.0307
13/03/2014 00:00:00,0.0403
14/03/2014 00:00:00,0.0458
15/03/2014 00:00:00,0.0164
16/03/2014 00:00:00,0.0069
17/03/2014 00:00:00,0.0233
18/03/2014 00:00:00,0.0372
19/03/2014 00:00:00,0.0484
20/03/2014 00:00:00,0.0505
21/03/2014 00:00:00,0.0204
22/03/2014 00:00:00,0.0489
23/03/2014 00:00:00,0.0386
24/03/2014 00:00:00,0.0326
25/03/2014 00:00:00,0.0436
26/03/2014 00:00:00,0.0419
27/03/2014 00:00:00,0.0419
28/03/2014 00:00:00,0.0391
29/03/2014 00:00:00,0.0414
30/03/2014 00:00:00,0.0492
31/03/2014 00:00:00,0.0553
01/04/2014 00:00:00,0.0500
02/04/2014 00:00:00,0.0263
03/04/2014 00:00:00,0.0353
04/04/2014 00:00:00,0.0444
05/04/2014 00:00:00,0.0449
06/04/2014 00:00:00,0.0470
07/04/2014 00:00:00,0.0533
08/04/2014 00:00:00,0.0439
09/04/2014 00:00:00,0.0415
10/04/2014 00:00:00,0.0303
11/04/2014 00:00:00,0.0278
12/04/2014 00:00:00,0.0430
13/04/2014 00:00:00,0.0340
14/04/2014 00:00:00,0.0390
15/04/2014 00:00:00,0.0453
16/04/2014 00:00:00,0.0450
17/04/2014 00:00:00,0.0467
18/04/2014 00:00:00,0.0293
19/04/2014 00:00:00,0.0497
20/04/2014 00:00:00,0.0476
21/04/2014 00:00:00,0.0657
