Time,Q
01/07/2013 00:00:00,10.6678
02/07/2013 00:00:00,6.0369
03/07/2013 00:00:00,3.3203
04/07/2013 00:00:00,2.6661
05/07/2013 00:00:00,-0.1138
06/07/2013 00:00:00,-0.0345
07/07/2013 00:00:00,0.0192
08/07/2013 00:00:00,6.1989
09/07/2013 00:00:00,20.4071
10/07/2013 00:00:00,21.4418
11/07/2013 00:00:00,20.6618
12/07/2013 00:00:00,20.1058
13/07/2013 00:00:00,21.1271
14/07/2013 00:00:00,16.0188
15/07/2013 00:00:00,17.7619
16/07/2013 00:00:00,21.1519
17/07/2013 00:00:00,25.0739
18/07/2013 00:00:00,16.0311
19/07/2013 00:00:00,-8.7866
20/07/2013 00:00:00,-0.0840
21/07/2013 00:00:00,-0.0056
22/07/2013 00:00:00,0.0095
23/07/2013 00:00:00,9.7303
24/07/2013 00:00:00,23.8925
25/07/2013 00:00:00,25.4893
26/07/2013 00:00:00,24.5102
27/07/2013 00:00:00,27.7276
28/07/2013 00:00:00,21.0733
29/07/2013 00:00:00,16.8171
30/07/2013 00:00:00,20.7606
31/07/2013 00:00:00,23.3972
01/08/2013 00:00:00,24.4214
02/08/2013 00:00:00,4.5738
03/08/2013 00:00:00,8.0518
04/08/2013 00:00:00,0.0460
05/08/2013 00:00:00,0.0678
06/08/2013 00:00:00,5.5291
07/08/2013 00:00:00,7.8387
08/08/2013 00:00:00,19.1967
09/08/2013 00:00:00,25.4799
10/08/2013 00:00:00,70.5298
11/08/2013 00:00:00,78.5424
12/08/2013 00:00:00,41.1933
13/08/2013 00:00:00,19.1784
14/08/2013 00:00:00,-17.8440
15/08/2013 00:00:00,34.8864
16/08/2013 00:00:00,42.6623
17/08/2013 00:00:00,13.6159
18/08/2013 00:00:00,-0.0981
19/08/2013 00:00:00,-0.0571
20/08/2013 00:00:00,21.7952
21/08/2013 00:00:00,62.2986
22/08/2013 00:00:00,53.1283
23/08/2013 00:00:00,43.6621
24/08/2013 00:00:00,81.2809
25/08/2013 00:00:00,100.1705
26/08/2013 00:00:00,113.9034
27/08/2013 00:00:00,123.6509
28/08/2013 00:00:00,90.6833
29/08/2013 00:00:00,67.6164
30/08/2013 00:00:00,38.8454
31/08/2013 00:00:00,55.4939
01/09/2013 00:00:00,53.1679
02/09/2013 00:00:00,52.8551
03/09/2013 00:00:00,58.0629
04/09/2013 00:00:00,58.5417
05/09/2013 00:00:00,50.4390
06/09/2013 00:00:00,52.2659
07/09/2013 00:00:00,52.0496
08/09/2013 00:00:00,60.0438
09/09/2013 00:00:00,28.9790
