"Time","A2390513"
"and","EC corrected (uS/cm)"
"Date","Mean"
08/07/2010 00:00,""
09/07/2010 00:00,        1195
10/07/2010 00:00,        1246
11/07/2010 00:00,        1303
12/07/2010 00:00,        1347
13/07/2010 00:00,        1385
14/07/2010 00:00,        1399
15/07/2010 00:00,        1427
16/07/2010 00:00,        1476
17/07/2010 00:00,        1480
18/07/2010 00:00,        1403
19/07/2010 00:00,        1407
20/07/2010 00:00,        1455
21/07/2010 00:00,        1522
22/07/2010 00:00,        1635
23/07/2010 00:00,        1776
24/07/2010 00:00,        1800
25/07/2010 00:00,        1820
26/07/2010 00:00,        1774
27/07/2010 00:00,        1796
28/07/2010 00:00,        1782
29/07/2010 00:00,        1821
30/07/2010 00:00,        1850
31/07/2010 00:00,        1786
01/08/2010 00:00,        1586
02/08/2010 00:00,        1517
03/08/2010 00:00,        1833
04/08/2010 00:00,        1247
05/08/2010 00:00,        1050
06/08/2010 00:00,        1086
07/08/2010 00:00,         996
08/08/2010 00:00,        1063
09/08/2010 00:00,        1183
10/08/2010 00:00,        1305
11/08/2010 00:00,        1408
12/08/2010 00:00,        1146
13/08/2010 00:00,         748
14/08/2010 00:00,         849
15/08/2010 00:00,        1062
16/08/2010 00:00,        1098
17/08/2010 00:00,         935
18/08/2010 00:00,         911
19/08/2010 00:00,        1044
20/08/2010 00:00,        1025
21/08/2010 00:00,         942
22/08/2010 00:00,         966
23/08/2010 00:00,        1038
24/08/2010 00:00,        1091
25/08/2010 00:00,        1062
26/08/2010 00:00,         729
27/08/2010 00:00,         539
28/08/2010 00:00,         611
29/08/2010 00:00,         774
30/08/2010 00:00,         957
31/08/2010 00:00,        1058
01/09/2010 00:00,        1147
02/09/2010 00:00,         872
03/09/2010 00:00,         767
04/09/2010 00:00,         852
05/09/2010 00:00,         422
06/09/2010 00:00,         324
07/09/2010 00:00,         469
08/09/2010 00:00,         638
09/09/2010 00:00,         811
10/09/2010 00:00,         929
11/09/2010 00:00,         943
12/09/2010 00:00,         975
13/09/2010 00:00,        1012
14/09/2010 00:00,        1062
15/09/2010 00:00,        1124
16/09/2010 00:00,        1149
17/09/2010 00:00,        1224
18/09/2010 00:00,        1291
19/09/2010 00:00,        1325
20/09/2010 00:00,        1380
21/09/2010 00:00,        1404
22/09/2010 00:00,        1442
23/09/2010 00:00,        1449
24/09/2010 00:00,        1457
25/09/2010 00:00,        1516
26/09/2010 00:00,        1522
27/09/2010 00:00,        1511
28/09/2010 00:00,        1437
29/09/2010 00:00,        1465
30/09/2010 00:00,        1504
01/10/2010 00:00,        1587
02/10/2010 00:00,        1624
03/10/2010 00:00,        1684
04/10/2010 00:00,        1692
05/10/2010 00:00,        1681
06/10/2010 00:00,        1643
07/10/2010 00:00,        1665
08/10/2010 00:00,        1673
09/10/2010 00:00,        1690
10/10/2010 00:00,        1685
11/10/2010 00:00,        1755
12/10/2010 00:00,        1692
13/10/2010 00:00,        1626
14/10/2010 00:00,        1659
15/10/2010 00:00,        1567
16/10/2010 00:00,        1485
17/10/2010 00:00,        1572
18/10/2010 00:00,        1632
19/10/2010 00:00,        1697
20/10/2010 00:00,        1711
21/10/2010 00:00,        1718
22/10/2010 00:00,        1719
23/10/2010 00:00,        1704
24/10/2010 00:00,        1705
25/10/2010 00:00,        1681
26/10/2010 00:00,        1686
27/10/2010 00:00,        1725
28/10/2010 00:00,        1699
29/10/2010 00:00,        1673
30/10/2010 00:00,        1554
31/10/2010 00:00,        1512
01/11/2010 00:00,        1601
02/11/2010 00:00,        1656
03/11/2010 00:00,        1615
04/11/2010 00:00,        1591
05/11/2010 00:00,        1602
06/11/2010 00:00,        1663
07/11/2010 00:00,        1719
08/11/2010 00:00,        1695
09/11/2010 00:00,        1729
10/11/2010 00:00,        1703
11/11/2010 00:00,        1722
12/11/2010 00:00,        1680
13/11/2010 00:00,        1578
14/11/2010 00:00,        1675
15/11/2010 00:00,        1704
16/11/2010 00:00,        1722
17/11/2010 00:00,        1673
18/11/2010 00:00,        1667
19/11/2010 00:00,        1680
20/11/2010 00:00,        1730
21/11/2010 00:00,        1791
22/11/2010 00:00,        1892
23/11/2010 00:00,        1911
24/11/2010 00:00,        1846
25/11/2010 00:00,        1784
26/11/2010 00:00,        1788
27/11/2010 00:00,        1723
28/11/2010 00:00,        1599
29/11/2010 00:00,        1665
30/11/2010 00:00,        1752
01/12/2010 00:00,        1777
02/12/2010 00:00,        1878
03/12/2010 00:00,        1929
04/12/2010 00:00,        1930
05/12/2010 00:00,        1955
06/12/2010 00:00,        1865
07/12/2010 00:00,        1892
08/12/2010 00:00,        1763
09/12/2010 00:00,        1752
10/12/2010 00:00,        1628
11/12/2010 00:00,        1641
12/12/2010 00:00,        1666
13/12/2010 00:00,        1783
14/12/2010 00:00,        1886
15/12/2010 00:00,        1829
16/12/2010 00:00,        1788
17/12/2010 00:00,        1779
18/12/2010 00:00,        1673
19/12/2010 00:00,        1554
20/12/2010 00:00,        1540
21/12/2010 00:00,        1608
22/12/2010 00:00,        1690
23/12/2010 00:00,        1703
24/12/2010 00:00,        1781
25/12/2010 00:00,        1843
26/12/2010 00:00,        1713
27/12/2010 00:00,        1641
28/12/2010 00:00,        1753
29/12/2010 00:00,        1787
30/12/2010 00:00,        1801
31/12/2010 00:00,        1900
01/01/2011 00:00,        1851
02/01/2011 00:00,        1773
03/01/2011 00:00,        1730
04/01/2011 00:00,        1726
05/01/2011 00:00,        1740
06/01/2011 00:00,        1817
07/01/2011 00:00,        2014
08/01/2011 00:00,        1836
09/01/2011 00:00,        1845
10/01/2011 00:00,        1891
11/01/2011 00:00,        1872
12/01/2011 00:00,        1797
13/01/2011 00:00,        1668
14/01/2011 00:00,        1617
15/01/2011 00:00,        1850
16/01/2011 00:00,        1904
17/01/2011 00:00,        1759
18/01/2011 00:00,        1767
19/01/2011 00:00,        1843
20/01/2011 00:00,        1922
21/01/2011 00:00,        1923
22/01/2011 00:00,        1814
23/01/2011 00:00,        1934
24/01/2011 00:00,        1861
25/01/2011 00:00,        1752
26/01/2011 00:00,        1821
27/01/2011 00:00,        1886
28/01/2011 00:00,        1878
29/01/2011 00:00,        1909
30/01/2011 00:00,        2037
31/01/2011 00:00,        2065
01/02/2011 00:00,        1955
02/02/2011 00:00,        1884
03/02/2011 00:00,        1877
04/02/2011 00:00,        1878
05/02/2011 00:00,        1734
06/02/2011 00:00,        1644
07/02/2011 00:00,        1692
08/02/2011 00:00,        1753
09/02/2011 00:00,        1725
10/02/2011 00:00,        1854
11/02/2011 00:00,        1806
12/02/2011 00:00,        1736
13/02/2011 00:00,        1703
14/02/2011 00:00,        1748
15/02/2011 00:00,        1819
16/02/2011 00:00,        1928
17/02/2011 00:00,        1855
18/02/2011 00:00,        1685
19/02/2011 00:00,        1548
20/02/2011 00:00,        1475
21/02/2011 00:00,        1459
22/02/2011 00:00,        1587
23/02/2011 00:00,        1694
24/02/2011 00:00,        1834
25/02/2011 00:00,        1924
26/02/2011 00:00,        1913
27/02/2011 00:00,        1853
28/02/2011 00:00,        1777
01/03/2011 00:00,        1721
02/03/2011 00:00,        1689
03/03/2011 00:00,        1719
04/03/2011 00:00,        1676
05/03/2011 00:00,        1683
06/03/2011 00:00,        1768
07/03/2011 00:00,        1884
08/03/2011 00:00,        1863
09/03/2011 00:00,        1763
10/03/2011 00:00,        1730
11/03/2011 00:00,        1764
12/03/2011 00:00,        1854
13/03/2011 00:00,        1826
14/03/2011 00:00,        1719
15/03/2011 00:00,        1703
16/03/2011 00:00,        1676
17/03/2011 00:00,        1629
18/03/2011 00:00,        1640
