"Time","A2391101"
"and","Wind Direc (Deg)"
"Date","Mean"
10/11/2008 00:00,""
11/11/2008 00:00,         193
12/11/2008 00:00,         199
13/11/2008 00:00,         107
14/11/2008 00:00,          56
15/11/2008 00:00,          52
16/11/2008 00:00,           2
17/11/2008 00:00,         352
18/11/2008 00:00,         345
19/11/2008 00:00,         358
20/11/2008 00:00,          45
21/11/2008 00:00,          84
22/11/2008 00:00,          27
23/11/2008 00:00,          15
24/11/2008 00:00,         354
25/11/2008 00:00,         323
26/11/2008 00:00,         145
27/11/2008 00:00,         112
28/11/2008 00:00,          40
29/11/2008 00:00,          63
30/11/2008 00:00,         127
01/12/2008 00:00,         105
02/12/2008 00:00,         111
03/12/2008 00:00,          64
04/12/2008 00:00,         235
05/12/2008 00:00,         132
06/12/2008 00:00,         101
07/12/2008 00:00,          46
08/12/2008 00:00,          12
09/12/2008 00:00,         337
10/12/2008 00:00,         353
11/12/2008 00:00,         338
12/12/2008 00:00,         331
13/12/2008 00:00,          31
14/12/2008 00:00,          34
15/12/2008 00:00,          99
16/12/2008 00:00,         101
17/12/2008 00:00,          99
18/12/2008 00:00,          99
19/12/2008 00:00,          99
20/12/2008 00:00,          99
21/12/2008 00:00,          99
22/12/2008 00:00,          99
23/12/2008 00:00,          99
24/12/2008 00:00,          99
25/12/2008 00:00,          99
26/12/2008 00:00,          99
27/12/2008 00:00,          99
28/12/2008 00:00,          99
29/12/2008 00:00,          99
30/12/2008 00:00,          99
31/12/2008 00:00,          99
01/01/2009 00:00,          99
02/01/2009 00:00,          99
03/01/2009 00:00,          99
04/01/2009 00:00,          99
05/01/2009 00:00,          87
06/01/2009 00:00,          87
07/01/2009 00:00,          47
08/01/2009 00:00,          18
09/01/2009 00:00,         358
10/01/2009 00:00,          15
11/01/2009 00:00,          23
12/01/2009 00:00,           1
13/01/2009 00:00,         188
14/01/2009 00:00,          33
15/01/2009 00:00,          52
16/01/2009 00:00,          36
17/01/2009 00:00,           9
18/01/2009 00:00,           1
19/01/2009 00:00,          43
20/01/2009 00:00,          51
21/01/2009 00:00,         105
22/01/2009 00:00,         131
23/01/2009 00:00,         152
24/01/2009 00:00,          57
25/01/2009 00:00,          42
26/01/2009 00:00,           2
27/01/2009 00:00,         356
28/01/2009 00:00,         358
29/01/2009 00:00,         141
30/01/2009 00:00,          25
31/01/2009 00:00,         352
01/02/2009 00:00,           4
02/02/2009 00:00,          16
03/02/2009 00:00,          17
04/02/2009 00:00,          60
05/02/2009 00:00,          37
06/02/2009 00:00,         346
07/02/2009 00:00,          45
08/02/2009 00:00,          32
09/02/2009 00:00,          12
10/02/2009 00:00,           6
11/02/2009 00:00,           3
12/02/2009 00:00,         345
13/02/2009 00:00,         337
14/02/2009 00:00,           9
15/02/2009 00:00,         344
16/02/2009 00:00,         358
17/02/2009 00:00,          13
18/02/2009 00:00,          48
19/02/2009 00:00,          38
20/02/2009 00:00,          37
21/02/2009 00:00,           8
22/02/2009 00:00,          14
23/02/2009 00:00,          48
24/02/2009 00:00,         339
25/02/2009 00:00,         356
26/02/2009 00:00,         264
27/02/2009 00:00,          73
28/02/2009 00:00,          18
01/03/2009 00:00,          10
02/03/2009 00:00,         247
03/03/2009 00:00,         143
04/03/2009 00:00,          80
05/03/2009 00:00,          37
06/03/2009 00:00,          45
07/03/2009 00:00,          17
08/03/2009 00:00,         352
09/03/2009 00:00,           3
10/03/2009 00:00,           0
11/03/2009 00:00,         332
12/03/2009 00:00,          73
13/03/2009 00:00,          30
