"Time","A4261153"
"and","Lake Level (m)"
"Date","Mean"
15/05/2008 00:00,""
16/05/2008 00:00,      -0.518
17/05/2008 00:00,      -0.415
18/05/2008 00:00,      -0.455
19/05/2008 00:00,      -0.481
20/05/2008 00:00,      -0.479
21/05/2008 00:00,      -0.491
22/05/2008 00:00,      -0.491
23/05/2008 00:00,      -0.488
24/05/2008 00:00,      -0.500
25/05/2008 00:00,      -0.489
26/05/2008 00:00,      -0.475
27/05/2008 00:00,      -0.473
28/05/2008 00:00,      -0.472
29/05/2008 00:00,      -0.488
30/05/2008 00:00,      -0.477
31/05/2008 00:00,      -0.466
01/06/2008 00:00,      -0.464
02/06/2008 00:00,      -0.464
03/06/2008 00:00,      -0.458
04/06/2008 00:00,      -0.455
05/06/2008 00:00,      -0.450
06/06/2008 00:00,      -0.450
07/06/2008 00:00,      -0.452
08/06/2008 00:00,      -0.458
09/06/2008 00:00,      -0.454
10/06/2008 00:00,      -0.453
11/06/2008 00:00,      -0.426
12/06/2008 00:00,      -0.401
13/06/2008 00:00,      -0.376
14/06/2008 00:00,      -0.423
15/06/2008 00:00,      -0.433
16/06/2008 00:00,      -0.448
17/06/2008 00:00,      -0.461
18/06/2008 00:00,      -0.420
19/06/2008 00:00,      -0.404
20/06/2008 00:00,      -0.398
21/06/2008 00:00,      -0.386
22/06/2008 00:00,      -0.394
23/06/2008 00:00,      -0.389
24/06/2008 00:00,      -0.398
25/06/2008 00:00,      -0.409
26/06/2008 00:00,      -0.362
27/06/2008 00:00,      -0.406
28/06/2008 00:00,      -0.435
29/06/2008 00:00,      -0.438
30/06/2008 00:00,      -0.336
01/07/2008 00:00,      -0.325
02/07/2008 00:00,      -0.363
03/07/2008 00:00,      -0.399
04/07/2008 00:00,      -0.417
05/07/2008 00:00,      -0.438
06/07/2008 00:00,      -0.412
07/07/2008 00:00,      -0.349
08/07/2008 00:00,      -0.355
09/07/2008 00:00,      -0.374
10/07/2008 00:00,      -0.242
11/07/2008 00:00,      -0.360
12/07/2008 00:00,      -0.431
13/07/2008 00:00,      -0.408
14/07/2008 00:00,      -0.343
15/07/2008 00:00,      -0.260
16/07/2008 00:00,      -0.325
17/07/2008 00:00,      -0.307
18/07/2008 00:00,      -0.297
19/07/2008 00:00,      -0.342
20/07/2008 00:00,      -0.314
21/07/2008 00:00,      -0.269
22/07/2008 00:00,      -0.298
23/07/2008 00:00,      -0.303
24/07/2008 00:00,      -0.308
25/07/2008 00:00,      -0.302
26/07/2008 00:00,      -0.280
27/07/2008 00:00,      -0.272
28/07/2008 00:00,      -0.275
29/07/2008 00:00,      -0.317
30/07/2008 00:00,      -0.271
31/07/2008 00:00,      -0.271
01/08/2008 00:00,      -0.181
02/08/2008 00:00,      -0.240
03/08/2008 00:00,      -0.259
04/08/2008 00:00,      -0.242
05/08/2008 00:00,      -0.235
06/08/2008 00:00,      -0.194
07/08/2008 00:00,      -0.178
08/08/2008 00:00,      -0.224
09/08/2008 00:00,      -0.194
10/08/2008 00:00,      -0.149
11/08/2008 00:00,      -0.183
12/08/2008 00:00,      -0.179
13/08/2008 00:00,      -0.197
14/08/2008 00:00,      -0.174
15/08/2008 00:00,      -0.154
16/08/2008 00:00,      -0.165
17/08/2008 00:00,      -0.167
18/08/2008 00:00,      -0.171
19/08/2008 00:00,      -0.172
20/08/2008 00:00,      -0.181
21/08/2008 00:00,      -0.156
22/08/2008 00:00,      -0.162
23/08/2008 00:00,      -0.166
24/08/2008 00:00,      -0.173
25/08/2008 00:00,      -0.178
26/08/2008 00:00,      -0.163
27/08/2008 00:00,      -0.173
28/08/2008 00:00,      -0.177
29/08/2008 00:00,      -0.186
30/08/2008 00:00,      -0.204
31/08/2008 00:00,      -0.100
01/09/2008 00:00,      -0.156
02/09/2008 00:00,      -0.154
03/09/2008 00:00,      -0.168
04/09/2008 00:00,      -0.158
05/09/2008 00:00,      -0.164
06/09/2008 00:00,      -0.170
07/09/2008 00:00,      -0.159
08/09/2008 00:00,      -0.170
09/09/2008 00:00,      -0.181
10/09/2008 00:00,      -0.186
11/09/2008 00:00,      -0.191
12/09/2008 00:00,      -0.163
13/09/2008 00:00,      -0.175
14/09/2008 00:00,      -0.142
15/09/2008 00:00,      -0.039
16/09/2008 00:00,      -0.159
17/09/2008 00:00,      -0.205
18/09/2008 00:00,      -0.213
19/09/2008 00:00,      -0.168
20/09/2008 00:00,      -0.145
21/09/2008 00:00,      -0.203
22/09/2008 00:00,      -0.145
23/09/2008 00:00,      -0.164
24/09/2008 00:00,      -0.194
25/09/2008 00:00,      -0.212
26/09/2008 00:00,      -0.202
27/09/2008 00:00,      -0.183
28/09/2008 00:00,      -0.164
29/09/2008 00:00,      -0.190
30/09/2008 00:00,      -0.221
01/10/2008 00:00,      -0.246
02/10/2008 00:00,      -0.210
03/10/2008 00:00,      -0.220
04/10/2008 00:00,      -0.212
05/10/2008 00:00,      -0.221
06/10/2008 00:00,      -0.154
07/10/2008 00:00,      -0.201
08/10/2008 00:00,      -0.211
09/10/2008 00:00,      -0.230
10/10/2008 00:00,      -0.234
11/10/2008 00:00,      -0.235
12/10/2008 00:00,      -0.239
13/10/2008 00:00,      -0.202
14/10/2008 00:00,      -0.228
15/10/2008 00:00,      -0.239
16/10/2008 00:00,      -0.256
17/10/2008 00:00,      -0.260
18/10/2008 00:00,      -0.256
19/10/2008 00:00,      -0.234
20/10/2008 00:00,      -0.262
21/10/2008 00:00,      -0.274
22/10/2008 00:00,      -0.288
23/10/2008 00:00,      -0.298
24/10/2008 00:00,      -0.292
25/10/2008 00:00,      -0.303
26/10/2008 00:00,      -0.260
27/10/2008 00:00,      -0.269
28/10/2008 00:00,      -0.297
29/10/2008 00:00,      -0.334
30/10/2008 00:00,      -0.295
31/10/2008 00:00,      -0.244
01/11/2008 00:00,      -0.325
02/11/2008 00:00,      -0.302
03/11/2008 00:00,      -0.280
04/11/2008 00:00,      -0.346
05/11/2008 00:00,      -0.312
06/11/2008 00:00,      -0.302
07/11/2008 00:00,      -0.259
08/11/2008 00:00,      -0.254
09/11/2008 00:00,      -0.323
10/11/2008 00:00,      -0.338
11/11/2008 00:00,      -0.343
12/11/2008 00:00,      -0.352
13/11/2008 00:00,      -0.316
14/11/2008 00:00,      -0.310
15/11/2008 00:00,      -0.322
16/11/2008 00:00,      -0.357
17/11/2008 00:00,      -0.365
18/11/2008 00:00,      -0.361
19/11/2008 00:00,      -0.355
20/11/2008 00:00,      -0.334
21/11/2008 00:00,      -0.284
22/11/2008 00:00,      -0.275
23/11/2008 00:00,      -0.366
24/11/2008 00:00,      -0.381
25/11/2008 00:00,      -0.398
