Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,24/09/2010 08:55:44,19/11/2010 09:45:24,9.000
WQ_OXY_OXY,24/09/2010 08:55:44,19/11/2010 09:45:17,8.000
Conductivity,24/09/2010 08:55:34,19/11/2010 09:46:14,17.000
WQ_NIT_NIT,19/11/2010 09:45:26,19/11/2010 09:45:26,1.000
WQ_PHS_FRP,19/11/2010 09:45:46,19/11/2010 09:45:46,1.000
WQ_GEO_K,24/09/2010 08:56:11,19/11/2010 09:46:12,9.000
WQ_DIAG_TOT_TURBIDITY,27/08/2009 00:00:28,19/11/2010 09:45:46,54.000
WQ_CAR_DIC,24/09/2010 08:55:17,19/11/2010 09:45:51,17.000
WQ_GEO_AL,24/09/2010 08:56:25,19/11/2010 09:45:07,9.000
WQ_DIAG_TOT_TAL,24/09/2010 08:56:01,19/11/2010 09:45:34,9.000
WQ_NIT_AMM,19/11/2010 09:46:21,19/11/2010 09:46:21,1.000
WQ_GEO_CL,24/09/2010 08:55:57,19/11/2010 09:46:13,9.000
WQ_GEO_FEII,24/09/2010 08:56:04,19/11/2010 09:46:17,9.000
WQ_DIAG_TOT_TFE,24/09/2010 08:55:15,19/11/2010 09:46:18,9.000
WQ_GEO_MN,24/09/2010 08:55:57,29/10/2010 12:26:21,6.000
WQ_CAR_PH,24/09/2010 08:55:03,19/11/2010 09:45:27,17.000
WQ_SIL_RSI,24/09/2010 08:55:01,19/11/2010 09:45:13,9.000
WQ_GEO_NA,24/09/2010 08:56:16,19/11/2010 09:45:06,9.000
WQ_GEO_SO4,24/09/2010 08:56:24,19/11/2010 09:45:09,9.000
TEMP,24/09/2010 08:56:00,19/11/2010 09:45:09,8.000
WQ_DIAG_TOT_TSS,27/08/2009 00:00:28,19/11/2010 09:45:46,54.000
WQ_TRC_SS1,27/08/2009 00:00:28,19/11/2010 09:45:46,54.000
SAL,24/09/2010 08:55:34,19/11/2010 09:46:14,17.000
