Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,11/09/2012 15:10:14,15/10/2014 13:06:00,49.000
Conductivity,27/02/2008 16:56:11,15/10/2014 13:05:00,88.000
WQ_NIT_NIT,14/07/2014 00:01:21,08/06/2016 08:53:24,79.000
WQ_PHS_FRP,14/07/2014 00:01:09,08/06/2016 08:53:17,79.000
WQ_DIAG_TOT_TKN,14/07/2014 00:00:42,08/06/2016 08:53:13,80.000
WQ_DIAG_TOT_TURBIDITY,11/09/2012 15:10:12,08/06/2016 08:53:09,234.000
WQ_CAR_DIC,11/09/2012 15:10:22,15/10/2014 13:05:31,28.000
WQ_NIT_AMM,14/07/2014 00:00:35,08/06/2016 08:53:20,79.000
WQ_GEO_CL,11/09/2012 15:11:14,02/10/2014 00:00:41,37.000
WQ_DIAG_TOT_TN,21/07/2014 00:01:04,08/06/2016 08:52:58,76.000
WQ_CAR_PH,27/02/2008 16:55:46,15/10/2014 13:05:49,61.000
WQ_DIAG_TOT_TP,14/07/2014 00:00:41,08/06/2016 08:53:16,80.000
WQ_SIL_RSI,14/07/2014 00:00:46,08/06/2016 08:53:20,80.000
TEMP,27/02/2008 16:55:51,15/10/2014 13:05:34,51.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,11/09/2012 15:10:12,08/06/2016 08:53:09,234.000
WQ_TRC_SS1,11/09/2012 15:10:12,08/06/2016 08:53:09,234.000
ON,14/07/2014 00:00:42,08/06/2016 00:00:42,80.000
OP,14/07/2014 00:00:00,08/06/2016 00:00:00,80.000
SAL,27/02/2008 16:56:11,15/10/2014 13:05:00,88.000
