Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,08/10/2010 11:45:05,27/10/2010 13:09:39,4.000
WQ_OXY_OXY,21/09/2010 11:06:07,11/04/2013 10:25:16,13.000
Conductivity,08/10/2010 11:45:41,11/04/2013 10:25:02,16.000
WQ_GEO_K,08/10/2010 11:45:46,27/10/2010 13:09:49,4.000
WQ_CAR_DIC,21/09/2010 11:05:30,11/04/2013 10:25:16,17.000
WQ_GEO_AL,08/10/2010 11:46:23,27/10/2010 13:09:40,4.000
WQ_DIAG_TOT_TAL,08/10/2010 11:45:13,27/10/2010 13:09:47,4.000
WQ_GEO_CL,08/10/2010 11:45:45,27/10/2010 13:09:23,4.000
WQ_GEO_FEII,08/10/2010 11:45:28,27/10/2010 13:09:29,4.000
WQ_DIAG_TOT_TFE,08/10/2010 11:46:15,27/10/2010 13:09:39,4.000
WQ_GEO_MN,08/10/2010 11:45:51,27/10/2010 13:10:14,4.000
WQ_CAR_PH,21/09/2010 11:05:22,11/04/2013 10:25:47,17.000
WQ_SIL_RSI,08/10/2010 11:45:10,27/10/2010 13:09:16,4.000
WQ_GEO_NA,08/10/2010 11:45:20,27/10/2010 13:10:17,4.000
WQ_GEO_SO4,08/10/2010 11:46:06,27/10/2010 13:09:43,4.000
TEMP,21/09/2010 11:06:20,11/04/2013 10:25:35,13.000
WQ_DIAG_TOT_TURBIDITY,08/10/2010 11:45:07,27/10/2010 13:09:02,4.000
WQ_DIAG_TOT_TSS,08/10/2010 11:45:07,27/10/2010 13:09:02,4.000
WQ_TRC_SS1,08/10/2010 11:45:07,27/10/2010 13:09:02,4.000
SAL,08/10/2010 11:45:41,11/04/2013 10:25:02,16.000
