Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,21/09/2010 11:35:12,10/12/2014 12:49:18,59.000
Conductivity,21/09/2010 11:36:21,10/12/2014 12:48:39,84.000
WQ_NIT_NIT,12/09/2012 11:45:13,10/12/2014 00:01:24,25.000
WQ_PHS_FRP,12/09/2012 11:45:21,10/12/2014 00:01:23,25.000
WQ_DIAG_TOT_TKN,12/09/2012 11:45:21,10/12/2014 00:01:20,25.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 11:45:00,10/12/2014 12:48:45,154.000
WQ_CAR_DIC,21/09/2010 11:35:14,10/12/2014 12:49:23,23.000
WQ_NIT_AMM,12/09/2012 11:45:42,10/12/2014 00:00:16,25.000
WQ_GEO_CL,12/09/2012 11:45:01,10/12/2014 00:01:09,25.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:00,10/12/2014 00:01:23,4.000
WQ_CAR_PH,21/09/2010 11:35:43,10/12/2014 12:48:49,69.000
WQ_DIAG_TOT_TP,12/09/2012 11:45:17,10/12/2014 00:01:25,25.000
WQ_SIL_RSI,12/09/2012 11:45:14,10/12/2014 00:01:00,25.000
TEMP,21/09/2010 11:35:10,10/12/2014 12:48:42,59.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,12/09/2012 11:45:00,10/12/2014 12:48:45,154.000
WQ_TRC_SS1,12/09/2012 11:45:00,10/12/2014 12:48:45,154.000
ON,12/09/2012 11:45:21,13/11/2014 11:45:21,23.000
OP,12/09/2012 00:00:00,10/12/2014 00:00:00,25.000
SAL,21/09/2010 11:36:21,10/12/2014 12:48:39,84.000
