Variable Name,Min Date,Max Date,Number of Samples
Conductivity,27/02/2008 11:30:31,23/11/2009 10:11:25,9.000
WQ_DIAG_TOT_TKN,27/02/2008 11:30:37,23/11/2009 10:10:37,8.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 11:30:48,23/11/2009 10:10:15,8.000
WQ_CAR_DIC,25/08/2009 00:01:03,23/11/2009 10:11:13,2.000
WQ_GEO_AL,27/02/2008 11:31:17,23/11/2009 10:10:27,8.000
WQ_DIAG_TOT_TAL,27/02/2008 11:30:20,23/11/2009 10:10:45,8.000
WQ_NIT_AMM,27/02/2008 11:30:50,23/11/2009 10:10:13,8.000
WQ_GEO_FEII,27/02/2008 11:30:46,23/11/2009 10:11:08,8.000
WQ_DIAG_TOT_TFE,27/02/2008 11:30:40,23/11/2009 10:11:07,8.000
WQ_CAR_PH,27/02/2008 11:30:47,23/11/2009 10:10:48,9.000
WQ_DIAG_TOT_TP,27/02/2008 11:31:08,23/11/2009 10:10:21,8.000
SAL,27/02/2008 11:30:31,23/11/2009 10:11:25,9.000
TEMP,27/02/2008 11:30:02,27/02/2008 11:30:02,1.000
WQ_DIAG_TOT_TSS,27/02/2008 11:30:48,23/11/2009 10:10:15,8.000
WQ_TRC_SS1,27/02/2008 11:30:48,23/11/2009 10:10:15,8.000
ON,27/02/2008 11:30:37,25/08/2009 11:30:37,7.000
