Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,13/12/2012 16:00:40,09/12/2014 13:25:09,41.000
Conductivity,13/12/2012 16:01:08,09/12/2014 13:24:52,41.000
WQ_NIT_NIT,03/10/2013 16:10:38,22/01/2015 14:50:00,14.000
WQ_PHS_FRP,03/10/2013 16:10:45,22/01/2015 14:50:22,13.000
WQ_DIAG_TOT_TKN,03/10/2013 16:10:59,22/01/2015 14:50:58,15.000
WQ_DIAG_TOT_TURBIDITY,13/12/2012 16:00:28,09/12/2014 13:24:32,41.000
WQ_CAR_DIC,14/02/2013 14:55:05,09/12/2014 13:24:44,11.000
WQ_NIT_AMM,03/10/2013 16:10:29,22/01/2015 14:50:19,14.000
WQ_CAR_PH,13/12/2012 16:01:19,09/12/2014 13:24:39,41.000
WQ_DIAG_TOT_TP,03/10/2013 16:10:12,22/01/2015 14:50:00,14.000
WQ_SIL_RSI,03/10/2013 16:11:26,22/01/2015 14:50:27,13.000
TEMP,13/12/2012 16:01:06,09/12/2014 13:24:27,41.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,13/12/2012 16:00:28,09/12/2014 13:24:32,41.000
WQ_TRC_SS1,13/12/2012 16:00:28,09/12/2014 13:24:32,41.000
ON,03/10/2013 16:10:59,09/12/2014 16:10:59,14.000
OP,03/10/2013 00:00:00,22/01/2015 00:00:00,14.000
SAL,13/12/2012 16:01:08,09/12/2014 13:24:52,41.000
