Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/09/2012 11:00:02,09/12/2014 12:00:52,41.000
Conductivity,11/09/2012 11:00:52,10/12/2014 00:01:19,74.000
WQ_NIT_NIT,11/09/2012 11:01:01,05/01/2016 11:00:39,43.000
WQ_PHS_FRP,11/09/2012 11:00:04,05/01/2016 11:00:49,43.000
WQ_DIAG_TOT_TKN,11/09/2012 11:01:20,05/01/2016 11:00:40,43.000
WQ_DIAG_TOT_TURBIDITY,11/09/2012 11:00:36,05/01/2016 11:00:45,158.000
WQ_CAR_DIC,12/09/2012 11:01:21,09/12/2014 12:00:34,16.000
WQ_NIT_AMM,11/09/2012 11:00:58,05/01/2016 11:01:09,43.000
WQ_GEO_CL,11/09/2012 11:00:04,10/12/2014 00:00:55,33.000
WQ_DIAG_TOT_TN,13/11/2014 00:01:01,05/01/2016 11:00:15,11.000
WQ_CAR_PH,12/09/2012 11:00:00,09/12/2014 12:00:36,57.000
WQ_DIAG_TOT_TP,11/09/2012 11:00:28,05/01/2016 11:00:38,43.000
WQ_SIL_RSI,11/09/2012 11:00:02,05/01/2016 11:00:24,43.000
TEMP,12/09/2012 11:00:04,09/12/2014 12:00:35,41.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,11/09/2012 11:00:36,05/01/2016 11:00:45,158.000
WQ_TRC_SS1,11/09/2012 11:00:36,05/01/2016 11:00:45,158.000
ON,11/09/2012 11:01:20,08/10/2015 11:01:20,42.000
OP,11/09/2012 00:00:00,05/01/2016 00:00:00,43.000
SAL,11/09/2012 11:00:52,10/12/2014 00:01:19,74.000
