Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,14/07/2010 12:30:02,10/12/2014 14:21:08,36.000
Conductivity,14/07/2010 12:31:20,10/12/2014 14:21:04,38.000
WQ_NIT_NIT,03/10/2013 00:00:35,21/01/2015 15:45:06,11.000
WQ_PHS_FRP,03/10/2013 00:00:49,21/01/2015 15:45:01,11.000
WQ_DIAG_TOT_TKN,03/10/2013 00:00:24,21/01/2015 15:45:01,11.000
WQ_DIAG_TOT_TURBIDITY,20/07/2010 12:23:33,10/12/2014 14:20:46,17.000
WQ_CAR_DIC,14/07/2010 12:30:39,10/12/2014 14:21:01,36.000
WQ_NIT_AMM,03/10/2013 00:00:28,21/01/2015 15:45:10,11.000
WQ_CAR_PH,14/07/2010 12:31:15,10/12/2014 14:20:54,38.000
WQ_DIAG_TOT_TP,03/10/2013 00:00:30,21/01/2015 15:45:12,11.000
WQ_SIL_RSI,20/07/2010 12:23:01,21/01/2015 15:45:20,13.000
TEMP,14/07/2010 12:30:07,10/12/2014 14:20:25,35.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,20/07/2010 12:23:33,10/12/2014 14:20:46,17.000
WQ_TRC_SS1,20/07/2010 12:23:33,10/12/2014 14:20:46,17.000
ON,03/10/2013 00:00:24,21/01/2015 00:00:24,11.000
OP,03/10/2013 00:00:00,21/01/2015 00:00:00,11.000
SAL,14/07/2010 12:31:20,10/12/2014 14:21:04,38.000
