Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,12/09/2012 12:20:07,09/12/2014 13:53:37,52.000
Conductivity,12/09/2012 12:20:06,10/12/2014 00:00:58,76.000
WQ_NIT_NIT,12/09/2012 12:20:26,05/01/2016 12:35:36,28.000
WQ_PHS_FRP,12/09/2012 12:20:20,05/01/2016 12:36:16,28.000
WQ_DIAG_TOT_TKN,12/09/2012 12:20:12,05/01/2016 12:36:01,28.000
WQ_DIAG_TOT_TURBIDITY,12/09/2012 12:20:03,05/01/2016 12:36:20,161.000
WQ_CAR_DIC,12/09/2012 12:20:21,09/12/2014 13:53:30,11.000
WQ_NIT_AMM,12/09/2012 12:20:08,05/01/2016 12:36:20,28.000
WQ_GEO_CL,12/09/2012 12:20:13,10/12/2014 00:00:37,20.000
WQ_DIAG_TOT_TN,13/11/2014 00:00:13,05/01/2016 12:36:24,10.000
WQ_CAR_PH,12/09/2012 12:20:01,09/12/2014 13:54:24,59.000
WQ_DIAG_TOT_TP,12/09/2012 12:20:27,05/01/2016 12:35:39,28.000
WQ_SIL_RSI,12/09/2012 12:20:01,05/01/2016 12:36:12,29.000
TEMP,12/09/2012 12:20:31,09/12/2014 13:53:40,56.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,12/09/2012 12:20:03,05/01/2016 12:36:20,161.000
WQ_TRC_SS1,12/09/2012 12:20:03,05/01/2016 12:36:20,161.000
ON,12/09/2012 12:20:12,05/01/2016 12:20:12,28.000
OP,12/09/2012 00:00:00,05/01/2016 00:00:00,28.000
SAL,12/09/2012 12:20:06,10/12/2014 00:00:58,76.000
