Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,26/11/2010 00:00:34,26/11/2010 00:00:34,1.000
WQ_OXY_OXY,12/09/2012 11:25:27,10/12/2014 12:29:51,32.000
Conductivity,27/02/2008 00:00:49,10/12/2014 12:29:16,52.000
WQ_NIT_NIT,27/02/2008 00:01:00,08/06/2016 00:40:46,112.000
WQ_PHS_FRP,27/02/2008 00:01:08,08/06/2016 00:41:13,112.000
WQ_GEO_K,26/11/2010 00:00:43,26/11/2010 00:00:43,1.000
WQ_DIAG_TOT_TKN,27/02/2008 00:00:02,08/06/2016 00:40:47,112.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 00:00:26,08/06/2016 00:40:55,219.000
WQ_CAR_DIC,25/08/2009 00:00:25,10/12/2014 12:29:36,21.000
WQ_GEO_AL,27/02/2008 00:00:52,14/06/2011 00:00:57,14.000
WQ_DIAG_TOT_TAL,27/02/2008 00:00:59,14/06/2011 00:00:41,14.000
WQ_NIT_AMM,27/02/2008 00:00:30,08/06/2016 00:41:25,112.000
WQ_GEO_CL,26/11/2010 00:00:32,17/12/2013 11:19:09,7.000
WQ_GEO_FEII,27/02/2008 00:00:21,14/06/2011 00:00:22,14.000
WQ_DIAG_TOT_TFE,27/02/2008 00:00:59,14/06/2011 00:00:33,14.000
WQ_GEO_MN,26/11/2010 00:00:56,26/11/2010 00:00:56,1.000
WQ_CAR_PH,27/02/2008 00:01:18,10/12/2014 12:29:21,48.000
WQ_DIAG_TOT_TP,27/02/2008 00:00:17,08/06/2016 00:40:54,112.000
WQ_SIL_RSI,26/11/2010 00:00:31,08/06/2016 00:41:15,110.000
WQ_GEO_NA,26/11/2010 00:00:56,26/11/2010 00:00:56,1.000
WQ_GEO_SO4,26/11/2010 00:00:25,26/11/2010 00:00:25,1.000
TEMP,12/09/2012 11:25:17,10/12/2014 12:30:02,32.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,27/02/2008 00:00:26,08/06/2016 00:40:55,219.000
WQ_TRC_SS1,27/02/2008 00:00:26,08/06/2016 00:40:55,219.000
ON,27/02/2008 00:00:02,08/06/2016 00:00:02,112.000
OP,27/02/2008 00:00:00,08/06/2016 00:00:00,112.000
SAL,27/02/2008 00:00:49,10/12/2014 12:29:16,52.000
