Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,03/08/2010 12:38:44,10/12/2014 10:40:56,10.000
Conductivity,27/02/2008 16:05:01,10/12/2014 10:40:41,41.000
WQ_NIT_NIT,14/07/2014 00:00:04,10/12/2014 00:01:24,20.000
WQ_PHS_FRP,14/07/2014 00:00:04,10/12/2014 00:01:21,20.000
WQ_DIAG_TOT_TKN,27/02/2008 16:05:37,10/12/2014 00:00:33,28.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 16:05:46,10/12/2014 10:41:01,78.000
WQ_CAR_DIC,25/08/2009 00:00:38,10/12/2014 10:40:27,14.000
WQ_GEO_AL,27/02/2008 16:06:23,23/11/2009 14:00:58,8.000
WQ_DIAG_TOT_TAL,27/02/2008 16:05:46,23/11/2009 14:00:08,8.000
WQ_NIT_AMM,27/02/2008 16:05:43,10/12/2014 00:01:21,28.000
WQ_GEO_CL,22/01/2014 00:00:35,10/12/2014 00:01:10,22.000
WQ_GEO_FEII,27/02/2008 16:05:27,23/11/2009 14:01:13,8.000
WQ_DIAG_TOT_TFE,27/02/2008 16:05:08,23/11/2009 14:00:00,8.000
WQ_DIAG_TOT_TN,21/07/2014 00:00:44,10/12/2014 00:00:34,14.000
WQ_CAR_PH,27/02/2008 16:05:36,10/12/2014 10:40:15,25.000
WQ_DIAG_TOT_TP,27/02/2008 16:06:03,10/12/2014 00:00:42,28.000
SAL,27/02/2008 16:05:01,10/12/2014 10:40:41,41.000
WQ_SIL_RSI,14/07/2014 00:00:05,10/12/2014 00:00:37,20.000
TEMP,27/02/2008 16:05:04,10/12/2014 10:40:23,11.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,27/02/2008 16:05:46,10/12/2014 10:41:01,78.000
WQ_TRC_SS1,27/02/2008 16:05:46,10/12/2014 10:41:01,78.000
ON,27/02/2008 16:05:37,13/11/2014 16:05:37,26.000
OP,27/02/2008 00:00:00,10/12/2014 00:00:00,28.000
