Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,25/08/2010 12:12:00,10/12/2014 11:31:11,14.000
Conductivity,27/02/2008 17:15:40,10/12/2014 11:31:19,39.000
WQ_NIT_NIT,14/07/2014 00:00:01,15/10/2014 00:00:38,16.000
WQ_PHS_FRP,14/07/2014 00:00:12,15/10/2014 00:00:17,16.000
WQ_DIAG_TOT_TKN,27/02/2008 17:15:31,15/10/2014 00:00:58,24.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 17:15:07,10/12/2014 11:31:21,76.000
WQ_CAR_DIC,25/08/2009 00:00:34,10/12/2014 11:30:50,7.000
WQ_GEO_AL,27/02/2008 17:15:03,23/11/2009 14:25:07,8.000
WQ_DIAG_TOT_TAL,27/02/2008 17:16:12,23/11/2009 14:25:58,8.000
WQ_NIT_AMM,27/02/2008 17:15:45,15/10/2014 00:00:33,24.000
WQ_GEO_CL,22/01/2014 00:00:08,15/10/2014 00:00:37,17.000
WQ_GEO_FEII,27/02/2008 17:15:33,23/11/2009 14:26:07,8.000
WQ_DIAG_TOT_TFE,27/02/2008 17:15:27,23/11/2009 14:26:14,8.000
WQ_DIAG_TOT_TN,21/07/2014 00:00:03,15/10/2014 00:01:10,14.000
WQ_CAR_PH,27/02/2008 17:15:17,10/12/2014 11:30:05,24.000
WQ_DIAG_TOT_TP,27/02/2008 17:16:03,15/10/2014 00:01:09,24.000
WQ_SIL_RSI,14/07/2014 00:00:48,15/10/2014 00:01:25,16.000
TEMP,25/08/2010 12:12:11,10/12/2014 11:30:28,14.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,27/02/2008 17:15:07,10/12/2014 11:31:21,76.000
WQ_TRC_SS1,27/02/2008 17:15:07,10/12/2014 11:31:21,76.000
ON,27/02/2008 17:15:31,02/10/2014 17:15:31,22.000
OP,27/02/2008 00:00:00,15/10/2014 00:00:00,24.000
SAL,27/02/2008 17:15:40,10/12/2014 11:31:19,39.000
