Variable Name,Min Date,Max Date,Number of Samples
Conductivity,27/02/2008 12:15:09,03/06/2010 10:50:01,10.000
WQ_DIAG_TOT_TKN,27/02/2008 12:15:21,23/11/2009 10:30:48,8.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 12:16:17,23/11/2009 10:31:20,8.000
WQ_CAR_DIC,25/08/2009 00:01:04,03/06/2010 10:51:20,3.000
WQ_GEO_AL,27/02/2008 12:16:07,23/11/2009 10:30:26,8.000
WQ_DIAG_TOT_TAL,27/02/2008 12:15:36,23/11/2009 10:31:24,8.000
WQ_NIT_AMM,27/02/2008 12:15:21,23/11/2009 10:30:39,8.000
WQ_GEO_FEII,27/02/2008 12:15:22,23/11/2009 10:30:26,8.000
WQ_DIAG_TOT_TFE,27/02/2008 12:16:16,23/11/2009 10:30:01,8.000
WQ_CAR_PH,27/02/2008 12:15:40,03/06/2010 10:50:53,10.000
WQ_DIAG_TOT_TP,27/02/2008 12:15:07,23/11/2009 10:30:08,8.000
SAL,27/02/2008 12:15:09,03/06/2010 10:50:01,10.000
TEMP,27/02/2008 12:15:27,03/06/2010 10:51:13,2.000
WQ_DIAG_TOT_TSS,27/02/2008 12:16:17,23/11/2009 10:31:20,8.000
WQ_TRC_SS1,27/02/2008 12:16:17,23/11/2009 10:31:20,8.000
ON,27/02/2008 12:15:21,25/08/2009 12:15:21,7.000
