Variable Name,Min Date,Max Date,Number of Samples
Conductivity,27/02/2008 14:20:09,03/08/2010 13:45:32,15.000
WQ_DIAG_TOT_TKN,27/02/2008 14:20:19,23/11/2009 12:15:48,8.000
WQ_DIAG_TOT_TURBIDITY,27/02/2008 14:20:03,03/08/2010 13:45:25,11.000
WQ_CAR_DIC,25/08/2009 00:01:16,03/08/2010 13:46:03,3.000
WQ_GEO_AL,27/02/2008 14:20:28,03/08/2010 13:45:03,11.000
WQ_DIAG_TOT_TAL,27/02/2008 14:20:25,03/08/2010 13:45:46,11.000
WQ_NIT_AMM,27/02/2008 14:20:25,23/11/2009 12:15:44,8.000
WQ_GEO_FEII,27/02/2008 14:20:41,03/08/2010 13:46:15,11.000
WQ_DIAG_TOT_TFE,27/02/2008 14:20:06,03/08/2010 13:45:33,11.000
WQ_CAR_PH,27/02/2008 14:20:20,03/08/2010 13:46:23,15.000
WQ_DIAG_TOT_TP,27/02/2008 14:20:32,23/11/2009 12:15:26,8.000
SAL,27/02/2008 14:20:09,03/08/2010 13:45:32,15.000
TEMP,27/02/2008 14:20:30,03/08/2010 13:45:05,4.000
WQ_DIAG_TOT_TSS,27/02/2008 14:20:03,03/08/2010 13:45:25,11.000
WQ_TRC_SS1,27/02/2008 14:20:03,03/08/2010 13:45:25,11.000
ON,27/02/2008 14:20:19,25/08/2009 14:20:19,7.000
