Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,01/07/2010 13:06:08,15/10/2014 15:56:25,10.000
Conductivity,01/07/2010 13:05:58,15/10/2014 15:56:25,16.000
WQ_NIT_NIT,21/07/2014 00:01:02,02/10/2014 00:00:56,6.000
WQ_PHS_FRP,21/07/2014 00:01:22,02/10/2014 00:00:06,6.000
WQ_DIAG_TOT_TKN,21/07/2014 00:01:18,02/10/2014 00:00:13,6.000
WQ_DIAG_TOT_TURBIDITY,21/07/2014 00:00:47,15/10/2014 15:56:15,26.000
WQ_CAR_DIC,21/07/2014 10:16:21,15/10/2014 15:55:31,7.000
WQ_NIT_AMM,21/07/2014 00:01:20,02/10/2014 00:01:23,6.000
WQ_GEO_CL,21/07/2014 00:01:14,02/10/2014 00:01:06,6.000
WQ_DIAG_TOT_TN,21/07/2014 00:00:12,02/10/2014 00:00:50,6.000
WQ_CAR_PH,01/07/2010 13:06:26,15/10/2014 15:55:36,10.000
WQ_DIAG_TOT_TP,21/07/2014 00:00:18,02/10/2014 00:01:02,6.000
WQ_SIL_RSI,21/07/2014 00:00:50,02/10/2014 00:00:18,6.000
TEMP,01/07/2010 13:05:56,15/10/2014 15:55:34,10.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,21/07/2014 00:00:47,15/10/2014 15:56:15,26.000
WQ_TRC_SS1,21/07/2014 00:00:47,15/10/2014 15:56:15,26.000
ON,21/07/2014 00:01:18,16/09/2014 00:01:18,5.000
OP,21/07/2014 00:00:00,02/10/2014 00:00:00,6.000
SAL,01/07/2010 13:05:58,15/10/2014 15:56:25,16.000
