Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,11/06/2010 00:00:42,18/12/2014 00:01:05,42.000
WQ_OXY_OXY,14/05/2009 17:00:43,18/12/2014 11:16:00,11.000
Conductivity,11/06/2010 00:00:15,18/12/2014 11:16:26,38.000
WQ_GEO_K,11/06/2010 00:00:35,18/12/2014 00:00:39,37.000
WQ_CAR_DIC,22/03/2011 00:00:00,18/12/2014 00:00:59,24.000
WQ_GEO_AL,11/06/2010 00:00:27,18/12/2014 00:00:03,35.000
WQ_GEO_CL,11/06/2010 00:00:29,18/12/2014 00:01:08,35.000
WQ_GEO_FEII,11/06/2010 00:01:14,18/12/2014 00:00:25,37.000
WQ_GEO_MN,11/06/2010 00:00:57,18/12/2014 00:00:11,37.000
WQ_CAR_PH,02/05/2009 08:00:58,18/12/2014 11:15:55,65.000
WQ_GEO_NA,11/06/2010 00:00:09,18/12/2014 00:00:01,37.000
WQ_GEO_SO4,11/06/2010 00:00:48,18/12/2014 00:01:21,37.000
TEMP,02/05/2009 08:00:36,18/12/2014 11:16:08,29.000
SAL,11/06/2010 00:00:15,18/12/2014 11:16:26,38.000
