Variable Name,Min Date,Max Date,Number of Samples
Conductivity,22/05/2009 00:07:09,20/08/2009 13:10:13,3.000
WQ_DIAG_TOT_TKN,22/05/2009 00:06:03,20/08/2009 13:10:37,3.000
WQ_CAR_DIC,13/08/2009 11:46:26,20/08/2009 13:10:12,2.000
WQ_GEO_AL,22/05/2009 00:06:14,20/08/2009 13:10:07,3.000
WQ_DIAG_TOT_TAL,22/05/2009 00:06:25,20/08/2009 13:10:09,3.000
WQ_NIT_AMM,22/05/2009 00:06:49,20/08/2009 13:10:36,3.000
WQ_GEO_CA,22/05/2009 00:07:11,20/08/2009 13:10:28,3.000
WQ_GEO_CL,22/05/2009 00:07:00,20/08/2009 13:10:32,3.000
WQ_GEO_FEII,22/05/2009 00:06:03,20/08/2009 13:10:41,3.000
WQ_DIAG_TOT_TFE,22/05/2009 00:07:00,20/08/2009 13:10:24,3.000
WQ_GEO_MG,22/05/2009 00:06:06,20/08/2009 13:10:04,3.000
WQ_GEO_MN,22/05/2009 00:06:03,20/08/2009 13:10:53,3.000
WQ_DIAG_TOT_TN,22/05/2009 00:06:30,20/08/2009 13:10:21,3.000
WQ_CAR_PH,22/05/2009 00:06:19,20/08/2009 13:11:05,3.000
WQ_DIAG_TOT_TP,22/05/2009 00:06:03,20/08/2009 13:10:20,3.000
WQ_GEO_K,22/05/2009 00:06:42,20/08/2009 13:11:07,3.000
WQ_GEO_NA,22/05/2009 00:06:44,20/08/2009 13:10:36,3.000
WQ_GEO_SO4,22/05/2009 00:06:50,20/08/2009 13:10:43,3.000
SAL,22/05/2009 00:07:09,20/08/2009 13:10:13,3.000
