Variable Name,Min Date,Max Date,Number of Samples
Conductivity,18/05/2009 00:03:31,09/06/2009 13:05:47,9.000
WQ_DIAG_TOT_TKN,18/05/2009 00:04:04,09/06/2009 13:05:44,9.000
WQ_CAR_DIC,18/05/2009 00:03:36,09/06/2009 13:06:23,9.000
WQ_GEO_AL,18/05/2009 00:04:20,09/06/2009 13:05:44,9.000
WQ_DIAG_TOT_TAL,18/05/2009 00:04:11,09/06/2009 13:06:22,9.000
WQ_NIT_AMM,18/05/2009 00:03:16,09/06/2009 13:05:27,9.000
WQ_GEO_CA,18/05/2009 00:03:02,09/06/2009 13:05:06,9.000
WQ_GEO_CL,18/05/2009 00:03:18,09/06/2009 13:05:05,9.000
WQ_GEO_FEII,18/05/2009 00:04:11,09/06/2009 13:05:25,9.000
WQ_DIAG_TOT_TFE,18/05/2009 00:03:32,09/06/2009 13:05:28,9.000
WQ_GEO_MG,18/05/2009 00:03:07,09/06/2009 13:06:02,9.000
WQ_GEO_MN,18/05/2009 00:03:55,09/06/2009 13:05:00,9.000
WQ_DIAG_TOT_TN,18/05/2009 00:03:47,09/06/2009 13:05:44,9.000
WQ_CAR_PH,18/05/2009 00:03:40,09/06/2009 13:05:37,9.000
WQ_DIAG_TOT_TP,18/05/2009 00:03:43,09/06/2009 13:05:25,9.000
WQ_GEO_K,18/05/2009 00:03:48,09/06/2009 13:06:09,9.000
WQ_GEO_NA,18/05/2009 00:03:41,09/06/2009 13:06:17,9.000
WQ_GEO_SO4,18/05/2009 00:04:11,09/06/2009 13:05:32,9.000
ON,22/05/2009 00:04:04,09/06/2009 00:04:04,7.000
SAL,18/05/2009 00:03:31,09/06/2009 13:05:47,9.000
