Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,09/11/2009 13:01:00,14/02/2013 08:45:30,9.000
WQ_OXY_OXY,09/04/2009 11:00:47,16/10/2014 10:25:53,201.000
Conductivity,09/04/2009 11:00:13,16/10/2014 10:25:33,210.000
WQ_NIT_NIT,09/11/2009 13:01:17,21/02/2011 13:04:02,8.000
WQ_PHS_FRP,15/06/2010 15:25:17,21/02/2011 13:04:02,4.000
WQ_GEO_K,09/11/2009 13:00:55,21/02/2011 13:04:11,8.000
WQ_DIAG_TOT_TKN,25/01/2010 09:45:41,21/02/2011 13:04:18,7.000
WQ_DIAG_TOT_TURBIDITY,09/04/2009 11:00:46,16/10/2014 10:26:03,12.000
WQ_CAR_DIC,09/04/2009 11:00:02,16/10/2014 10:25:24,211.000
WQ_GEO_AL,09/11/2009 13:01:21,21/02/2011 13:04:25,8.000
WQ_DIAG_TOT_TAL,09/11/2009 13:01:22,21/02/2011 13:03:03,8.000
WQ_NIT_AMM,09/11/2009 13:00:19,21/02/2011 13:03:03,8.000
WQ_GEO_CL,25/01/2010 09:45:29,21/02/2011 13:03:01,7.000
WQ_GEO_FEII,09/11/2009 13:01:25,21/02/2011 13:04:04,8.000
WQ_DIAG_TOT_TFE,09/11/2009 13:00:35,21/02/2011 13:03:53,8.000
WQ_GEO_MG,09/11/2009 13:00:23,09/11/2009 13:00:23,1.000
WQ_GEO_MN,09/11/2009 13:01:08,21/02/2011 13:04:11,3.000
WQ_DIAG_TOT_TN,09/11/2009 13:00:32,21/02/2011 13:04:15,8.000
WQ_CAR_PH,09/04/2009 11:00:41,16/10/2014 10:26:21,212.000
WQ_DIAG_TOT_TP,09/11/2009 13:00:40,21/02/2011 13:03:04,8.000
WQ_SIL_RSI,23/08/2010 13:00:26,21/02/2011 13:03:10,2.000
WQ_GEO_NA,09/11/2009 13:00:12,21/02/2011 13:03:10,8.000
WQ_GEO_SO4,25/01/2010 09:45:47,21/02/2011 13:04:22,7.000
TEMP,09/04/2009 11:00:38,16/10/2014 10:26:11,205.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,09/04/2009 11:00:46,16/10/2014 10:26:03,14.000
WQ_TRC_SS1,09/04/2009 11:00:46,16/10/2014 10:26:03,14.000
ON,25/01/2010 09:45:41,21/02/2011 09:45:41,7.000
OP,09/11/2009 00:00:00,21/02/2011 00:00:00,7.000
SAL,09/04/2009 11:00:13,16/10/2014 10:25:33,210.000
