Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,09/12/2008 13:20:23,16/04/2014 00:00:36,141.000
WQ_OXY_OXY,29/10/2008 16:03:18,16/10/2014 10:56:23,201.000
Conductivity,29/10/2008 16:03:32,16/10/2014 10:55:43,346.000
WQ_NIT_NIT,21/12/2009 11:10:14,03/02/2016 09:56:08,144.000
WQ_PHS_FRP,25/01/2010 10:35:00,03/02/2016 09:55:50,143.000
WQ_GEO_K,09/12/2008 13:20:33,16/04/2014 00:01:00,142.000
WQ_DIAG_TOT_TKN,04/08/2008 17:24:16,03/02/2016 09:55:55,165.000
WQ_DIAG_TOT_TOC,04/08/2008 17:24:12,17/07/2012 09:24:39,57.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 17:23:09,03/02/2016 09:55:07,265.000
WQ_CAR_DIC,04/08/2008 17:23:17,16/10/2014 10:55:59,336.000
WQ_GEO_AL,09/12/2008 13:20:14,16/04/2014 00:00:43,86.000
WQ_DIAG_TOT_TAL,09/12/2008 13:21:17,15/07/2014 00:00:15,143.000
WQ_NIT_AMM,04/08/2008 17:24:02,03/02/2016 09:55:54,168.000
WQ_GEO_CALCITE,31/08/2009 11:31:23,28/09/2009 09:00:47,2.000
WQ_GEO_CL,09/12/2008 13:21:01,15/07/2014 00:01:05,144.000
WQ_PHY_GRN,29/10/2008 16:04:15,03/02/2016 09:56:23,21.000
WQ_GEO_FEII,09/12/2008 13:21:21,05/04/2011 10:30:45,35.000
WQ_DIAG_TOT_TFE,09/12/2008 13:20:33,15/07/2014 00:00:59,145.000
WQ_GEO_MG,09/12/2008 13:20:53,28/12/2009 12:45:08,21.000
WQ_GEO_MN,09/12/2008 13:20:08,05/04/2011 10:31:00,29.000
WQ_DIAG_TOT_TN,04/08/2008 17:23:44,26/06/2013 10:16:17,134.000
WQ_OGM_DOC,04/08/2008 17:23:09,03/02/2016 09:55:32,122.000
WQ_CAR_PH,04/08/2008 17:23:28,16/10/2014 10:55:17,357.000
WQ_DIAG_TOT_TP,04/08/2008 17:23:57,03/02/2016 09:56:26,170.000
WQ_SIL_RSI,05/07/2010 13:20:22,03/02/2016 09:55:57,131.000
WQ_GEO_NA,09/12/2008 13:20:01,16/04/2014 00:01:08,142.000
WQ_GEO_SO4,04/08/2008 17:24:05,16/04/2014 00:00:13,146.000
WQ_DIAG_TOT_TSS,29/10/2008 16:03:53,29/10/2008 16:03:53,1.000
TEMP,29/10/2008 16:03:31,16/10/2014 10:56:23,209.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,29/10/2008 16:04:15,03/02/2016 09:56:23,21.000
WQ_TRC_SS1,04/08/2008 17:23:09,03/02/2016 09:55:07,265.000
ON,04/08/2008 17:24:16,15/10/2015 17:24:16,164.000
OP,04/08/2008 00:00:00,03/02/2016 00:00:00,170.000
SAL,29/10/2008 16:03:32,16/10/2014 10:55:43,346.000
