Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,16/11/2009 12:50:22,14/02/2013 12:30:30,40.000
WQ_OXY_OXY,14/01/2009 14:56:18,16/10/2014 13:01:23,167.000
Conductivity,14/01/2009 14:56:03,16/10/2014 13:00:59,209.000
WQ_NIT_NIT,16/11/2009 12:50:44,13/07/2011 12:00:07,39.000
WQ_PHS_FRP,22/02/2010 14:10:29,13/07/2011 12:01:25,24.000
WQ_GEO_K,16/11/2009 12:50:07,13/07/2011 12:01:02,39.000
WQ_DIAG_TOT_TKN,04/01/2010 13:25:45,13/07/2011 12:00:52,32.000
WQ_DIAG_TOT_TURBIDITY,07/02/2011 12:00:37,16/10/2014 13:01:10,20.000
WQ_CAR_DIC,14/01/2009 14:56:22,16/10/2014 13:00:48,203.000
WQ_GEO_AL,16/11/2009 12:50:55,13/07/2011 12:01:06,39.000
WQ_DIAG_TOT_TAL,16/11/2009 12:50:19,13/07/2011 12:00:36,39.000
WQ_NIT_AMM,16/11/2009 12:50:16,13/07/2011 12:00:32,39.000
WQ_GEO_CL,04/01/2010 13:25:04,13/07/2011 12:01:21,32.000
WQ_GEO_FEII,16/11/2009 12:50:50,13/07/2011 12:00:59,39.000
WQ_DIAG_TOT_TFE,16/11/2009 12:50:48,13/07/2011 12:01:21,39.000
WQ_GEO_MG,16/11/2009 12:50:48,29/12/2009 11:50:07,7.000
WQ_GEO_MN,16/11/2009 12:50:38,13/07/2011 12:01:20,8.000
WQ_DIAG_TOT_TN,16/11/2009 12:50:47,13/07/2011 12:00:13,39.000
WQ_CAR_PH,14/01/2009 14:56:02,16/10/2014 13:01:04,205.000
WQ_DIAG_TOT_TP,16/11/2009 12:50:58,13/07/2011 12:00:54,39.000
WQ_SIL_RSI,07/02/2011 12:01:13,13/07/2011 12:00:23,6.000
WQ_GEO_NA,16/11/2009 12:50:49,13/07/2011 12:01:03,39.000
WQ_GEO_SO4,04/01/2010 13:25:11,13/07/2011 12:01:09,32.000
TEMP,14/01/2009 14:55:12,16/10/2014 13:00:15,173.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,07/02/2011 12:00:37,16/10/2014 13:01:10,20.000
WQ_TRC_SS1,07/02/2011 12:00:37,16/10/2014 13:01:10,20.000
ON,04/01/2010 13:25:45,30/05/2011 13:25:45,31.000
OP,16/11/2009 00:00:00,13/07/2011 00:00:00,39.000
SAL,14/01/2009 14:56:03,16/10/2014 13:00:59,209.000
