Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,09/11/2009 11:50:15,14/02/2013 12:00:29,44.000
WQ_OXY_OXY,08/05/2009 15:21:05,16/10/2014 12:20:32,211.000
Conductivity,08/05/2009 15:20:39,16/10/2014 12:20:12,260.000
WQ_NIT_NIT,09/11/2009 11:51:26,30/05/2011 13:30:42,43.000
WQ_PHS_FRP,22/02/2010 13:25:41,30/05/2011 13:30:51,28.000
WQ_GEO_K,09/11/2009 11:50:57,30/05/2011 13:30:03,43.000
WQ_DIAG_TOT_TKN,04/01/2010 12:46:22,30/05/2011 13:30:24,35.000
WQ_DIAG_TOT_TURBIDITY,26/07/2010 11:53:15,16/10/2014 12:20:26,26.000
WQ_CAR_DIC,08/05/2009 15:20:59,16/10/2014 12:20:06,245.000
WQ_GEO_AL,09/11/2009 11:50:41,30/05/2011 13:30:20,43.000
WQ_DIAG_TOT_TAL,09/11/2009 11:50:49,30/05/2011 13:30:17,43.000
WQ_NIT_AMM,09/11/2009 11:51:23,30/05/2011 13:31:12,43.000
WQ_GEO_CL,04/01/2010 12:45:06,30/05/2011 13:31:12,35.000
WQ_GEO_FEII,09/11/2009 11:50:46,30/05/2011 13:31:15,43.000
WQ_DIAG_TOT_TFE,09/11/2009 11:50:51,30/05/2011 13:30:46,43.000
WQ_GEO_MG,09/11/2009 11:51:13,29/12/2009 11:16:24,8.000
WQ_GEO_MN,09/11/2009 11:50:53,30/05/2011 13:31:16,12.000
WQ_DIAG_TOT_TN,09/11/2009 11:50:31,30/05/2011 13:31:20,43.000
WQ_CAR_PH,15/05/2009 10:31:04,16/10/2014 12:21:11,252.000
WQ_DIAG_TOT_TP,09/11/2009 11:51:18,30/05/2011 13:30:07,43.000
WQ_SIL_RSI,26/07/2010 11:52:05,30/05/2011 13:30:38,9.000
WQ_GEO_NA,09/11/2009 11:51:24,30/05/2011 13:30:17,43.000
WQ_GEO_SO4,04/01/2010 12:45:15,30/05/2011 13:31:11,35.000
TEMP,08/05/2009 15:20:54,16/10/2014 12:21:18,219.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,26/07/2010 11:53:15,16/10/2014 12:20:26,26.000
WQ_TRC_SS1,26/07/2010 11:53:15,16/10/2014 12:20:26,26.000
ON,04/01/2010 12:46:22,30/05/2011 12:46:22,35.000
OP,09/11/2009 00:00:00,30/05/2011 00:00:00,43.000
SAL,08/05/2009 15:20:39,16/10/2014 12:20:12,260.000
