Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,16/04/2010 14:57:51,12/01/2011 10:01:21,2.000
Conductivity,05/08/2009 00:01:24,12/01/2011 10:01:15,3.000
WQ_DIAG_TOT_TKN,05/08/2009 00:00:53,05/08/2009 00:00:53,1.000
WQ_CAR_DIC,05/08/2009 00:00:46,12/01/2011 10:01:14,3.000
WQ_GEO_AL,05/08/2009 00:01:15,05/08/2009 00:01:15,1.000
WQ_DIAG_TOT_TAL,05/08/2009 00:01:12,05/08/2009 00:01:12,1.000
WQ_NIT_AMM,05/08/2009 00:01:02,05/08/2009 00:01:02,1.000
WQ_GEO_CA,05/08/2009 00:00:34,05/08/2009 00:00:34,1.000
WQ_GEO_CL,05/08/2009 00:00:20,05/08/2009 00:00:20,1.000
WQ_GEO_FEII,05/08/2009 00:00:17,05/08/2009 00:00:17,1.000
WQ_DIAG_TOT_TFE,05/08/2009 00:00:13,05/08/2009 00:00:13,1.000
WQ_GEO_MG,05/08/2009 00:00:43,05/08/2009 00:00:43,1.000
WQ_GEO_MN,05/08/2009 00:00:06,05/08/2009 00:00:06,1.000
WQ_DIAG_TOT_TN,05/08/2009 00:01:21,05/08/2009 00:01:21,1.000
WQ_CAR_PH,05/08/2009 00:00:27,12/01/2011 10:01:24,3.000
WQ_DIAG_TOT_TP,05/08/2009 00:01:20,05/08/2009 00:01:20,1.000
WQ_GEO_K,05/08/2009 00:00:58,05/08/2009 00:00:58,1.000
WQ_GEO_NA,05/08/2009 00:00:28,05/08/2009 00:00:28,1.000
WQ_GEO_SO4,05/08/2009 00:01:03,05/08/2009 00:01:03,1.000
TEMP,16/04/2010 14:58:12,12/01/2011 10:01:02,2.000
SAL,05/08/2009 00:01:24,12/01/2011 10:01:15,3.000
