Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,30/11/2009 09:45:54,14/02/2013 13:06:07,42.000
WQ_OXY_OXY,26/11/2009 09:01:25,03/10/2013 11:54:02,150.000
Conductivity,26/11/2009 09:01:21,03/10/2013 11:54:07,193.000
WQ_NIT_NIT,30/11/2009 09:46:13,11/08/2011 11:55:19,41.000
WQ_PHS_FRP,22/02/2010 12:26:02,11/08/2011 11:55:28,29.000
WQ_GEO_K,30/11/2009 09:46:13,11/08/2011 11:55:18,41.000
WQ_DIAG_TOT_TKN,04/01/2010 12:15:25,11/08/2011 11:56:02,36.000
WQ_DIAG_TOT_TURBIDITY,05/07/2010 15:40:10,14/02/2013 13:06:16,22.000
WQ_CAR_DIC,26/11/2009 09:01:04,03/10/2013 11:54:27,190.000
WQ_GEO_AL,30/11/2009 09:46:07,11/08/2011 11:55:51,41.000
WQ_DIAG_TOT_TAL,30/11/2009 09:45:19,11/08/2011 11:55:02,41.000
WQ_NIT_AMM,30/11/2009 09:45:38,11/08/2011 11:56:23,41.000
WQ_GEO_CL,04/01/2010 12:15:34,11/08/2011 11:56:19,36.000
WQ_GEO_FEII,30/11/2009 09:45:33,11/08/2011 11:55:46,41.000
WQ_DIAG_TOT_TFE,30/11/2009 09:46:10,11/08/2011 11:55:59,41.000
WQ_GEO_MG,30/11/2009 09:45:46,29/12/2009 10:45:05,5.000
WQ_GEO_MN,05/07/2010 15:40:10,11/08/2011 11:55:10,10.000
WQ_DIAG_TOT_TN,30/11/2009 09:46:19,11/08/2011 11:55:30,41.000
WQ_CAR_PH,26/11/2009 09:00:33,03/10/2013 11:55:09,191.000
WQ_DIAG_TOT_TP,30/11/2009 09:46:01,11/08/2011 11:56:03,41.000
WQ_SIL_RSI,05/07/2010 15:40:22,11/08/2011 11:55:59,10.000
WQ_GEO_NA,30/11/2009 09:45:11,11/08/2011 11:56:12,41.000
WQ_GEO_SO4,04/01/2010 12:16:12,11/08/2011 11:56:09,36.000
TEMP,26/11/2009 09:00:10,03/10/2013 11:54:56,155.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,05/07/2010 15:40:10,14/02/2013 13:06:16,22.000
WQ_TRC_SS1,05/07/2010 15:40:10,14/02/2013 13:06:16,22.000
ON,04/01/2010 12:15:25,14/06/2011 12:15:25,35.000
OP,30/11/2009 00:00:00,11/08/2011 00:00:00,41.000
SAL,26/11/2009 09:01:21,03/10/2013 11:54:07,193.000
