Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,10/11/2009 10:16:02,14/02/2013 14:20:29,37.000
WQ_OXY_OXY,14/05/2009 10:30:56,16/10/2014 14:35:02,163.000
Conductivity,14/05/2009 10:31:03,16/10/2014 14:36:17,198.000
WQ_NIT_NIT,10/11/2009 10:15:33,07/02/2011 10:01:24,36.000
WQ_PHS_FRP,22/02/2010 11:10:31,07/02/2011 10:01:18,20.000
WQ_GEO_K,10/11/2009 10:15:19,07/02/2011 10:01:24,36.000
WQ_DIAG_TOT_TKN,07/01/2010 11:06:15,07/02/2011 10:01:16,28.000
WQ_DIAG_TOT_TURBIDITY,15/11/2010 09:30:26,16/10/2014 14:36:01,12.000
WQ_CAR_DIC,14/05/2009 10:30:31,16/10/2014 14:35:42,193.000
WQ_GEO_AL,10/11/2009 10:16:01,07/02/2011 10:00:41,36.000
WQ_DIAG_TOT_TAL,10/11/2009 10:15:41,07/02/2011 10:01:01,36.000
WQ_NIT_AMM,10/11/2009 10:15:15,07/02/2011 10:00:16,36.000
WQ_GEO_CL,07/01/2010 11:05:39,07/02/2011 10:00:57,28.000
WQ_GEO_FEII,10/11/2009 10:15:59,07/02/2011 10:01:01,36.000
WQ_DIAG_TOT_TFE,10/11/2009 10:15:00,07/02/2011 10:00:49,36.000
WQ_GEO_MG,10/11/2009 10:16:07,29/12/2009 10:11:09,8.000
WQ_GEO_MN,10/11/2009 10:16:03,23/11/2009 15:01:06,3.000
WQ_DIAG_TOT_TN,10/11/2009 10:15:01,07/02/2011 10:00:30,36.000
WQ_CAR_PH,14/05/2009 10:30:05,16/10/2014 14:36:13,194.000
WQ_DIAG_TOT_TP,10/11/2009 10:16:25,07/02/2011 10:00:16,36.000
WQ_SIL_RSI,15/11/2010 09:30:09,07/02/2011 10:00:02,2.000
WQ_GEO_NA,10/11/2009 10:16:00,07/02/2011 10:00:25,36.000
WQ_GEO_SO4,07/01/2010 11:05:10,07/02/2011 10:00:57,28.000
TEMP,14/05/2009 10:30:54,16/10/2014 14:35:25,166.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,15/11/2010 09:30:26,16/10/2014 14:36:01,12.000
WQ_TRC_SS1,15/11/2010 09:30:26,16/10/2014 14:36:01,12.000
ON,07/01/2010 11:06:15,15/11/2010 11:06:15,27.000
OP,10/11/2009 00:00:00,07/02/2011 00:00:00,36.000
SAL,14/05/2009 10:31:03,16/10/2014 14:36:17,198.000
