Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,04/08/2008 14:53:21,22/06/2010 09:52:09,48.000
WQ_OXY_OXY,04/08/2008 14:53:28,21/06/2011 14:00:14,201.000
Conductivity,04/08/2008 14:53:20,21/06/2011 14:00:30,255.000
WQ_NIT_NIT,06/01/2010 13:10:58,22/06/2010 09:53:16,24.000
WQ_PHS_FRP,28/01/2010 13:15:38,22/06/2010 09:53:19,19.000
WQ_GEO_K,04/08/2008 14:53:36,22/06/2010 09:52:09,48.000
WQ_DIAG_TOT_TKN,04/08/2008 14:53:47,22/06/2010 09:53:02,51.000
WQ_DIAG_TOT_TOC,04/08/2008 14:54:14,22/06/2010 09:52:47,22.000
WQ_DIAG_TOT_TURBIDITY,04/08/2008 14:54:04,22/06/2010 09:52:59,474.000
WQ_CAR_DIC,04/08/2008 14:53:16,21/06/2011 14:00:07,169.000
WQ_GEO_AL,04/08/2008 14:53:28,22/06/2010 09:52:37,52.000
WQ_DIAG_TOT_TAL,04/08/2008 14:54:18,22/06/2010 09:52:16,51.000
WQ_NIT_AMM,04/08/2008 14:54:11,22/06/2010 09:52:02,51.000
WQ_GEO_CALCITE,01/09/2009 11:25:56,25/11/2009 14:15:49,4.000
WQ_GEO_CL,04/08/2008 14:54:09,22/06/2010 09:52:24,52.000
WQ_PHY_GRN,04/08/2008 14:53:53,02/09/2009 11:11:12,15.000
WQ_GEO_FEII,04/08/2008 14:53:41,22/06/2010 09:53:16,51.000
WQ_DIAG_TOT_TFE,04/08/2008 14:53:13,22/06/2010 09:52:26,52.000
WQ_GEO_MG,04/08/2008 14:53:40,30/12/2009 11:00:53,24.000
WQ_GEO_MN,04/08/2008 14:54:00,22/06/2010 09:53:22,34.000
WQ_DIAG_TOT_TN,04/08/2008 14:53:01,22/06/2010 09:52:36,51.000
WQ_OGM_DOC,04/08/2008 14:53:53,22/06/2010 09:52:35,33.000
WQ_CAR_PH,04/08/2008 14:53:31,21/06/2011 14:00:45,233.000
WQ_DIAG_TOT_TP,04/08/2008 14:54:07,22/06/2010 09:52:07,51.000
WQ_GEO_NA,04/08/2008 14:54:19,22/06/2010 09:52:30,48.000
WQ_GEO_SO4,04/08/2008 14:53:58,22/06/2010 09:52:26,51.000
WQ_DIAG_TOT_TSS,04/08/2008 14:53:52,19/12/2009 14:11:22,19.000
TEMP,04/08/2008 14:53:13,21/06/2011 14:00:35,220.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_PHY_TCHLA,04/08/2008 14:53:53,02/09/2009 11:11:12,15.000
WQ_TRC_SS1,04/08/2008 14:54:04,22/06/2010 09:52:59,474.000
ON,04/08/2008 14:53:47,11/06/2010 14:53:47,50.000
OP,04/08/2008 00:00:00,22/06/2010 00:00:00,51.000
SAL,04/08/2008 14:53:20,21/06/2011 14:00:30,255.000
