Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,10/11/2009 10:36:18,14/02/2013 13:30:45,14.000
WQ_OXY_OXY,09/04/2009 13:15:45,16/10/2014 13:45:33,167.000
Conductivity,09/04/2009 13:16:11,16/10/2014 13:45:55,180.000
WQ_NIT_NIT,10/11/2009 10:35:06,11/08/2011 11:30:38,13.000
WQ_PHS_FRP,15/06/2010 12:21:00,11/08/2011 11:30:28,9.000
WQ_GEO_K,10/11/2009 10:35:55,11/08/2011 11:30:48,13.000
WQ_DIAG_TOT_TKN,25/01/2010 13:40:48,11/08/2011 11:30:55,12.000
WQ_DIAG_TOT_TURBIDITY,09/04/2009 13:15:00,16/10/2014 13:45:56,24.000
WQ_CAR_DIC,09/04/2009 13:15:07,16/10/2014 13:45:42,179.000
WQ_GEO_AL,10/11/2009 10:35:39,11/08/2011 11:31:23,13.000
WQ_DIAG_TOT_TAL,10/11/2009 10:35:55,11/08/2011 11:31:07,13.000
WQ_NIT_AMM,10/11/2009 10:36:16,11/08/2011 11:30:11,13.000
WQ_GEO_CL,25/01/2010 13:41:21,11/08/2011 11:31:07,12.000
WQ_GEO_FEII,10/11/2009 10:36:14,11/08/2011 11:31:23,13.000
WQ_DIAG_TOT_TFE,10/11/2009 10:35:21,11/08/2011 11:30:05,13.000
WQ_GEO_MG,10/11/2009 10:36:15,10/11/2009 10:36:15,1.000
WQ_GEO_MN,10/11/2009 10:35:02,11/08/2011 11:30:06,8.000
WQ_DIAG_TOT_TN,10/11/2009 10:36:05,11/08/2011 11:30:20,13.000
WQ_CAR_PH,09/04/2009 13:16:02,16/10/2014 13:45:49,181.000
WQ_DIAG_TOT_TP,10/11/2009 10:35:59,11/08/2011 11:30:11,13.000
WQ_SIL_RSI,23/08/2010 10:34:28,11/08/2011 11:31:14,7.000
WQ_GEO_NA,10/11/2009 10:35:37,11/08/2011 11:30:47,13.000
WQ_GEO_SO4,25/01/2010 13:40:58,11/08/2011 11:30:12,12.000
TEMP,09/04/2009 13:16:04,16/10/2014 13:45:50,169.000
WQ_OGM_DON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_PON,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_DOP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_OGM_POP,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,09/04/2009 13:15:00,16/10/2014 13:45:56,24.000
WQ_TRC_SS1,09/04/2009 13:15:00,16/10/2014 13:45:56,24.000
ON,25/01/2010 13:40:48,15/06/2011 13:40:48,11.000
OP,10/11/2009 00:00:00,11/08/2011 00:00:00,13.000
SAL,09/04/2009 13:16:11,16/10/2014 13:45:55,180.000
