Variable Name,Min Date,Max Date,Number of Samples
WQ_OXY_OXY,18/12/2013 10:00:17,26/06/2014 12:31:24,4.000
Conductivity,19/05/2009 00:03:00,26/06/2014 12:31:10,10.000
WQ_DIAG_TOT_TKN,19/05/2009 00:02:02,19/05/2009 00:02:02,1.000
WQ_CAR_DIC,19/05/2009 00:03:18,26/06/2014 12:31:00,7.000
WQ_GEO_AL,19/05/2009 00:02:25,19/05/2009 00:02:25,1.000
WQ_DIAG_TOT_TAL,19/05/2009 00:03:16,19/05/2009 00:03:16,1.000
WQ_NIT_AMM,19/05/2009 00:02:26,19/05/2009 00:02:26,1.000
WQ_GEO_CA,19/05/2009 00:02:12,19/05/2009 00:02:12,1.000
WQ_GEO_CL,19/05/2009 00:02:42,19/05/2009 00:02:42,1.000
WQ_GEO_FEII,19/05/2009 00:02:13,19/05/2009 00:02:13,1.000
WQ_DIAG_TOT_TFE,19/05/2009 00:03:12,19/05/2009 00:03:12,1.000
WQ_GEO_MG,19/05/2009 00:03:24,19/05/2009 00:03:24,1.000
WQ_GEO_MN,19/05/2009 00:02:42,19/05/2009 00:02:42,1.000
WQ_DIAG_TOT_TN,19/05/2009 00:02:26,19/05/2009 00:02:26,1.000
WQ_CAR_PH,19/05/2009 00:02:45,18/09/2014 00:00:00,12.000
WQ_DIAG_TOT_TP,19/05/2009 00:02:03,19/05/2009 00:02:03,1.000
WQ_GEO_K,19/05/2009 00:02:55,19/05/2009 00:02:55,1.000
WQ_GEO_NA,19/05/2009 00:03:00,19/05/2009 00:03:00,1.000
WQ_GEO_SO4,19/05/2009 00:02:58,19/05/2009 00:02:58,1.000
TEMP,26/05/2009 16:15:44,26/06/2014 12:30:14,10.000
SAL,19/05/2009 00:03:00,26/06/2014 12:31:10,10.000
