Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,18/08/2010 11:44:01,26/09/2011 09:50:20,21.000
WQ_OXY_OXY,12/08/2010 11:50:10,23/12/2014 10:56:05,82.000
Conductivity,12/08/2010 11:51:24,23/12/2014 10:56:15,103.000
WQ_GEO_K,18/08/2010 11:44:05,26/09/2011 09:50:52,21.000
WQ_CAR_DIC,08/09/2010 12:30:08,23/12/2014 10:56:02,96.000
WQ_GEO_AL,18/08/2010 11:45:17,26/09/2011 09:51:04,21.000
WQ_DIAG_TOT_TAL,18/08/2010 11:44:07,26/09/2011 09:50:46,21.000
WQ_GEO_CL,18/08/2010 11:44:13,26/09/2011 09:50:31,21.000
WQ_GEO_FEII,18/08/2010 11:45:19,26/09/2011 09:50:35,21.000
WQ_DIAG_TOT_TFE,18/08/2010 11:44:45,26/09/2011 09:50:44,21.000
WQ_GEO_MN,18/08/2010 11:45:02,26/09/2011 09:50:33,21.000
WQ_CAR_PH,12/08/2010 11:50:03,23/12/2014 10:55:27,103.000
WQ_SIL_RSI,18/08/2010 11:44:31,26/09/2011 09:50:00,21.000
WQ_GEO_NA,18/08/2010 11:44:42,26/09/2011 09:50:59,21.000
WQ_GEO_SO4,18/08/2010 11:45:20,26/09/2011 09:51:10,21.000
TEMP,12/08/2010 11:50:07,23/12/2014 10:55:32,82.000
WQ_DIAG_TOT_TURBIDITY,18/08/2010 11:44:03,26/09/2011 09:51:06,21.000
WQ_DIAG_TOT_TSS,18/08/2010 11:44:03,26/09/2011 09:51:06,21.000
WQ_TRC_SS1,18/08/2010 11:44:03,26/09/2011 09:51:06,21.000
SAL,12/08/2010 11:51:24,23/12/2014 10:56:15,103.000
