Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,16/09/2010 12:25:57,16/09/2010 12:25:57,1.000
WQ_OXY_OXY,16/09/2010 12:25:46,23/12/2014 08:45:03,79.000
Conductivity,16/09/2010 12:26:03,23/12/2014 08:46:03,80.000
WQ_GEO_K,16/09/2010 12:25:26,16/09/2010 12:25:26,1.000
WQ_CAR_DIC,16/09/2010 12:25:59,23/12/2014 08:46:11,80.000
WQ_GEO_AL,16/09/2010 12:25:49,16/09/2010 12:25:49,1.000
WQ_DIAG_TOT_TAL,16/09/2010 12:26:23,16/09/2010 12:26:23,1.000
WQ_GEO_CL,16/09/2010 12:25:57,16/09/2010 12:25:57,1.000
WQ_GEO_FEII,16/09/2010 12:25:30,16/09/2010 12:25:30,1.000
WQ_DIAG_TOT_TFE,16/09/2010 12:25:32,16/09/2010 12:25:32,1.000
WQ_GEO_MN,16/09/2010 12:26:00,16/09/2010 12:26:00,1.000
WQ_CAR_PH,16/09/2010 12:25:35,23/12/2014 08:45:17,80.000
WQ_SIL_RSI,16/09/2010 12:25:16,16/09/2010 12:25:16,1.000
WQ_GEO_NA,16/09/2010 12:25:17,16/09/2010 12:25:17,1.000
WQ_GEO_SO4,16/09/2010 12:26:05,16/09/2010 12:26:05,1.000
TEMP,16/09/2010 12:26:20,23/12/2014 08:45:38,79.000
WQ_DIAG_TOT_TURBIDITY,16/09/2010 12:25:20,16/09/2010 12:25:20,1.000
WQ_DIAG_TOT_TSS,16/09/2010 12:25:20,16/09/2010 12:25:20,1.000
WQ_TRC_SS1,16/09/2010 12:25:20,16/09/2010 12:25:20,1.000
SAL,16/09/2010 12:26:03,23/12/2014 08:46:03,80.000
