Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,26/10/2010 13:34:11,11/05/2011 12:56:43,2.000
WQ_OXY_OXY,14/07/2010 11:56:49,23/12/2014 10:35:06,171.000
Conductivity,14/07/2010 11:57:03,23/12/2014 10:35:12,173.000
WQ_GEO_K,26/10/2010 13:34:01,11/05/2011 12:56:00,2.000
WQ_CAR_DIC,14/07/2010 11:56:47,23/12/2014 10:35:02,173.000
WQ_GEO_AL,26/10/2010 13:34:01,11/05/2011 12:56:41,2.000
WQ_DIAG_TOT_TAL,26/10/2010 13:35:24,11/05/2011 12:56:46,2.000
WQ_GEO_CL,26/10/2010 13:35:21,11/05/2011 12:56:22,2.000
WQ_GEO_FEII,26/10/2010 13:35:00,11/05/2011 12:56:15,2.000
WQ_DIAG_TOT_TFE,26/10/2010 13:34:33,11/05/2011 12:56:44,2.000
WQ_GEO_MN,26/10/2010 13:35:02,11/05/2011 12:56:00,2.000
WQ_CAR_PH,14/07/2010 11:57:18,23/12/2014 10:36:02,172.000
WQ_SIL_RSI,26/10/2010 13:34:28,11/05/2011 12:56:25,2.000
WQ_GEO_NA,26/10/2010 13:34:49,11/05/2011 12:56:41,2.000
WQ_GEO_SO4,26/10/2010 13:35:10,11/05/2011 12:56:26,2.000
TEMP,14/07/2010 11:56:51,23/12/2014 10:35:55,171.000
WQ_DIAG_TOT_TURBIDITY,26/10/2010 13:34:00,11/05/2011 12:56:41,2.000
WQ_DIAG_TOT_TSS,26/10/2010 13:34:00,11/05/2011 12:56:41,2.000
WQ_TRC_SS1,26/10/2010 13:34:00,11/05/2011 12:56:41,2.000
SAL,14/07/2010 11:57:03,23/12/2014 10:35:12,173.000
