Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,07/02/2013 09:51:01,04/04/2013 13:21:04,23.000
Conductivity,07/02/2013 09:50:11,04/04/2013 13:47:40,296.000
WQ_NIT_NIT,07/02/2013 09:50:03,04/04/2013 13:20:47,23.000
WQ_PHS_FRP,07/02/2013 09:50:14,04/04/2013 13:20:35,23.000
WQ_GEO_K,07/02/2013 09:50:39,04/04/2013 13:20:06,23.000
WQ_DIAG_TOT_TURBIDITY,07/02/2013 09:50:05,04/04/2013 13:47:51,590.000
WQ_CAR_DIC,07/02/2013 09:51:16,04/04/2013 13:21:21,23.000
WQ_GEO_AL,07/02/2013 09:50:38,04/04/2013 13:20:58,23.000
WQ_DIAG_TOT_TAL,07/02/2013 09:51:11,04/04/2013 13:20:16,23.000
WQ_NIT_AMM,07/02/2013 09:50:41,04/04/2013 13:20:10,23.000
WQ_GEO_CL,07/02/2013 09:51:07,04/04/2013 13:20:11,23.000
WQ_GEO_FEII,07/02/2013 09:50:04,04/04/2013 13:20:29,23.000
WQ_DIAG_TOT_TFE,07/02/2013 09:50:09,04/04/2013 13:20:18,23.000
WQ_GEO_MN,07/02/2013 09:50:01,04/04/2013 13:20:14,23.000
WQ_OGM_DOC,07/02/2013 09:50:43,04/04/2013 13:21:24,23.000
WQ_CAR_PH,07/02/2013 09:50:09,04/04/2013 13:47:26,296.000
SAL,07/02/2013 09:50:11,04/04/2013 13:47:40,296.000
WQ_SIL_RSI,07/02/2013 09:50:38,04/04/2013 13:20:57,23.000
WQ_GEO_NA,07/02/2013 09:50:09,04/04/2013 13:21:03,23.000
WQ_GEO_SO4,07/02/2013 09:50:35,04/04/2013 13:21:15,23.000
TEMP,07/02/2013 09:50:12,04/04/2013 13:47:34,273.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,07/02/2013 09:49:01,04/04/2013 13:47:51,592.000
WQ_TRC_SS1,07/02/2013 09:49:01,04/04/2013 13:47:51,592.000
