Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,22/05/2013 00:20:29,22/05/2013 12:15:47,11.000
Conductivity,22/05/2013 00:20:32,22/05/2013 14:05:04,188.000
WQ_NIT_NIT,22/05/2013 00:21:05,22/05/2013 12:15:28,11.000
WQ_PHS_FRP,22/05/2013 00:21:02,22/05/2013 12:15:21,11.000
WQ_GEO_K,22/05/2013 00:20:16,22/05/2013 12:15:01,11.000
WQ_DIAG_TOT_TURBIDITY,22/05/2013 00:20:28,22/05/2013 14:05:25,376.000
WQ_CAR_DIC,22/05/2013 00:21:09,22/05/2013 12:15:44,11.000
WQ_GEO_AL,22/05/2013 00:20:40,22/05/2013 12:15:12,11.000
WQ_DIAG_TOT_TAL,22/05/2013 00:21:07,22/05/2013 12:16:26,11.000
WQ_NIT_AMM,22/05/2013 00:21:15,22/05/2013 12:15:22,11.000
WQ_GEO_CL,22/05/2013 00:20:58,22/05/2013 12:16:14,11.000
WQ_GEO_FEII,22/05/2013 00:20:28,22/05/2013 12:15:46,11.000
WQ_DIAG_TOT_TFE,22/05/2013 00:21:18,22/05/2013 12:15:40,11.000
WQ_GEO_MN,22/05/2013 00:20:58,22/05/2013 12:16:23,11.000
WQ_OGM_DOC,22/05/2013 00:20:50,22/05/2013 12:15:45,11.000
WQ_CAR_PH,22/05/2013 00:21:17,22/05/2013 14:04:31,188.000
SAL,22/05/2013 00:20:32,22/05/2013 14:05:04,188.000
WQ_SIL_RSI,22/05/2013 00:20:15,22/05/2013 12:15:24,11.000
WQ_GEO_NA,22/05/2013 00:21:02,22/05/2013 12:16:16,11.000
WQ_GEO_SO4,22/05/2013 00:20:15,22/05/2013 12:15:31,11.000
TEMP,22/05/2013 10:56:25,22/05/2013 14:04:40,177.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,22/05/2013 00:20:28,22/05/2013 14:05:25,376.000
WQ_TRC_SS1,22/05/2013 00:20:28,22/05/2013 14:05:25,376.000
