Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,13/11/2012 10:00:43,05/03/2013 13:00:39,22.000
Conductivity,18/01/2012 12:06:48,05/03/2013 13:00:56,285.000
WQ_NIT_NIT,13/11/2012 10:01:09,05/03/2013 13:01:16,22.000
WQ_PHS_FRP,13/11/2012 10:00:19,05/03/2013 13:00:04,22.000
WQ_GEO_K,13/11/2012 10:01:17,05/03/2013 13:00:40,22.000
WQ_DIAG_TOT_TURBIDITY,18/01/2012 12:06:14,05/03/2013 13:00:21,570.000
WQ_CAR_DIC,13/11/2012 10:00:51,05/03/2013 13:00:20,22.000
WQ_GEO_AL,13/11/2012 10:01:03,05/03/2013 13:00:49,22.000
WQ_DIAG_TOT_TAL,13/11/2012 10:01:15,05/03/2013 13:00:31,22.000
WQ_NIT_AMM,13/11/2012 10:00:14,05/03/2013 13:00:46,22.000
WQ_GEO_CL,13/11/2012 10:00:19,05/03/2013 13:00:22,22.000
WQ_GEO_FEII,13/11/2012 10:00:15,05/03/2013 13:00:54,22.000
WQ_DIAG_TOT_TFE,13/11/2012 10:00:33,05/03/2013 13:01:13,22.000
WQ_GEO_MN,13/11/2012 10:00:42,05/03/2013 13:00:45,22.000
WQ_OGM_DOC,13/11/2012 10:01:23,05/03/2013 13:00:06,22.000
WQ_CAR_PH,18/01/2012 12:06:31,05/03/2013 13:00:04,285.000
SAL,18/01/2012 12:06:48,05/03/2013 13:00:56,285.000
WQ_SIL_RSI,13/11/2012 10:01:13,05/03/2013 13:01:09,22.000
WQ_GEO_NA,13/11/2012 10:00:29,05/03/2013 13:00:48,22.000
WQ_GEO_SO4,13/11/2012 10:00:09,05/03/2013 13:00:23,22.000
TEMP,18/01/2012 12:06:25,05/03/2013 12:46:23,263.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,18/01/2012 12:06:14,05/03/2013 13:00:21,570.000
WQ_TRC_SS1,18/01/2012 12:06:14,05/03/2013 13:00:21,570.000
