Variable Name,Min Date,Max Date,Number of Samples
WQ_GEO_CA,15/08/2012 09:46:02,21/02/2013 13:20:51,22.000
Conductivity,15/08/2012 09:45:00,21/02/2013 13:24:22,209.000
WQ_NIT_NIT,21/02/2013 10:55:19,21/02/2013 13:20:28,11.000
WQ_PHS_FRP,21/02/2013 10:56:15,21/02/2013 13:20:05,11.000
WQ_GEO_K,15/08/2012 09:45:00,21/02/2013 13:20:36,22.000
WQ_DIAG_TOT_TURBIDITY,15/08/2012 09:45:38,21/02/2013 13:24:12,410.000
WQ_CAR_DIC,15/08/2012 09:45:44,21/02/2013 13:20:20,22.000
WQ_GEO_AL,15/08/2012 09:45:07,21/02/2013 13:20:49,21.000
WQ_DIAG_TOT_TAL,15/08/2012 09:46:19,21/02/2013 13:20:43,20.000
WQ_NIT_AMM,21/02/2013 10:55:26,21/02/2013 13:20:01,11.000
WQ_GEO_CL,15/08/2012 09:46:09,21/02/2013 13:21:21,22.000
WQ_GEO_FEII,15/08/2012 09:45:10,21/02/2013 13:20:22,22.000
WQ_DIAG_TOT_TFE,15/08/2012 09:45:52,21/02/2013 13:21:25,22.000
WQ_GEO_MN,15/08/2012 09:46:01,21/02/2013 13:20:40,22.000
WQ_OGM_DOC,15/08/2012 09:45:38,21/02/2013 13:21:05,22.000
WQ_CAR_PH,15/08/2012 09:46:14,21/02/2013 13:24:16,209.000
SAL,15/08/2012 09:45:00,21/02/2013 13:24:22,209.000
WQ_SIL_RSI,15/08/2012 09:45:11,21/02/2013 13:21:23,22.000
WQ_GEO_NA,15/08/2012 09:45:17,21/02/2013 13:20:08,22.000
WQ_GEO_SO4,15/08/2012 09:46:15,21/02/2013 13:21:07,22.000
TEMP,15/08/2012 10:00:16,21/02/2013 13:24:18,187.000
WQ_PHS_FRP_ADS,01/01/2008 00:00:00,01/12/2018 00:00:00,132.000
WQ_DIAG_TOT_TSS,15/08/2012 09:45:38,21/02/2013 13:24:12,418.000
WQ_TRC_SS1,15/08/2012 09:45:38,21/02/2013 13:24:12,418.000
